col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
4223,-1.0,1.599,1.955,28.92487,1.548,29.02351,1.601,0.895,1.307,1.898,1.053,2.45,0.594,2.789,9,11.8223,1.604,0.995,2.0742
4224,-1.0,0.534,0.561,5.211216,0.534,5.211216,0.562,1.0,0.506,0.625,0.45,0.678,0.388,0.718,13,0.192629,0.5621,0.999,0.5391
4225,-1.0,1.13,1.072,11.09725,1.047,11.12713,1.055,0.977,0.86,1.249,0.617,1.36,0.33,1.448,13,1.27399,1.0553,0.999,1.2418
4226,-1.0,1.047,0.979,10.29634,1.047,10.29634,0.974,1.0,0.857,1.089,0.766,1.169,0.692,1.255,13,0.624756,0.9746,0.999,1.1267
4227,-1.0,1.152,1.146,12.40134,1.152,12.40134,1.138,0.999,1.044,1.242,0.89,1.35,0.729,1.435,13,0.889855,1.138,0.999,1.0685
4228,-1.0,0.22,1.684,9.587205,0.308,9.815433,0.548,0.731,0.248,0.862,0.116,1.06,0.029,4.563,13,6.72368,0.5403,0.998,0.5654
4229,-1.0,1.377,1.095,8.889196,0.909,9.549939,1.042,0.976,0.818,1.342,0.618,1.427,0.392,1.48,13,1.29035,1.0415,0.999,0.8228
4230,-1.0,0.417,1.104,13.59338,0.417,13.59338,0.845,0.19,0.355,1.447,0.252,1.872,0.11,3.181,13,35.6656,0.8376,0.997,0.4953
4231,-1.0,2.909,2.955,24.33495,2.909,24.33495,2.92,1.0,2.795,3.049,2.689,3.205,2.575,3.362,13,1.91667,2.92,0.999,3.0271
4232,-1.0,1.195,1.237,7.086143,1.195,7.086143,1.221,1.0,1.153,1.292,1.108,1.358,1.066,1.409,13,0.244404,1.2204,0.999,1.2662
4233,-1.0,1.261,1.262,7.944808,1.217,8.144787,1.243,1.0,1.167,1.324,1.107,1.383,1.047,1.433,13,0.31002,1.2431,0.999,1.3465
4234,-1.0,1.217,1.178,2.167571,1.217,2.167571,1.154,1.0,1.014,1.284,0.867,1.358,0.795,1.41,13,0.166802,1.1536,1.0,1.229
4235,-1.0,3.149,2.793,15.63437,0.431,17.98861,0.984,0.095,0.382,2.792,0.247,3.249,0.145,3.466,13,67.7694,0.4832,0.794,0.2017
4236,-1.0,0.295,0.316,13.63379,0.295,13.63379,0.319,1.0,0.282,0.362,0.244,0.394,0.197,0.421,13,0.336767,0.3188,1.0,0.3257
