PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
1,1.325,0.612,0.816,-0.06,0.22,1.433,2.337,1.347,0,0,0
2,1.325,0.539,0.936,0.633,1.616,0.518,0.78,0.509,0,0,0
3,1.325,0.376,0.517,1.347,2.904,0.455,0.644,1.514,0,0,0
4,1.325,0.359,0.431,-0.06,0.358,0.773,1.121,0.549,0,0,0
5,1.325,0.834,1.279,0.921,1.092,0.869,1.505,1.022,0,0,0
6,1.325,0.917,1.368,0.738,0.776,1.389,2.176,1.212,0,0,0
7,1.325,0.437,0.606,0.624,0.742,0.676,1.09,0.899,0,0,0
8,1.325,0.752,1.069,-0.06,0.284,1.43,2.294,1.341,0,0,0
9,1.325,0.212,0.352,1.247,0.381,0.212,0.177,1.915,0,0,0
10,1.325,0.501,0.732,0.508,1.091,0.54,0.94,0.679,0,0,0
11,1.325,0.554,0.952,0.623,1.281,0.58,0.998,0.624,0,0,0
12,1.325,0.22,0.194,0.174,0.186,0.676,0.878,0.465,0,0,0
13,1.325,0.814,1.38,1.493,1.035,1.11,1.903,1.692,0,0,0
14,1.325,1.255,2.089,1.273,1.304,1.269,2.117,1.303,0,0,0
15,1.325,0.472,0.704,0.866,1.067,0.548,0.871,0.459,0,0,0
16,1.325,0.314,0.995,1.247,0.863,0.512,0.651,1.79,0,0,0
17,1.325,1.342,2.201,1.447,1.442,1.179,1.877,1.377,0,0,0
18,1.325,1.302,2.104,0.624,0.784,1.439,2.339,1.247,0,0,0
19,1.325,0.519,0.872,0.692,1.458,0.494,0.814,0.652,0,0,0
20,1.325,0.212,0.816,1.251,1.562,0.504,2.006,1.245,0,0,0
21,1.325,1.015,1.765,1.476,1.842,0.824,1.34,1.093,0,0,0
22,1.325,0.779,1.393,1.089,1.333,0.779,1.393,1.089,0,0,0
23,1.325,0.222,0.196,-0.059,0.135,0.69,0.623,0.436,0,0,0
24,1.325,1.439,1.428,1.124,-1,0,0,0,0,0,0
