PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
25,1.325,0.458,0.59,0.311,0.947,0.458,0.714,0.534,0,0,0
26,1.325,1.382,2.206,0.986,1.414,1.167,1.823,0.878,0,0,0
27,1.325,0.69,1.007,0.335,0.703,0.632,1.178,0.945,0,0,0
28,1.325,0.906,1.54,1.474,1.995,0.92,1.431,1.019,0,0,0
29,1.325,0.721,1.231,1.749,2.335,0.737,1.099,1.251,0,0,0
30,1.325,0.631,0.993,1.082,1.448,0.617,0.983,1.019,0,0,0
31,1.325,0.65,0.993,0.406,1.574,0.56,0.769,0.286,0,0,0
32,1.325,0.26,0.266,0.019,0.469,0.473,0.638,0.399,0,0,0
33,1.325,0.393,0.611,0.147,0.988,0.222,0.223,0.538,0,0,0
34,1.325,0.361,0.531,0.076,0.162,0.62,1.043,0.875,0,0,0
35,1.325,0.655,0.879,0.16,0.333,1.224,1.818,0.83,0,0,0
36,1.325,0.762,1.195,1.262,1.278,0.81,1.273,1.318,0,0,0
37,1.325,0.599,0.797,-0.06,0.09,1.437,2.336,1.318,0,0,0
38,1.325,0.667,1.409,1.247,0.421,0.212,0.177,1.915,0,0,0
39,1.325,1.298,2.154,1.413,1.379,1.212,2.01,1.383,0,0,0
40,1.325,0.662,1.137,1.551,1.008,0.61,1.043,1.91,0,0,0
41,1.325,0.357,0.428,-0.057,0.317,0.598,1.003,0.503,0,0,0
42,1.325,0.302,0.378,0.172,0.404,0.402,0.61,0.506,0,0,0
43,1.325,0.756,1.113,0.551,1.581,0.694,0.891,0.535,0,0,0
44,1.325,1.422,2.316,1.52,1.78,0.85,1.442,1.186,0,0,0
45,1.325,0.529,0.87,0.823,0.718,0.735,1.034,1.172,0,0,0
46,1.325,0.287,0.351,0.2,0.236,0.326,0.4,0.279,0,0,0
47,1.325,1.422,2.321,0.951,1.879,0.809,1.125,0.542,0,0,0
48,1.325,0.214,0.181,-0.057,0.338,0.353,0.455,0.264,0,0,0
49,1.325,0.429,0.543,0.613,0.693,0.617,0.814,0.733,0,0,0
50,1.325,0.943,1.642,1.307,1.424,0.963,1.597,1.259,0,0,0
51,1.325,0.585,0.8,0.686,0.527,0.703,1.005,1.507,0,0,0
52,1.325,0.299,0.357,0.129,1.561,0.287,0.327,0.124,0,0,0
53,1.325,0.496,0.805,0.437,0.29,0.697,1.157,1.058,0,0,0
54,1.325,1.434,2.321,1.398,0.853,0.834,1.412,1.914,0,0,0
55,1.325,0.213,0.18,-0.058,0.472,0.222,0.197,-0.002,0,0,0
56,1.325,0.213,0.18,0.339,1.206,0.213,0.18,0.373,0,0,0
57,1.325,0.218,0.19,-0.022,0.336,0.249,0.27,0.161,0,0,0
58,1.325,0.368,0.531,0.194,0.2,0.565,0.828,0.696,0,0,0
59,1.325,0.281,0.323,-0.054,0.373,0.371,0.526,0.266,0,0,0
60,1.325,0.444,0.702,-0.06,0.199,0.673,1.141,0.858,0,0,0
61,1.325,0.294,0.372,-0.06,0.056,0.372,1.81,0.734,0,0,0
62,1.325,0.785,1.115,0.135,0.632,1.296,2.178,0.686,0,0,0
63,1.325,0.421,0.65,0.658,0.461,0.603,1.127,1.052,0,0,0
64,1.325,0.435,0.604,0.664,0.751,0.403,0.527,1.4,0,0,0
65,1.325,0.741,1.286,0.848,1.578,0.608,0.996,0.727,0,0,0
66,1.325,0.676,1.141,1.045,1.057,0.641,1.063,1.238,0,0,0
67,1.325,0.226,0.208,-0.06,0.208,0.262,0.282,0.031,0,0,0
68,1.325,1.022,1.671,0.376,0.742,0.844,1.425,0.75,0,0,0
69,1.325,0,0,0,-1,0,0,0,0,0,0
70,1.325,1.142,1.861,0.405,0.87,0.852,1.441,0.708,0,0,0
71,1.325,0.612,0.995,0.708,1.081,0.787,1.303,0.809,0,0,0
72,1.325,0.241,0.249,0.306,1.246,0.341,0.455,0.332,0,0,0
73,1.325,0.24,0.191,0.088,1.217,0.36,0.369,0.075,0,0,0
74,1.325,0.402,0.544,-0.06,0.196,0.285,0.98,0.715,0,0,0
75,1.325,0.996,1.798,0.609,0.644,1.256,2.059,1.487,0,0,0
76,1.325,0.738,1.225,1.094,1.425,0.663,1.098,1.058,0,0,0
77,1.325,0.404,0.61,0.372,0.311,0.51,0.801,0.72,0,0,0
78,1.325,0.33,0.418,0.412,1.195,0.51,0.773,0.52,0,0,0
79,1.325,0.213,0.284,0.283,0.637,0.217,0.183,1.208,0,0,0
80,1.325,1.404,2.28,0.763,0.671,1.231,2.044,1.474,0,0,0
81,1.325,0.622,1.026,0.91,0.842,0.709,1.142,1.204,0,0,0
82,1.325,0.293,0.373,0.336,0.451,0.408,0.591,0.671,0,0,0
83,1.325,0.215,0.187,0.993,1.047,0.214,0.182,1.095,0,0,0
84,1.325,0.424,0.685,0.389,0.15,1.111,1.874,1.472,0,0,0
85,1.325,0.274,0.32,-0.06,0.034,0.213,0.384,0.595,0,0,0
86,1.325,0.426,0.646,0.784,1.028,0.369,0.508,0.848,0,0,0
87,1.325,0.214,0.179,-0.06,0.307,0.222,0.198,-0.059,0,0,0
88,1.325,0.33,0.551,0.848,0.833,0.254,0.297,1.316,0,0,0
89,1.325,0.212,1.411,1.247,0.341,0.218,0.178,1.915,0,0,0
90,1.325,0.212,1.324,1.247,0.523,0.212,0.178,1.915,0,0,0
91,1.325,0.504,0.78,0.409,0.451,0.734,1.251,1.033,0,0,0
92,1.325,0.332,0.457,0.343,0.534,0.622,0.976,0.881,0,0,0
93,1.325,0.244,0.245,-0.059,0.115,0.379,0.483,0.272,0,0,0
94,1.325,1.308,1.496,1.501,1.075,1.415,2.296,1.912,0,0,0
95,1.325,1.436,1.411,1.246,0.472,0.833,1.411,1.915,0,0,0
96,1.325,0.213,0.181,1.391,0.778,0.22,0.191,1.473,0,0,0
97,1.325,0.272,0.316,-0.06,0.107,0.363,0.563,0.47,0,0,0
98,1.325,0.344,0.473,0.391,0.465,0.474,0.786,0.715,0,0,0
99,1.325,0.225,0.273,0.874,1.794,0.222,0.64,0.741,0,0,0
100,1.325,0.412,0.62,0.817,0.758,0.509,0.442,1.139,0,0,0
101,1.325,0.212,1.001,1.247,0.362,0.213,0.178,1.915,0,0,0
102,1.325,0.212,0.277,1.708,1.665,0.212,2.023,1.519,0,0,0
103,1.325,0.344,0.451,-0.039,0.381,0.454,0.679,0.482,0,0,0
104,1.325,0.216,0.186,-0.06,0.024,0.242,2.016,1.51,0,0,0
105,1.325,0.995,1.801,1.064,1.4,0.884,1.567,1.017,0,0,0
106,1.325,0.445,0.718,0.385,0.254,0.603,0.974,0.94,0,0,0
107,1.325,0.215,0.183,-0.019,0.467,0.239,0.268,0.196,0,0,0
108,1.325,0.294,0.348,-0.06,0.129,0.47,0.763,0.523,0,0,0
109,1.325,0.33,0.415,-0.059,0.253,0.384,0.523,0.299,0,0,0
110,1.325,1.428,2.174,0.467,0.592,1.234,2.042,1.246,0,0,0
111,1.325,0.286,0.342,0.203,1,0.225,0.201,0.263,0,0,0
112,1.325,0.311,0.386,-0.06,0.231,0.373,0.488,0.334,0,0,0
113,1.325,0.727,1.234,1.002,1.02,0.713,1.189,1.236,0,0,0
114,1.325,0.439,0.675,0.516,0.612,0.797,1.366,0.97,0,0,0
115,1.325,0.213,0.179,-0.057,0.605,0.224,0.186,0.066,0,0,0
116,1.325,0.213,0.182,0.284,0.869,0.215,0.184,0.777,0,0,0
117,1.325,0.42,1.066,1.517,2.999,0.892,1.332,0.708,0,0,0
118,1.325,1.368,2.264,1.099,1.912,0.681,1.069,0.758,0,0,0
119,1.325,0.216,0.186,0.18,0.688,0.233,0.188,0.3,0,0,0
120,1.325,0.475,0.753,0.586,0.713,0.611,0.842,0.843,0,0,0
121,1.325,0.902,1.518,1.231,1.186,1.189,1.969,1.402,0,0,0
122,1.325,0.222,0.201,0.221,1.382,0.222,0.204,0.233,0,0,0
123,1.325,1.437,2.339,1.261,1.293,1.435,2.339,1.351,0,0,0
124,1.325,0.273,0.566,0.588,1.097,0.418,0.712,0.793,0,0,0
125,1.325,1.437,1.425,1.247,0.346,0.833,1.411,1.915,0,0,0
126,1.325,0.352,0.452,0.885,0.844,0.285,0.289,1.122,0,0,0
127,1.325,0.22,0.367,1.611,1.098,0.32,0.473,1.498,0,0,0
128,1.325,0.221,0.196,0.309,0.324,0.26,0.285,0.24,0,0,0
129,1.325,0.226,0.268,0.368,0.636,0.541,0.83,0.94,0,0,0
130,1.325,0.284,0.323,-0.058,0.802,0.295,0.23,0.128,0,0,0
131,1.325,0.251,0.312,0.147,0.486,0.341,0.403,0.518,0,0,0
132,1.325,0.647,0.952,0.406,1.126,0.76,1.403,0.226,0,0,0
133,1.325,0.348,0.447,0.582,0.882,0.26,0.258,0.888,0,0,0
134,1.325,0.265,0.298,-0.059,0.153,0.335,0.469,0.335,0,0,0
135,1.325,0.823,1.378,1.134,1.964,0.451,0.91,0.801,0,0,0
136,1.325,0.217,1.412,1.42,0.906,0.216,0.191,1.914,0,0,0
137,1.325,0.833,1.411,1.247,0.497,0.833,1.41,1.915,0,0,0
138,1.325,0.215,0.182,-0.061,0.01,0.217,0.242,-0.043,0,0,0
139,1.325,0.495,0.806,0.712,0.59,0.882,1.477,1.265,0,0,0
140,1.325,0.642,0.91,1.76,1.373,0.607,0.942,1.748,0,0,0
141,1.325,0.214,0.181,-0.061,0.041,0.215,0.224,-0.046,0,0,0
142,1.325,1.425,2.324,1.243,1.382,1.434,2.334,1.198,0,0,0
143,1.325,1.137,1.573,0.361,1.181,1.355,2.05,0.422,0,0,0
144,1.325,0.473,0.784,0.483,1.206,0.648,1.099,0.484,0,0,0
145,1.325,1.431,2.329,1.24,1.747,1.161,1.708,0.825,0,0,0
146,1.325,0.69,1.22,0.701,1.522,0.603,1.073,0.638,0,0,0
147,1.325,0.863,1.263,1.473,1.362,0.826,1.194,1.452,0,0,0
148,1.325,1.422,1.621,0.045,0.692,0.845,1.419,0.396,0,0,0
149,1.325,0.833,1.411,1.247,0.602,0.833,1.41,1.915,0,0,0
150,1.325,0.341,0.486,0.254,0.202,0.459,0.637,0.604,0,0,0
151,1.325,0.692,1.323,0.306,0.605,1.208,2.091,0.833,0,0,0
152,1.325,1.003,1.668,1.123,0.808,0.825,1.395,1.659,0,0,0
153,1.325,0.3,0.374,0.082,0.304,0.356,0.478,0.389,0,0,0
154,1.325,1.425,2.319,1.247,1.462,1.409,2.294,1.132,0,0,0
155,1.325,0.411,0.625,0.391,0.319,0.541,0.872,0.79,0,0,0
156,1.325,0.525,0.854,0.953,0.681,0.892,1.609,1.561,0,0,0
157,1.325,0.652,1.078,0.804,2.237,0.343,0.558,0.381,0,0,0
158,1.325,0.407,0.606,0.706,0.764,0.478,0.413,1.014,0,0,0
159,1.325,0.503,0.668,0.338,0.166,1.329,2.187,1.276,5,99,0
160,1.325,1.402,2.235,0.939,1.285,1.39,2.325,0.956,0,0,0
161,1.325,0.214,0.18,0.346,1.348,0.213,0.18,0.354,0,0,0
162,1.325,1.437,2.325,1.247,1.82,1.439,2.152,0.952,0,0,0
163,1.325,0.423,0.66,0.427,0.322,0.562,0.921,0.905,0,0,0
164,1.325,0.37,0.48,0.041,0.659,0.747,1.275,0.411,0,0,0
165,1.325,0.833,1.411,1.247,0.293,0.833,1.41,1.915,0,0,0
166,1.325,0.482,0.744,0.228,0.745,0.6,0.711,0.399,0,0,0
167,1.325,0.222,0.202,-0.06,0.163,0.266,0.301,0.064,0,0,0
168,1.325,0.491,0.793,0.764,0.648,0.858,1.495,1.285,0,0,0
169,1.325,0.223,0.207,1.024,1.153,0.355,0.495,1.107,0,0,0
170,1.325,1.426,1.411,1.303,1.657,1.439,2.155,1.247,0,0,0
171,1.325,1.434,2.333,1.367,1.686,1.438,1.963,1.067,0,0,0
172,1.325,0.325,0.426,0.333,1.009,0.245,0.23,0.486,0,0,0
173,1.325,0.27,0.292,0.061,1.34,0.27,0.292,0.061,0,0,0
174,1.325,0.844,1.444,0.583,1.529,0.828,1.101,0.547,0,0,0
175,1.325,1.43,2.335,0.64,0.949,0.834,1.412,1.168,0,0,0
176,1.325,1.133,2.05,0.947,0.835,0.87,1.47,1.656,0,0,0
177,1.325,0.377,0.487,0.455,0.805,0.317,0.358,0.902,0,0,0
178,1.325,1.432,2.303,1.479,2.227,1.026,1.502,1.302,0,0,0
179,1.325,0.514,0.672,0.421,0.583,0.743,1.149,0.82,0,0,0
180,1.325,1.42,2.07,0.076,0.436,0.846,1.415,1.531,0,0,0
181,1.325,0.295,0.361,-0.059,0.343,0.384,0.533,0.388,0,0,0
182,1.325,1.434,1.413,1.914,3.112,0.927,1.367,1.914,0,0,0
183,1.325,0.407,0.64,0.852,2.143,0.432,0.612,0.472,0,0,0
184,1.325,0,0,0,-1,0,0,0,0,0,0
185,1.325,0.215,0.212,0.016,0.557,0.391,0.53,0.714,0,0,0
186,1.325,0.31,0.395,0.491,1.051,0.251,0.27,0.558,0,0,0
187,1.325,0.212,0.178,-0.035,0.221,0.55,0.747,0.34,0,0,0
188,1.325,0.215,0.18,-0.06,0.363,0.23,0.215,-0.06,0,0,0
189,1.325,0.216,0.182,-0.06,0.257,0.234,0.215,-0.057,0,0,0
190,1.325,0.743,1.329,0.481,0.957,0.766,1.243,0.677,0,0,0
191,1.325,0.212,1.331,1.246,0.364,0.536,0.308,1.915,0,0,0
192,1.325,0.213,0.179,-0.06,0.633,0.284,0.31,-0.035,0,0,0
193,1.325,0.652,1.039,0.952,1.556,0.626,1.118,0.915,0,0,0
194,1.325,0.354,0.48,0.264,1.055,0.409,0.588,0.275,0,0,0
195,1.325,0.763,1.367,0.632,-1,0,0,0,0,0,0
196,1.325,1.439,2.029,1.101,-1,0,0,0,0,0,0
197,1.325,0.674,0.923,-0.06,0.262,1.22,2.088,1.554,0,0,0
198,1.325,0.544,0.869,0.672,0.854,0.58,0.864,1.06,0,0,0
199,1.325,0.577,0.968,1.397,0.888,0.541,0.902,1.66,0,0,0
200,1.325,0.43,0.667,0.865,0.564,0.805,1.317,1.642,0,0,0
201,1.325,0.864,1.312,0.766,0.666,1.274,2.054,1.275,0,0,0
202,1.325,0.525,0.787,0.436,1.506,0.5,0.692,0.358,0,0,0
203,1.325,0.388,0.48,0.045,0.759,0.356,0.539,0.474,0,0,0
204,1.325,0.818,1.248,0.351,0.562,1.286,2.095,1.215,0,0,0
205,1.325,0.833,1.306,1.229,0.755,1.157,1.873,1.638,0,0,0
206,1.325,0.416,0.523,0.143,0.916,0.445,0.57,0.255,0,0,0
207,1.325,0.676,0.946,0.872,0.929,0.836,1.238,1.004,0,0,0
208,1.325,0.269,0.337,-0.057,1.245,0.268,0.336,-0.031,0,0,0
209,1.325,0.547,0.722,0.246,0.426,1.09,1.682,0.89,0,0,0
210,1.325,0.492,0.636,0.021,0.483,0.832,1.197,0.539,0,0,0
211,1.325,0.632,0.843,-0.059,0.116,1.436,2.234,1.248,0,0,0
212,1.325,0.675,1.1,1.732,1.24,0.73,1.108,1.726,0,0,0
213,1.325,0.427,0.729,0.601,1.21,0.417,0.708,0.676,0,0,0
214,1.325,0.315,0.357,0.203,0.508,0.574,0.803,0.501,0,0,0
215,1.325,0.58,1.031,0.597,1.708,0.565,0.756,0.5,0,0,0
216,1.325,0.613,0.852,0.3,0.533,0.576,1.01,1.097,0,0,0
217,1.325,0.879,1.371,1.778,1.762,0.748,1.348,1.499,0,0,0
218,1.325,0.927,1.429,0.89,1.049,1.052,1.776,1.162,0,0,0
219,1.325,0.228,0.233,0.408,0.831,0.248,0.212,0.594,0,0,0
220,1.325,0.212,0.178,-0.06,0.072,0.775,1.202,0.42,0,0,0
221,1.325,0.573,0.777,0.407,1.121,0.535,0.909,0.502,0,0,0
222,1.325,0.396,0.486,-0.058,0.297,0.796,1.159,0.53,0,0,0
223,1.325,0.918,1.554,1.297,1.669,0.827,1.328,1.068,0,0,0
224,1.325,0.371,0.469,0.083,0.882,0.36,0.444,0.316,0,0,0
225,1.325,0.65,0.87,0.534,0.625,0.935,1.503,1.019,0,0,0
226,1.325,0.311,0.422,-0.059,1.534,0.312,0.308,-0.06,0,0,0
227,1.325,1.093,1.715,1.913,1.56,1.283,2.178,1.827,0,0,0
228,1.325,0.572,0.805,0.703,0.755,0.719,1.055,0.986,0,0,0
229,1.325,1.43,2.307,0.839,1.603,1.139,1.652,0.674,0,0,0
230,1.325,0.413,0.678,0.381,0.879,0.333,0.541,0.796,0,0,0
231,1.325,0.763,1.094,-0.06,0.151,1.435,2.325,1.873,0,0,0
232,1.325,0.251,0.276,0.104,0.872,0.264,0.299,0.2,0,0,0
233,1.325,0.582,0.773,0.615,1.18,0.599,0.818,0.769,0,0,0
234,1.325,0.833,1.411,1.247,0.941,0.833,1.41,1.558,0,0,0
235,1.325,0.484,0.628,0.396,0.842,0.585,0.796,0.575,0,0,0
236,1.325,0.474,0.611,0.267,0.753,0.572,0.747,0.42,0,0,0
237,1.325,0.672,0.935,0.887,0.71,0.931,1.454,1.292,0,0,0
238,1.325,0.473,0.816,0.596,1.756,0.485,0.682,0.402,0,0,0
239,1.325,0.315,0.362,0.6,0.809,0.346,0.392,0.669,0,0,0
240,1.325,0.559,0.742,0.735,0.759,0.677,1.022,1.031,0,0,0
241,1.325,0.329,0.437,0.412,0.675,0.663,1.028,0.737,0,0,0
242,1.325,0.335,0.488,0.234,0.376,0.251,0.362,0.784,0,0,0
243,1.325,1.218,2.035,0.71,0.01,0.241,0.263,1.559,0,0,0
244,1.325,0.475,0.613,0.237,0.496,0.818,1.244,0.732,0,0,0
245,1.325,0.691,1.264,1.016,0.314,0.312,0.556,1.915,0,0,0
246,1.325,1.027,1.623,1.017,1.096,1.118,1.887,1.241,0,0,0
247,1.325,0.654,1.21,1.915,3.033,1.129,1.742,1.627,0,0,0
248,1.325,0.446,0.569,0.28,0.852,0.486,0.683,0.498,0,0,0
249,1.325,0.354,0.522,0.346,0.318,0.227,0.288,1.024,0,0,0
250,1.325,0.295,0.37,-0.023,1.518,0.309,0.318,-0.054,0,0,0
251,1.325,0.842,1.305,0.623,1.48,0.771,1.111,0.513,0,0,0
252,1.325,0.663,0.918,0.922,0.964,0.78,1.233,1.09,0,0,0
253,1.325,0.86,1.292,-0.06,0.315,1.392,2.322,1.247,0,0,0
254,1.325,0.511,0.67,0.411,0.482,0.795,1.284,0.951,0,0,0
255,1.325,0.258,0.353,1.287,2.38,0.631,1.142,0.783,0,0,0
256,1.325,0.744,1.103,1.625,0.707,0.993,1.483,1.913,0,0,0
257,1.325,0.87,1.395,0.972,0.65,1.066,2.004,1.687,0,0,0
258,1.325,0.297,0.328,0.401,0.824,0.356,0.405,0.559,0,0,0
259,1.325,0.764,1.151,0.472,0.596,0.638,1.167,1.394,0,0,0
260,1.325,0.81,1.376,1.578,1.607,1.13,1.909,1.352,0,0,0
261,1.325,0.253,0.307,0.499,0.993,0.304,0.377,0.556,0,0,0
262,1.325,0.628,1.129,0.744,1.697,0.618,0.907,0.595,0,0,0
263,1.325,0.519,0.68,0.25,0.797,0.663,0.896,0.514,0,0,0
264,1.325,1.099,2.119,0.675,0.897,0.833,1.411,1.336,0,0,0
265,1.325,0.854,1.49,1.182,1.444,0.841,1.415,1.136,0,0,0
266,1.325,0.212,0.178,-0.041,0.21,0.34,0.467,0.288,0,0,0
267,1.325,0.322,0.384,0.364,0.914,0.311,0.379,0.608,0,0,0
268,1.325,0.6,0.799,0.462,0.593,0.855,1.356,0.959,0,0,0
269,1.325,0.346,0.446,0.586,1.257,0.344,0.496,0.578,0,0,0
270,1.325,0.806,1.205,0.599,0.897,1.057,1.608,0.801,0,0,0
271,1.325,1.439,2.048,1.247,1.035,1.419,2.128,1.32,0,0,0
272,1.325,0.212,0.178,-0.058,0.38,0.341,0.389,0.11,0,0,0
273,1.325,0.384,0.469,-0.046,0.759,0.497,0.645,0.323,0,0,0
274,1.325,0.73,1.267,1.694,1.406,0.727,1.276,1.617,0,0,0
275,1.325,0.785,1.255,1.248,1.72,0.851,1.839,1.148,0,0,0
276,1.325,0.286,0.311,0.307,0.6,0.556,0.657,0.37,0,0,0
277,1.325,0.213,0.179,-0.05,0.374,0.546,0.715,0.289,0,0,0
278,1.325,0.74,1.052,1.049,1.188,0.731,1.154,1.111,0,0,0
279,1.325,0.682,1,0.495,1.18,0.708,1.169,0.624,0,0,0
280,1.325,0.381,0.462,-0.06,0.642,0.491,0.657,0.304,0,0,0
281,1.325,0.916,1.366,1.452,1.128,0.89,1.479,1.583,0,0,0
282,1.325,0.25,0.283,0.347,1.522,0.268,0.365,0.312,0,0,0
283,1.325,1.014,1.683,1.856,2.213,0.903,1.504,1.285,0,0,0
284,1.325,0.757,1.328,1.883,2.152,1.098,1.912,1.597,0,0,0
285,1.325,1.327,2.198,1.894,1.716,0.96,1.663,1.737,0,0,0
286,1.325,0.498,0.649,0.279,0.955,0.546,0.746,0.464,0,0,0
287,1.325,0.572,0.828,0.632,0.828,0.573,0.916,1.033,0,0,0
288,1.325,0.668,0.935,1.08,1.355,0.663,0.931,1.065,0,0,0
289,1.325,0.532,1.411,1.247,-1,0,0,0,0,0,0
290,1.325,0.638,1.145,1.162,2.035,0.754,1.305,1.156,0,0,0
291,1.325,1.033,1.56,1.061,1.172,0.99,1.684,1.227,0,0,0
292,1.325,0.847,1.384,1.013,0.92,0.768,1.376,1.281,0,0,0
293,1.325,0.577,1.073,1.235,-1,0,0,0,0,0,0
294,1.325,0.305,0.388,0.228,0.31,0.362,0.488,0.462,0,0,0
295,1.325,1.016,1.538,0.882,1.334,1.016,1.538,0.882,1,4,917
296,1.325,0.594,0.792,0.079,3.202,1.153,1.936,1.068,0,0,0
297,1.325,1.312,2.168,-0.059,2.452,0.656,0.327,-0.057,0,0,0
298,1.325,0.731,1.04,-0.06,0.76,0.682,0.933,0.12,0,0,0
299,1.325,0.275,0.295,-0.029,0.27,0.763,1.023,0.374,0,0,0
300,1.325,0.622,0.831,-0.06,2.648,0.214,0.181,-0.036,0,0,0
301,1.325,1.055,1.781,0.38,2.432,0.731,0.765,0.354,0,0,0
302,1.325,0.212,0.177,1.101,-1,0,0,0,0,0,0
303,1.325,0.218,0.189,0.821,-1,0,0,0,0,0,0
304,1.325,0.212,0.177,1.913,1.866,0.212,0.177,1.247,0,0,0
305,1.325,0.724,1.149,-0.059,1.008,0.504,0.762,0.007,0,0,0
306,1.325,0.631,1.046,-0.061,0.747,0.402,0.666,-0.061,0,0,0
307,1.325,0.213,0.178,0.565,2.092,1.14,0.835,0.381,0,0,0
308,1.325,0.212,0.177,1.914,-1,0,0,0,0,0,0
309,1.325,0.943,1.409,1.515,3.544,1.345,2.154,0.652,0,0,0
310,1.325,0.213,0.18,1.305,1.048,0.212,0.178,1.682,0,0,0
311,1.325,1.331,2.2,1.322,1.407,1.354,2.231,1.31,0,0,0
312,1.325,0.76,1.213,1.835,3.662,0.929,1.435,1.552,0,0,0
313,1.325,0.212,0.177,1.909,3.6,1.143,1.749,1.913,0,0,0
314,1.325,0.212,0.177,1.676,4.188,1.06,1.727,1.914,0,0,0
315,1.325,0,0,0,-1,0,0,0,0,0,0
316,1.325,0.62,1.052,-0.059,-1,0,0,0,0,0,0
317,1.325,0.802,1.164,0.086,0.282,1.326,2.054,1.131,0,0,0
318,1.325,0.689,1.077,-0.059,0.221,1.438,2.335,1.209,0,0,0
319,1.325,0.9,1.64,1.158,1.417,0.971,1.733,1.035,0,0,0
320,1.325,0.493,0.643,-0.06,0.08,1.351,2.254,1.239,0,0,0
321,1.325,0.525,0.692,0.003,0.344,1.085,1.633,0.844,0,0,0
322,1.325,0.65,1.005,1.44,2.178,0.844,1.487,1.073,0,0,0
323,1.325,0.219,0.192,-0.06,0.01,1.439,2.341,1.115,0,0,0
324,1.325,0.855,1.508,0.634,1.501,0.69,1.177,0.429,0,0,0
325,1.325,0.706,1.013,1.054,1.072,0.802,1.204,1.219,1,3,883
326,1.325,0.733,1.048,-0.06,0.216,1.414,1.793,1.799,0,0,0
327,1.325,0.651,0.898,0.85,1.133,0.668,0.931,0.92,0,0,0
328,1.325,0.401,0.498,-0.006,0.326,1.018,1.552,0.783,0,0,0
329,1.325,0.441,0.565,0.882,0.509,0.71,0.954,1.231,0,0,0
330,1.325,1.218,2.039,1.242,1.504,1.117,1.845,1.102,0,0,0
331,1.325,0.212,0.178,1.157,0.703,0.212,0.177,1.914,0,0,0
332,1.325,0.895,1.511,1.169,0.999,0.722,1.299,1.572,0,0,0
333,1.325,0.298,0.329,-0.059,0.426,0.639,0.918,0.451,0,0,0
334,1.325,0.212,0.213,0.551,0.299,0.212,0.177,1.23,0,0,0
335,1.325,0.462,0.593,0.268,0.663,0.63,0.883,0.582,0,0,0
336,1.325,0.678,1.168,1.911,3.158,1.045,1.685,1.255,0,0,0
337,1.325,1.361,2.229,1.267,1.708,1.355,2.034,0.999,0,0,0
338,1.325,0.427,0.539,-0.06,0.052,0.861,1.345,1.139,0,0,0
339,1.325,0.213,0.179,-0.06,0.239,0.546,0.733,0.346,0,0,0
340,1.325,0.375,0.456,0.408,0.501,0.667,0.963,0.787,0,0,0
341,1.325,0.213,0.18,-0.06,0.124,0.732,1.077,0.471,0,0,0
342,1.325,0.212,0.178,-0.061,0.329,0.474,0.588,0.173,0,0,0
343,1.325,0.355,0.551,0.284,1.523,0.366,0.483,0.196,0,0,0
344,1.325,0.617,0.846,0.899,0.815,0.572,0.897,1.605,0,0,0
345,1.325,0.796,1.16,-0.06,0.323,1.388,2.335,1.254,0,0,0
