id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
1,86.661919,-53.827278,1439.71,253.5,17584.438,0,0.03,11.216,1,3782.83,0.904,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2943.24,0.644,3359.868,0.821,1394.381,39.283,990.923,17.744
2,86.752205,-53.835613,480.71,102.79,3991.509,2,0.99,2.704,1,3079.683,0.888,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,4755.829,0.615,4566.714,0.766,1035.827,39.73,654.853,17.22
3,86.685959,-53.838207,1184.42,56.71,159050.609,8,0.95,5.596,1,58941.699,0.891,7540.544,0.224,2200.06,0.109,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5473.575,1.018,25631.551,0.625,16046.189,0.831,72989.055,228.256,44339.945,118.5
4,86.749031,-53.838654,514.51,48.12,2306.136,0,0.98,2.68,1,1795.212,0.947,-999.0,9999.0,354.273,0.154,-999.0,9999.0,-999.0,9999.0,625.943,0.475,1855.155,1.441,2232.124,0.594,2282.872,0.86,627.792,28.63,361.611,13.267
5,86.678337,-53.838333,1265.41,54.47,93.2,0,0.01,5.409,1,41.433,0.894,1.623,0.224,697.047,0.109,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2529.706,1.019,16.429,0.651,24.28,0.828,68.845,6.976,56.609,4.645
6,86.576775,-53.839214,2344.09,38.18,836.726,0,0.98,2.801,1,651.336,1.196,6.043,0.224,26.737,0.154,84.056,0.244,160.467,0.222,384.529,0.465,562.349,1.443,710.52,0.859,746.38,1.235,280.004,19.746,177.561,10.449
7,86.625092,-53.839489,1830.88,33.61,159.687,0,0.01,5.797,1,63.992,0.887,11.873,0.224,15.62,0.109,30.509,0.244,35.633,0.222,44.953,0.332,45.803,1.019,51.546,0.661,55.612,0.84,25.539,4.09,22.592,2.65
8,86.675308,-53.839214,1297.58,38.64,28.92,2,0.02,3.374,1,20.262,0.898,1.466,0.224,-3.696,0.109,-1.282,0.244,-1.71,0.222,1.979,0.332,-17.701,1.019,6.852,0.635,5.062,0.833,42.531,5.531,35.363,3.52
9,86.62767,-53.839516,1803.53,33.15,285.759,0,0.97,2.728,1,225.265,0.885,1.414,0.224,7.091,0.109,26.538,0.244,52.445,0.222,158.558,0.332,192.073,1.019,248.792,0.654,270.506,0.828,99.109,9.374,63.885,5.084
10,86.787056,-53.840881,110.73,7.39,806.311,24,0.03,10.098,1,122.965,0.888,-999.0,9999.0,7.124,0.154,-999.0,9999.0,-999.0,9999.0,62.599,0.474,68.073,1.439,71.228,0.643,89.981,0.809,104.708,14.831,68.65,3.444
11,86.63134,-53.840088,1764.57,22.86,99.829,0,0.17,3.051,1,74.843,0.9,1.431,0.224,2.875,0.109,5.968,0.244,14.252,0.222,25.383,0.332,31.896,1.02,40.759,0.642,44.883,0.878,46.578,6.476,35.359,3.926
12,86.650024,-53.840122,1566.11,22.31,18.642,0,0.03,3.584,1,11.775,0.919,0.715,0.225,0.594,0.109,0.458,0.244,0.873,0.222,1.1,0.333,2.771,1.021,3.636,0.646,4.833,0.832,13.499,2.992,14.706,2.572
13,86.583389,-53.84045,2273.78,16.03,76.752,16,0.27,3.109,1,55.982,1.05,0.05,0.224,0.248,0.154,1.399,0.244,3.357,0.222,12.148,0.465,19.289,1.444,24.012,0.774,30.401,0.946,61.059,8.282,45.306,4.955
14,86.693039,-53.840572,1109.22,14.08,64.134,16,0.11,3.084,1,48.646,0.888,-0.187,0.224,1.07,0.109,5.668,0.244,7.557,0.222,12.915,0.332,21.617,1.019,12.328,0.643,19.446,0.841,82.572,9.426,68.465,5.263
15,86.590988,-53.840405,2193.13,16.87,1193.084,16,0.98,2.806,1,918.678,0.892,2.155,0.224,8.386,0.154,35.505,0.244,77.97,0.222,377.734,0.466,646.663,1.445,935.652,0.626,1067.222,0.811,430.675,20.588,290.141,12.492
16,86.780243,-53.840851,183.13,8.02,272.672,24,0.03,4.393,1,149.245,0.888,-999.0,9999.0,55.912,0.154,-999.0,9999.0,-999.0,9999.0,115.968,0.474,129.212,1.438,137.79,0.623,141.836,0.778,72.839,18.982,50.209,4.829
17,86.632874,-53.840477,1748.23,15.91,12.629,0,0.51,2.686,1,10.457,0.899,0.386,0.224,0.532,0.109,1.686,0.244,2.845,0.222,8.013,0.332,11.708,1.019,12.882,0.644,13.473,0.84,4.34,1.632,2.922,1.023
18,86.654274,-53.840614,1520.92,13.47,61.033,16,0.86,2.856,1,46.453,0.904,0.562,0.225,2.133,0.109,5.849,0.244,11.335,0.222,32.927,0.474,42.556,1.021,51.637,0.641,56.465,0.824,20.774,3.935,15.133,2.999
19,86.657928,-53.840481,1482.11,15.82,14.495,0,0.25,4.767,1,7.584,0.906,1.189,0.224,0.921,0.109,0.596,0.244,1.009,0.222,1.613,0.332,3.861,1.018,4.135,0.678,5.525,0.928,9.51,2.252,7.152,1.662
20,86.607765,-53.840698,2014.9,11.72,58.19,18,0.02,5.088,1,27.592,0.893,4.717,0.225,5.173,0.154,6.068,0.244,6.741,0.222,13.309,0.466,15.53,1.446,18.542,0.638,19.332,0.912,27.922,4.379,22.913,2.841
21,86.606956,-53.840927,2023.46,7.61,23.506,19,0.1,3.439,1,16.249,0.882,1.735,0.224,1.535,0.154,1.284,0.244,1.731,0.217,3.555,0.465,7.638,1.414,8.62,0.624,9.269,0.856,16.64,3.311,17.047,2.33
22,86.599709,-53.840599,2100.51,13.51,12.42,2,0.43,4.057,1,8.144,0.9,1.303,0.225,1.582,0.154,2.928,0.244,4.089,0.222,5.519,0.466,6.94,1.447,6.856,0.641,5.884,0.825,2.489,1.459,1.757,0.831
23,86.754539,-53.840652,456.09,12.04,21.243,16,0.11,3.151,1,15.951,0.875,-999.0,9999.0,1.426,0.154,-999.0,9999.0,-999.0,9999.0,7.43,0.474,8.063,1.438,10.736,0.624,10.889,0.799,5.856,3.345,5.169,1.498
24,86.794861,-53.840626,27.84,11.8,3.352,0,0.47,1.709,1,4.078,0.893,-999.0,9999.0,-0.04,0.154,-999.0,9999.0,-999.0,9999.0,-0.879,0.473,27.239,1.438,-0.423,0.615,-0.504,0.775,0.108,1.584,2.236,1.106
25,86.660652,-53.841145,1453.24,3.88,61.974,24,0.2,6.397,1,23.84,0.868,0.057,0.212,0.43,0.103,0.009,0.23,-999.0,9999.0,3.093,0.314,-999.0,9999.0,8.907,0.615,12.87,0.807,43.77,4.335,29.841,2.984
26,86.700623,-53.840866,1028.67,8.77,4.532,0,0.48,2.188,1,4.708,0.889,1.233,0.224,1.387,0.109,1.895,0.244,2.398,0.222,2.789,0.332,4.142,1.019,2.686,0.629,1.604,0.794,14.373,4.072,11.496,2.415
27,86.735603,-53.840878,657.22,8.22,8.818,16,0.51,2.822,1,8.144,1.16,-999.0,9999.0,0.641,0.154,-999.0,9999.0,-999.0,9999.0,0.43,0.474,0.486,1.438,1.523,0.926,3.106,1.118,18.22,5.224,23.855,3.149
28,86.74115,-53.841171,598.27,2.9,106.184,24,0.97,3.139,1,77.858,1.01,-999.0,9999.0,0.856,0.137,-999.0,9999.0,-999.0,9999.0,20.49,0.422,23.549,1.283,36.414,0.665,42.523,0.902,58.299,8.463,41.17,3.409
29,86.702881,-53.841179,1004.74,3.11,47.372,24,0.03,4.448,1,26.449,0.796,11.468,0.203,15.701,0.098,12.014,0.221,21.752,0.201,23.638,0.3,22.336,1.047,26.389,0.565,27.461,0.743,24.17,4.523,15.597,2.1
30,86.655769,-53.841042,1505.11,5.75,10.535,16,0.5,3.763,1,7.308,0.9,-0.194,0.224,0.152,0.109,0.328,0.244,1.151,0.222,1.335,0.332,1.414,1.02,1.324,0.645,2.251,0.872,6.741,1.909,7.683,1.682
31,86.767586,-53.840828,317.52,8.66,91.221,16,0.98,2.617,1,73.222,0.876,-999.0,9999.0,10.183,0.154,-999.0,9999.0,-999.0,9999.0,64.615,0.474,76.799,1.44,82.998,0.599,86.914,0.818,26.457,7.36,16.348,2.837
32,86.651672,-53.841251,1548.61,1.98,13.095,24,0.81,2.463,1,11.788,0.774,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.906,0.573,6.015,0.705,18.18,3.104,18.636,2.486
33,86.598114,-53.83931,2117.42,36.64,28.238,0,0.03,5.139,1,13.542,0.896,11.514,0.224,13.34,0.154,16.085,0.244,12.699,0.222,14.839,0.465,12.337,1.444,14.591,0.628,13.911,0.834,6.107,2.235,3.208,1.055
34,86.604027,-53.839973,2054.66,24.78,16.255,0,0.13,2.809,1,13.16,0.9,1.918,0.224,2.112,0.154,2.389,0.244,2.587,0.222,5.819,0.465,6.44,1.444,9.294,0.626,10.447,0.851,12.69,3.299,8.672,1.935
35,86.769371,-53.840088,298.53,21.93,31.477,0,1.0,1.322,1,28.475,0.889,-999.0,9999.0,-0.149,0.154,-999.0,9999.0,-999.0,9999.0,-1.433,0.474,-0.847,1.44,-0.178,0.619,-0.474,0.805,-0.11,1.481,0.567,0.742
36,86.713676,-53.84026,890.1,19.55,6.188,0,0.35,2.879,1,5.168,0.873,0.758,0.224,1.033,0.109,1.052,0.244,1.157,0.222,2.211,0.332,4.487,1.02,3.484,0.616,3.127,0.824,6.19,2.537,4.144,1.238
37,86.623001,-53.83976,1853.14,28.75,8.469,0,0.57,2.741,1,8.062,0.906,1.64,0.224,1.589,0.109,1.737,0.244,2.043,0.222,4.66,0.332,5.887,1.02,5.173,0.639,4.728,0.821,5.136,1.985,5.255,1.422
38,86.71431,-53.838989,883.31,42.42,41.841,2,0.01,6.025,1,16.873,0.881,5.465,0.224,5.086,0.109,14.499,0.244,10.051,0.222,13.059,0.332,17.647,1.018,12.985,0.615,13.81,0.81,8.29,2.674,6.741,1.33
39,86.776115,-53.83955,226.9,31.52,10.419,0,0.59,2.672,1,8.692,0.886,-999.0,9999.0,2.709,0.154,-999.0,9999.0,-999.0,9999.0,6.062,0.474,7.312,1.441,8.169,0.61,6.94,0.798,7.055,4.031,5.269,1.868
40,86.590675,-53.834747,2196.48,118.71,111.435,3,0.02,4.933,1,54.807,0.901,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,46.167,0.623,48.154,0.822,27.663,4.633,21.284,2.806
41,86.784859,-53.83873,134.0,46.13,36.318,0,0.07,3.674,1,22.335,0.881,-999.0,9999.0,1.011,0.154,-999.0,9999.0,-999.0,9999.0,1.461,0.474,0.81,1.438,6.427,0.628,9.233,0.805,29.359,9.713,39.307,4.554
42,86.675812,-53.83947,1292.18,34.02,18.569,3,0.67,3.651,1,12.093,0.863,0.269,0.215,-0.088,0.105,2.787,0.234,2.144,0.213,3.57,0.319,2.147,0.979,4.739,0.617,3.54,0.802,23.419,3.649,19.03,2.298
43,86.791954,-53.837284,58.55,72.04,78.057,0,0.01,4.677,1,40.009,0.878,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,11.967,0.611,17.883,0.798,56.803,11.948,50.145,5.185
44,86.734085,-53.837711,673.24,65.24,328.219,0,0.98,2.69,1,260.364,1.136,-999.0,9999.0,166.021,0.154,-999.0,9999.0,-999.0,9999.0,377.866,0.427,443.795,1.44,436.202,0.975,420.491,1.02,85.638,11.533,56.813,5.121
45,86.717743,-53.839558,846.85,32.15,10.953,0,0.51,3.642,1,7.447,1.006,2.304,0.224,2.578,0.109,2.985,0.244,2.797,0.222,4.529,0.332,5.81,1.02,5.58,0.665,5.764,0.915,5.699,2.209,3.859,1.089
46,86.65419,-53.83902,1521.88,42.13,25.137,0,0.43,3.317,1,17.025,0.904,0.231,0.224,-4.277,0.109,-4.025,0.244,-4.946,0.222,-3.892,0.332,-10.71,1.02,4.854,0.643,8.072,0.884,19.213,3.741,16.694,2.818
47,86.779343,-53.839504,192.65,32.27,10.877,0,0.67,0.832,1,8.607,0.878,-999.0,9999.0,0.084,0.154,-999.0,9999.0,-999.0,9999.0,-0.319,0.474,-2.976,1.438,0.218,0.616,-0.461,0.802,4.455,3.013,3.598,1.502
48,86.715904,-53.839104,866.42,40.37,11.86,0,0.05,3.01,1,9.163,0.898,4.195,0.224,3.197,0.112,0.635,0.244,-0.313,0.222,2.753,0.332,7.912,1.019,10.975,0.659,8.539,0.803,6.031,2.366,5.252,1.184
49,86.659294,-53.839237,1467.66,38.2,9.633,0,0.68,3.446,1,6.965,0.892,0.1,0.224,-0.72,0.109,-2.215,0.244,-1.233,0.222,-0.353,0.332,-6.223,1.018,2.887,0.651,3.627,0.82,9.57,2.409,5.558,1.516
50,86.714104,-53.839153,885.53,39.51,17.942,3,0.55,3.787,1,11.495,0.886,1.955,0.224,1.938,0.109,4.573,0.244,5.121,0.222,4.419,0.332,6.475,1.02,8.593,0.627,10.805,0.799,4.549,1.847,3.637,0.945
51,86.765053,-53.838665,344.39,47.63,18.691,0,0.0,3.491,1,13.125,0.883,-999.0,9999.0,3.422,0.154,-999.0,9999.0,-999.0,9999.0,13.853,0.474,8.719,1.438,12.143,0.618,10.928,0.835,7.358,4.17,5.009,1.406
52,86.642654,-53.839207,1644.35,38.77,8.764,0,0.66,3.276,1,6.465,0.904,-0.024,0.224,0.211,0.109,-1.238,0.244,0.172,0.222,3.61,0.332,6.007,1.019,6.846,0.653,6.782,0.849,2.09,1.199,2.22,0.847
53,86.78138,-53.838833,170.94,44.31,10.38,0,0.62,2.498,1,9.822,0.877,-999.0,9999.0,-0.01,0.154,-999.0,9999.0,-999.0,9999.0,0.538,0.474,-0.105,1.439,1.808,0.61,3.955,0.788,13.434,7.234,15.461,3.382
54,86.583839,-53.838455,2269.04,51.88,35.701,0,0.2,3.505,1,24.213,1.06,2.183,0.224,3.111,0.154,5.21,0.244,17.408,0.236,20.849,0.465,15.269,1.444,15.95,0.717,18.364,0.945,12.326,3.411,9.951,2.209
55,86.582527,-53.837933,2283.0,61.3,91.465,0,0.95,2.685,1,74.496,1.046,-0.385,0.224,0.843,0.154,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,45.554,1.442,70.069,0.769,80.65,0.97,36.122,7.204,24.223,3.535
56,86.646095,-53.838238,1607.84,56.19,25.879,0,0.05,3.646,1,16.874,0.905,-0.23,0.224,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-0.252,1.019,2.367,0.661,2.976,0.835,28.008,4.423,34.661,4.107
57,86.597008,-53.838776,2129.18,46.25,12.336,0,0.68,3.595,1,8.406,0.895,4.776,0.224,7.689,0.154,11.608,0.244,11.023,0.222,12.643,0.465,13.136,1.444,15.173,0.66,13.527,0.835,3.036,1.61,1.401,0.614
58,86.584991,-53.833733,2256.93,136.95,1339.039,3,0.03,5.303,1,601.038,1.021,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,388.241,0.722,449.771,0.96,256.902,14.914,200.301,8.918
59,86.579918,-53.838654,2310.66,48.29,8.379,2,0.36,2.733,1,8.092,1.132,1.087,0.224,1.088,0.154,1.486,0.244,1.242,0.222,4.431,0.466,6.775,1.446,5.982,0.735,4.537,1.125,5.261,3.21,4.0,1.882
60,86.797028,-53.839024,4.79,40.59,3.11,16,0.37,1.862,1,2.757,0.877,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,6.414,0.593,4.276,0.776,0.381,2.392,2.037,1.089
61,86.794983,-53.837212,26.4,73.26,101.807,0,0.03,3.412,1,71.406,0.878,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,45.129,0.61,49.198,0.798,41.236,11.629,41.676,5.047
