PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
1,1.067,1.217,2.033,0.277,0.055,1.212,2.027,1.513,5,99,0
2,1.067,0.238,0.222,-0.06,0.017,0.226,2.012,-0.005,0,0,0
3,1.067,1.218,2.036,1.515,0.247,0.212,0.44,1.515,0,0,0
4,1.067,1.217,1.878,0.337,0.01,1.151,0.659,1.484,0,0,0
5,1.067,0.766,1.354,0.919,1.929,0.434,0.666,0.66,0,0,0
6,1.067,0.849,1.214,0.222,0.29,1.286,2.203,1.594,0,0,0
7,1.067,0.255,0.321,0.237,0.227,0.575,0.819,0.596,0,0,0
8,1.067,1.054,1.583,1.728,1.219,0.79,1.287,1.658,0,0,0
9,1.067,0.891,1.29,0.208,0.296,1.305,2.215,1.558,0,0,0
10,1.067,0.586,0.796,0.633,0.349,0.939,1.592,0.791,0,0,0
11,1.067,0.717,0.99,0.679,0.525,0.94,1.537,1.061,0,0,0
12,1.067,0.83,1.479,1.233,1.303,0.827,1.369,1.026,0,0,0
13,1.067,1.048,1.573,0.907,0.879,1.153,1.824,1.07,0,0,0
14,1.067,0.654,0.875,1.34,0.33,0.964,1.469,1.347,0,0,0
15,1.067,1.145,1.784,0.403,0.572,1.381,2.28,1.247,0,0,0
16,1.067,0.286,0.354,0.13,0.161,0.396,0.586,0.527,0,0,0
17,1.067,0.837,1.202,0.102,0.186,1.106,1.63,1.712,0,0,0
18,1.067,0.855,1.22,0.142,0.307,1.074,1.586,1.511,0,0,0
19,1.067,0.775,1.386,0.76,1.225,0.787,1.26,0.629,0,0,0
20,1.067,0.517,0.694,0.509,1.039,0.524,0.683,0.506,0,0,0
21,1.067,0.797,1.275,0.738,1.216,0.74,1.108,0.665,0,0,0
22,1.067,0.397,0.485,0.068,0.3,0.56,0.927,0.627,0,0,0
23,1.067,0.646,0.861,0.397,0.356,0.736,1.231,0.854,0,0,0
24,1.067,0.656,0.88,0.366,3.706,0.655,0.878,-0.06,0,0,0
25,1.067,1.205,1.966,1.052,1.2,1.103,1.754,0.985,0,0,0
26,1.067,0.215,0.182,0.641,2.704,0.272,0.357,1.114,0,0,0
27,1.067,0.577,1.046,1.658,1.786,0.977,1.538,1.501,0,0,0
28,1.067,0.949,1.399,0.859,0.567,1.148,1.853,1.286,0,0,0
29,1.067,0.307,0.349,0.104,0.627,0.3,0.333,0.164,0,0,0
30,1.067,0.658,0.884,1.291,0.52,0.876,1.278,1.566,0,0,0
31,1.067,0.564,0.71,-0.007,0.023,0.671,1.99,1.255,0,0,0
32,1.067,1.215,2.016,1.111,1.371,0.913,1.631,1.029,0,0,0
33,1.067,0.212,0.177,-0.055,0.118,0.214,0.18,-0.046,0,0,0
34,1.067,0.561,0.878,0.445,1.035,0.637,0.978,0.476,0,0,0
35,1.067,0.833,1.41,1.247,-1,0,0,0,0,0,0
36,1.067,0.525,0.718,0.532,1.054,0.524,0.733,0.49,0,0,0
37,1.067,0.512,0.665,0.381,0.939,0.511,0.653,0.444,0,0,0
38,1.067,0.212,0.178,0.132,0.301,0.449,0.569,0.303,0,0,0
39,1.067,0.404,0.492,0.17,0.639,0.41,0.538,0.335,0,0,0
40,1.067,0.32,0.414,0.209,0.3,0.292,0.345,0.163,0,0,0
41,1.067,0.997,1.744,1.306,1.465,1.065,1.639,1.059,0,0,0
42,1.067,0.657,0.88,1.317,3.646,0.584,0.984,0.512,0,0,0
43,1.067,1.078,1.809,1.255,0.963,0.803,1.381,1.389,0,0,0
44,1.067,0.29,0.277,-0.06,0.01,1.06,0.859,0.71,0,0,0
45,1.067,0.34,0.436,0.28,0.985,0.344,0.464,0.322,0,0,0
46,1.067,1.203,2.03,1.212,0.911,0.856,1.442,1.475,0,0,0
47,1.067,0.212,0.177,1.732,1.184,0.212,0.281,1.519,0,0,0
48,1.067,1.152,1.807,0.614,1.225,0.98,1.575,0.401,0,0,0
49,1.067,1.439,2.341,1.247,1.173,1.439,2.34,1.21,0,0,0
50,1.067,0.365,0.612,0.429,0.252,0.596,0.707,0.773,0,0,0
51,1.067,0.281,0.276,0.086,0.256,0.555,0.937,0.217,0,0,0
52,1.067,1.034,1.566,0.403,0.465,1.439,2.337,1.247,0,0,0
53,1.067,1.437,2.338,1.507,1.442,1.424,2.267,1.173,0,0,0
54,1.067,0.473,0.591,0.335,0.509,0.852,1.102,0.224,0,0,0
55,1.067,1.079,1.593,0.36,0.355,1.44,2.341,1.246,0,0,0
56,1.067,1.414,2.288,1.914,1.889,0.833,1.707,1.286,0,0,0
57,1.067,0.212,0.178,-0.06,0.105,0.531,0.682,0.281,0,0,0
58,1.067,0.419,0.657,0.455,0.194,1.122,1.891,0.765,0,0,0
59,1.067,0.636,0.85,0.302,0.992,0.648,0.888,0.368,0,0,0
60,1.067,0.213,0.179,-0.06,0.567,0.221,0.186,-0.06,0,0,0
61,1.067,0.373,0.532,0.527,0.419,0.405,0.632,0.597,0,0,0
62,1.067,0.759,1.095,0.239,0.48,0.813,1.391,0.58,0,0,0
63,1.067,0.408,0.5,-0.035,2.139,0.212,0.177,1.358,0,0,0
64,1.067,0.434,0.72,0.398,0.829,0.4,0.619,0.453,0,0,0
65,1.067,0.624,0.817,1.077,2.206,0.212,0.332,0.349,0,0,0
66,1.067,1.024,1.751,0.929,1.349,0.938,1.401,0.7,0,0,0
67,1.067,0.499,0.813,0.703,0.263,0.605,0.965,0.936,0,0,0
68,1.067,0.428,0.666,0.546,0.239,0.432,0.642,0.652,0,0,0
69,1.067,0.429,0.656,0.604,0.303,0.444,0.67,0.618,0,0,0
70,1.067,1.1,1.837,1.086,0.867,0.793,1.353,1.316,0,0,0
71,1.067,0.212,0.177,-0.06,1.929,0.212,0.178,0.138,0,0,0
72,1.067,0.39,0.651,0.623,0.978,0.326,0.474,0.658,0,0,0
73,1.067,0.444,0.761,0.597,0.993,0.455,0.766,0.652,0,0,0
74,1.067,0.306,0.397,-0.047,0.057,0.318,1.939,0.414,0,0,0
75,1.067,0.237,0.22,-0.06,0.017,0.223,2.014,1.509,0,0,0
76,1.067,0.212,0.177,0.299,2.212,0.212,0.177,0.132,0,0,0
77,1.067,0.48,0.618,0.413,0.682,0.546,0.703,0.373,0,0,0
78,1.067,0.251,0.232,-0.061,2.793,0.212,0.177,-0.04,0,0,0
79,1.067,0.217,0.187,0.261,1.988,0.212,0.345,0.924,0,0,0
80,1.067,0.773,1.285,0.947,1.41,0.62,1.019,0.894,0,0,0
81,1.067,0.488,0.798,0.734,0.235,1.058,1.791,0.988,0,0,0
82,1.067,0.546,0.863,1.185,1.109,0.655,1.095,1.152,0,0,0
83,1.067,0.386,0.553,1.287,0.89,0.25,0.229,1.268,0,0,0
84,1.067,0.334,0.434,0.164,0.823,0.296,0.232,0.194,0,0,0
85,1.067,0.417,0.632,0.439,0.31,0.424,0.631,0.586,0,0,0
86,1.067,1.016,1.703,0.927,1.141,1.086,1.768,0.884,0,0,0
87,1.067,0.502,0.81,0.103,0.154,0.722,1.304,1.224,0,0,0
88,1.067,0.214,0.182,0.996,1.524,0.214,0.437,1.196,0,0,0
89,1.067,0.218,0.188,0.579,0.962,0.216,0.183,0.467,0,0,0
90,1.067,0.225,0.195,-0.052,0.371,0.242,0.248,-0.044,0,0,0
91,1.067,0.323,0.417,-0.057,0.086,0.332,0.622,0.398,0,0,0
92,1.067,0.625,1.034,0.383,0.97,0.492,0.739,0.374,0,0,0
93,1.067,0.394,0.581,-0.003,0.146,0.493,0.893,0.692,0,0,0
94,1.067,0.945,1.583,0.388,0.424,0.952,1.544,1.08,0,0,0
95,1.067,0.571,0.923,0.872,1.362,0.483,0.759,0.846,0,0,0
96,1.067,0.911,1.531,0.57,1.114,0.975,1.59,0.578,0,0,0
97,1.067,0.338,0.434,-0.055,0.577,0.653,1.04,0.21,0,0,0
98,1.067,0.354,0.475,0.007,0.385,0.377,0.537,0.211,0,0,0
99,1.067,0.73,1.212,1.119,1.236,0.821,1.361,1.08,0,0,0
100,1.067,1.036,1.528,1.914,2.121,1.337,2.289,1.239,0,0,0
101,1.067,0.212,0.178,0.642,1.455,0.212,0.178,0.979,0,0,0
102,1.067,0,0,0,-1,0,0,0,0,0,0
103,1.067,1.039,1.731,0.929,1.091,1.086,1.792,0.913,0,0,0
104,1.067,0.278,0.326,-0.059,0.027,0.25,1.965,0.206,0,0,0
105,1.067,0.602,0.992,0.852,0.842,0.665,0.957,0.967,0,0,0
106,1.067,0.952,1.591,0.33,1.218,1.083,1.586,0.301,0,0,0
107,1.067,0.234,0.212,-0.06,0.049,0.222,0.296,-0.015,0,0,0
108,1.067,0.324,0.412,-0.021,0.32,0.314,0.39,0.142,0,0,0
109,1.067,0.259,0.273,0.595,0.831,0.256,0.207,0.664,0,0,0
110,1.067,0.212,1.41,0.4,-1,0,0,0,0,0,0
111,1.067,0.43,0.662,0.861,0.416,0.492,0.831,0.907,0,0,0
112,1.067,0.79,1.31,0.754,0.478,0.914,1.595,1.453,0,0,0
113,1.067,0.44,0.67,0.725,0.479,0.509,0.805,0.861,0,0,0
114,1.067,0.219,0.192,0.733,0.899,0.218,0.188,0.867,0,0,0
115,1.067,0.452,0.69,0.49,0.998,0.306,0.364,0.512,0,0,0
116,1.067,0.932,1.605,1.277,0.802,0.803,1.528,1.53,0,0,0
117,1.067,0.631,1.026,0.485,0.914,0.584,0.901,0.525,0,0,0
118,1.067,0.338,0.444,-0.059,0.253,0.308,0.366,0.002,0,0,0
119,1.067,1.062,1.781,1.911,1.306,0.951,1.606,1.875,0,0,0
120,1.067,0.425,0.611,0.101,1.379,0.352,0.364,0.133,0,0,0
121,1.067,0.316,0.417,-0.043,0.058,0.327,1.867,0.475,0,0,0
122,1.067,0.432,0.648,1.055,1.312,0.384,0.511,0.936,0,0,0
123,1.067,1.438,2.337,1.514,0.358,0.833,1.411,1.915,0,0,0
124,1.067,0.4,0.598,0.535,0.314,0.395,0.574,0.581,0,0,0
125,1.067,0.404,0.612,0.54,0.25,0.389,0.551,0.539,0,0,0
126,1.067,0.517,0.795,0.366,0.87,0.44,0.616,0.446,0,0,0
127,1.067,0.214,0.181,0.122,1.002,0.214,0.18,0.159,0,0,0
128,1.067,0.496,0.769,-0.06,0.187,0.625,1.182,0.62,0,0,0
129,1.067,0.694,1.177,1.18,0.618,1.015,1.732,1.536,0,0,0
130,1.067,1.436,2.336,1.514,1.449,1.438,2.339,1.203,0,0,0
131,1.067,0.289,0.348,-0.053,0.145,0.297,0.34,0.136,0,0,0
132,1.067,0.423,0.645,0.562,0.275,0.418,0.605,0.57,0,0,0
