id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,HAWKIY,eHAWKIY,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
749,53.740986,-29.456219,1875.32,1968.13,18.003,0,0.13,2.297,0,11.247,1.208,0.759,0.061,0.798,0.052,1.128,0.086,1.418,0.058,3.128,0.132,4.471,0.283,4.639,0.248,5.857,0.427,11.069,1.401,7.808,1.644,10.581,3.676,2.268,3.584
750,53.815464,-29.456345,708.02,1965.73,69.089,0,0.05,2.451,0,42.111,1.668,2.237,0.075,3.204,0.067,6.689,0.105,10.507,0.064,16.039,0.162,18.701,0.349,20.465,0.354,27.783,0.767,23.099,2.302,20.806,2.927,17.353,4.431,9.993,4.333
751,53.693687,-29.456364,2616.65,1965.2,13.344,0,0.04,2.498,1,8.371,0.876,0.263,0.105,0.098,0.083,0.2,0.148,0.537,0.114,1.741,0.228,1.984,0.478,3.024,0.192,-999.0,9999.0,7.311,1.321,5.016,1.198,2.536,3.198,17.787,2.755
752,53.707348,-29.456341,2402.5,1965.74,8.985,0,0.66,1.723,1,6.719,0.87,0.671,0.075,0.949,0.068,1.049,0.105,1.745,0.079,3.074,0.186,3.815,0.398,3.664,0.191,-999.0,9999.0,7.643,1.376,5.656,1.277,1.081,3.213,1.483,3.018
753,53.675556,-29.456511,2900.82,1962.38,12.664,3,0.21,2.282,1,9.542,0.975,1.985,0.105,2.076,0.117,3.116,0.148,5.146,0.115,7.263,0.32,7.767,0.681,6.655,0.208,-999.0,9999.0,6.541,1.213,4.913,1.15,7.663,3.427,2.307,3.141
754,53.67535,-29.456699,2904.02,1958.97,16.137,3,0.26,2.818,1,11.321,0.986,1.703,0.105,2.09,0.117,2.121,0.148,2.323,0.115,3.96,0.32,3.975,0.681,6.553,0.212,-999.0,9999.0,9.594,1.367,6.183,1.241,8.908,3.019,8.691,2.967
755,53.747353,-29.456614,1775.53,1961.05,15.304,0,0.13,1.9,0,10.448,0.996,0.057,0.061,0.141,0.052,0.079,0.086,0.316,0.058,0.861,0.132,1.217,0.282,2.414,0.233,3.793,0.432,13.821,1.486,14.066,1.993,7.23,3.974,6.111,3.202
756,53.726372,-29.456865,2104.33,1956.42,11.621,0,0.38,3.782,0,6.353,0.89,0.445,0.075,0.57,0.058,0.619,0.104,0.571,0.068,0.978,0.145,0.691,0.308,1.17,0.196,1.36,0.425,7.816,1.349,9.065,1.709,0.662,3.572,4.911,3.492
757,53.677288,-29.456947,2873.63,1954.53,7.551,0,0.69,2.068,1,5.534,0.904,1.768,0.105,1.981,0.117,1.795,0.148,1.467,0.115,2.183,0.32,2.543,0.681,3.346,0.197,-999.0,9999.0,3.221,1.147,2.33,0.892,1.804,4.303,-5.296,4.223
758,53.790955,-29.457161,1092.12,1951.14,23.418,0,0.01,2.371,0,15.144,0.901,0.292,0.061,0.406,0.052,0.408,0.086,0.968,0.058,2.179,0.132,2.801,0.298,4.096,0.202,6.377,0.429,20.616,2.136,21.087,2.888,27.237,4.833,19.411,4.772
