id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
2559,316.575439,-58.714203,973.89,1984.46,95.073,0,0.02,4.381,0,44.725,0.893,4.324,0.083,5.507,0.055,12.31,0.082,16.485,0.092,21.915,0.156,24.742,0.294,27.952,0.364,30.819,0.517,14.555,2.588,9.837,2.997
2560,316.584259,-58.693035,890.94,2365.35,18.779,0,0.92,1.719,1,15.08,1.381,0.673,0.106,0.844,0.071,1.362,0.1,2.189,0.105,4.718,0.204,5.471,0.386,6.255,0.683,10.318,1.094,-999.0,9999.0,-999.0,9999.0
2561,316.679199,-58.692947,2.98,2365.45,29.155,24,0.01,3.575,1,16.862,1.58,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,7.084,0.7,10.464,1.313,-999.0,9999.0,-999.0,9999.0
2562,316.459412,-58.691956,2058.83,2384.84,13.896,0,0.67,2.273,1,10.142,1.566,0.796,0.102,1.061,0.087,1.302,0.1,1.631,0.113,3.033,0.221,3.644,0.442,3.71,0.799,6.94,1.61,5.973,3.131,-999.0,9999.0
2563,316.444641,-58.692268,2197.03,2379.08,34.346,0,0.96,1.242,1,30.512,2.197,0.537,0.102,3.016,0.087,8.743,0.1,13.551,0.125,24.346,0.269,27.715,0.539,29.306,0.792,36.612,1.516,11.267,5.914,7.111,3.186
2564,316.670349,-58.693066,85.88,2363.5,34.302,0,0.06,2.228,1,25.651,1.574,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.214,0.278,6.021,0.385,6.6,0.787,10.566,0.768,11.676,1.416,-999.0,9999.0,-999.0,9999.0
2565,316.617035,-58.693176,584.47,2362.48,11.749,0,0.77,1.942,1,9.129,1.389,1.402,0.144,2.283,0.088,3.442,0.142,4.759,0.138,5.362,0.221,5.623,0.443,5.169,0.911,8.273,1.534,-999.0,9999.0,-999.0,9999.0
2566,316.66217,-58.713657,163.09,1993.01,10.409,0,0.01,2.318,1,7.511,0.762,0.183,0.144,0.347,0.088,0.453,0.142,0.662,0.159,1.14,0.271,1.248,0.551,1.742,0.364,2.441,0.509,-999.0,9999.0,-999.0,9999.0
2567,316.58905,-58.696541,846.3,2302.24,42.123,0,0.08,1.859,1,31.898,1.066,0.486,0.083,0.757,0.055,1.447,0.082,2.165,0.092,7.03,0.156,7.637,0.293,11.576,0.487,14.922,0.699,36.352,58.028,-999.0,9999.0
2568,316.651947,-58.692131,257.92,2380.68,5.779,0,0.87,1.277,1,5.751,1.595,-999.0,9999.0,0.333,0.126,-999.0,9999.0,1.766,0.278,3.821,0.385,3.12,0.787,4.223,0.85,6.146,2.144,-999.0,9999.0,-999.0,9999.0
2569,316.448669,-58.692814,2159.21,2369.33,5554.232,0,0.99,1.29,1,4434.713,1.837,764.472,0.102,1268.422,0.087,1629.183,0.1,1149.655,0.124,1654.515,0.269,3476.093,0.539,4454.072,0.713,5811.899,1.142,1521.874,61.145,877.768,29.89
2570,316.425049,-58.69273,2380.25,2370.53,9.646,1,0.05,8.825,1,-999.0,9999.0,-0.079,0.145,0.369,0.123,1.003,0.142,1.38,0.161,6.535,0.383,6.822,0.785,4.56,1.829,7.477,1.722,-999.0,9999.0,8.167,1.541
2571,316.593842,-58.692242,801.45,2379.53,12.33,0,0.33,1.903,1,10.147,1.541,0.694,0.102,0.995,0.071,1.099,0.1,0.665,0.107,1.972,0.191,4.095,0.385,5.222,0.883,4.999,2.241,-999.0,9999.0,-999.0,9999.0
2572,316.575104,-58.692921,976.7,2367.48,27.064,0,0.92,1.673,1,21.881,1.57,1.067,0.102,1.443,0.072,1.811,0.1,2.325,0.105,5.598,0.192,7.509,0.386,8.568,0.709,12.573,1.118,21.108,7.188,10.835,7.675
2573,316.583313,-58.713398,900.39,1998.83,3.817,0,0.01,1.69,0,3.173,0.76,0.949,0.083,0.845,0.055,1.0,0.082,1.124,0.092,1.995,0.156,2.511,0.293,3.225,0.364,3.55,0.522,2.325,2.98,-0.876,1.835
2574,316.481842,-58.692303,1849.06,2378.72,17.836,0,0.99,1.395,1,15.255,1.544,7.769,0.102,13.176,0.071,19.083,0.1,21.138,0.113,23.856,0.192,24.299,0.386,23.423,0.796,26.408,1.476,6.046,2.02,-0.01,3.056
2575,316.502625,-58.692081,1654.47,2382.85,10.29,0,0.68,2.192,1,8.291,1.555,1.451,0.142,1.886,0.071,1.981,0.1,2.367,0.113,4.513,0.191,5.002,0.385,6.702,0.798,8.772,1.561,8.75,2.672,8.721,3.822
2576,316.63092,-58.692467,454.67,2375.0,60.14,0,0.03,2.595,1,44.024,1.513,0.843,0.144,1.802,0.087,2.941,0.142,6.392,0.137,10.647,0.221,13.076,0.442,15.259,0.798,20.793,1.732,-999.0,9999.0,-999.0,9999.0
2577,316.49762,-58.692738,1701.28,2370.99,4.855,0,0.7,1.22,1,5.502,1.413,0.024,0.102,0.2,0.071,0.974,0.1,2.149,0.108,3.685,0.191,4.283,0.385,4.686,0.735,6.888,1.201,-0.026,0.696,-2.151,0.836
2578,316.592987,-58.694275,809.58,2342.97,9.967,0,0.59,1.546,1,9.023,1.226,0.814,0.083,1.091,0.062,1.579,0.082,2.951,0.096,4.402,0.171,4.621,0.316,6.13,0.617,6.659,0.93,-999.0,9999.0,-999.0,9999.0
2579,316.446442,-58.695621,2180.12,2318.76,16.537,0,0.89,1.614,0,13.656,1.456,1.562,0.102,2.039,0.071,2.244,0.1,2.82,0.124,4.599,0.219,6.143,0.388,8.703,0.497,8.885,0.708,17.184,6.61,16.647,4.56
2580,316.64566,-58.713577,317.53,1994.81,9.712,0,0.77,1.411,1,7.998,0.759,-0.106,0.144,0.018,0.088,0.119,0.142,0.678,0.123,0.63,0.222,3.904,0.449,1.153,0.364,1.294,0.506,-999.0,9999.0,-999.0,9999.0
2581,316.483124,-58.713058,1836.73,2005.18,8.108,0,0.97,1.212,0,7.027,0.75,0.043,0.083,0.338,0.055,1.382,0.082,2.833,0.094,5.235,0.156,5.792,0.294,7.844,0.364,8.657,0.503,2.713,1.174,2.836,1.21
2582,316.582031,-58.713573,912.34,1995.68,4.834,0,0.02,2.35,0,4.712,0.768,0.135,0.083,0.437,0.055,0.966,0.082,1.143,0.092,1.497,0.156,1.687,0.294,2.109,0.364,3.071,0.518,0.41,1.821,-0.497,1.242
2583,316.673706,-58.692657,54.3,2370.8,9.806,0,0.55,1.941,1,8.485,1.748,-999.0,9999.0,0.438,0.125,-999.0,9999.0,-999.0,9999.0,0.904,0.383,4.524,0.784,2.551,0.797,5.669,1.645,-999.0,9999.0,-999.0,9999.0
2584,316.616455,-58.713409,590.57,1998.27,4.764,0,0.54,1.36,1,4.318,0.76,0.726,0.102,0.797,0.071,0.9,0.1,1.199,0.114,1.846,0.192,2.054,0.384,2.731,0.472,2.696,0.64,6.623,4.175,-999.0,9999.0
2585,316.587982,-58.713291,856.62,2000.7,6.688,0,0.01,1.97,0,5.326,0.757,0.659,0.083,0.862,0.055,0.881,0.082,1.087,0.095,1.661,0.156,1.763,0.293,2.544,0.38,3.785,0.516,-2.2,3.041,4.967,4.278
2586,316.424988,-58.693504,2380.74,2356.63,20.852,1,0.99,8.534,1,-999.0,9999.0,0.296,0.145,0.288,0.123,0.148,0.142,0.189,0.161,-0.169,0.382,0.184,0.785,-0.929,1.521,-0.997,1.739,-999.0,9999.0,12.123,2.088
2587,316.440216,-58.713173,2237.99,2002.73,4.467,0,0.82,1.137,0,4.159,1.117,-0.033,0.102,-0.001,0.062,0.069,0.1,0.037,0.113,0.206,0.171,0.505,0.317,1.555,0.412,2.798,0.564,6.916,3.16,-0.014,1.754
2588,316.669586,-58.694099,92.95,2344.92,6.57,0,0.82,1.715,1,5.52,1.473,-999.0,9999.0,1.817,0.126,-999.0,9999.0,2.036,0.277,2.698,0.384,-999.0,9999.0,3.575,0.627,3.543,1.0,-999.0,9999.0,-999.0,9999.0
2589,316.464172,-58.695415,2014.25,2322.6,7.458,0,0.97,1.281,1,5.38,1.137,0.042,0.102,0.101,0.062,0.457,0.1,0.817,0.113,3.301,0.171,4.06,0.317,5.498,0.502,6.244,0.71,-0.201,0.591,-999.0,9999.0
2590,316.592346,-58.694622,815.46,2336.76,5.561,0,0.92,1.288,1,6.224,1.185,0.067,0.083,0.136,0.062,0.555,0.082,0.75,0.092,0.925,0.171,0.807,0.315,1.284,0.6,1.963,0.87,-999.0,9999.0,-999.0,9999.0
2591,316.659332,-58.69331,188.87,2359.32,11.038,0,0.21,1.727,1,9.315,1.378,-999.0,9999.0,0.995,0.126,-999.0,9999.0,2.114,0.278,4.169,0.384,6.037,0.786,5.884,0.724,8.161,1.312,-999.0,9999.0,-999.0,9999.0
2592,316.591034,-58.700928,827.89,2223.27,45.082,0,0.97,1.245,1,37.019,0.938,0.038,0.084,0.24,0.055,1.256,0.082,2.867,0.092,17.407,0.157,24.4,0.295,35.623,0.416,42.185,0.66,14.117,6.98,26.576,10.188
2593,316.560272,-58.693783,1115.43,2352.06,42.364,0,0.86,2.474,0,28.897,1.445,0.116,0.091,0.243,0.06,0.732,0.091,1.743,0.105,6.496,0.166,8.114,0.349,10.913,0.601,14.093,0.919,21.893,4.896,14.389,4.846
2594,316.528748,-58.712872,1410.21,2008.59,2.901,0,0.53,1.589,0,2.442,0.755,0.324,0.083,0.502,0.055,1.272,0.082,3.194,0.092,4.691,0.156,2.004,0.293,2.323,0.363,2.784,0.517,3.24,1.391,-3.753,0.816
2595,316.566162,-58.693829,1060.34,2351.21,27.654,0,0.72,1.839,0,21.474,1.637,0.678,0.088,0.754,0.057,1.378,0.088,1.938,0.104,4.307,0.164,5.94,0.348,6.467,0.594,11.468,0.872,21.559,7.374,11.97,5.366
2596,316.4505,-58.696037,2142.01,2311.29,7.665,0,0.94,1.542,1,5.893,1.228,0.961,0.102,1.082,0.071,1.259,0.1,1.813,0.124,3.163,0.209,3.873,0.388,3.643,0.484,4.66,0.681,4.561,5.18,712.151,30.041
2597,316.488953,-58.693821,1782.37,2351.44,7.618,0,0.6,2.2,0,5.332,1.264,0.814,0.102,1.073,0.063,1.215,0.1,1.322,0.119,1.621,0.174,1.584,0.353,2.672,0.589,3.569,0.878,3.759,2.132,0.512,2.697
2598,316.614105,-58.712536,612.28,2014.03,4.64,0,0.55,1.194,1,4.317,0.763,0.024,0.102,0.031,0.071,0.109,0.1,0.139,0.112,0.334,0.191,0.264,0.384,1.38,0.515,1.467,0.69,-999.0,9999.0,-999.0,9999.0
2599,316.605133,-58.696857,695.81,2296.34,10.991,0,0.01,1.72,1,9.311,1.051,0.024,0.102,0.016,0.071,-3.661,0.1,-7.0,0.112,-4.57,0.191,0.582,0.384,0.852,0.682,3.24,1.256,-999.0,9999.0,-999.0,9999.0
2600,316.672211,-58.694462,68.55,2338.32,57.186,0,0.03,2.457,1,40.948,1.441,-999.0,9999.0,2.11,0.126,-999.0,9999.0,-999.0,9999.0,9.603,0.384,14.804,0.785,14.731,0.575,18.391,0.914,-999.0,9999.0,-999.0,9999.0
2601,316.544128,-58.694489,1266.46,2339.49,1483.459,0,0.98,1.324,0,1186.516,1.454,8.714,0.084,39.438,0.055,135.825,0.082,257.378,0.093,675.416,0.156,915.382,0.294,1128.428,0.551,1291.629,0.774,458.708,23.85,297.65,17.237
2602,316.633789,-58.712761,428.53,2009.66,14.891,0,0.0,2.956,1,9.533,0.755,0.459,0.102,0.663,0.079,1.167,0.1,2.201,0.112,3.718,0.192,5.043,0.384,4.597,0.364,6.062,0.509,-999.0,9999.0,-999.0,9999.0
2603,316.649139,-58.694851,284.37,2331.78,528.9,0,0.03,3.324,1,291.987,1.197,1.058,0.144,3.01,0.088,10.896,0.142,31.808,0.159,70.494,0.271,87.163,0.551,108.36,0.556,146.883,0.802,-999.0,9999.0,-999.0,9999.0
2604,316.561432,-58.694294,1104.7,2342.88,49.921,0,0.02,3.289,0,31.34,1.352,0.019,0.084,0.554,0.055,1.676,0.082,2.893,0.096,5.0,0.156,6.081,0.294,6.996,0.56,11.607,0.782,49.569,7.26,54.621,8.951
2605,316.576996,-58.694206,959.15,2344.38,38.594,0,0.01,3.824,1,20.705,1.326,1.545,0.083,1.875,0.055,2.757,0.082,4.654,0.1,8.437,0.156,9.557,0.293,11.24,0.561,13.415,0.783,10.22,4.604,9.146,5.956
2606,316.611389,-58.712547,637.75,2013.87,3.709,0,0.31,1.248,1,3.475,0.754,-0.03,0.102,0.128,0.071,0.53,0.1,0.827,0.114,1.204,0.192,1.231,0.394,0.533,0.524,1.531,0.737,-999.0,9999.0,-999.0,9999.0
2607,316.600128,-58.712357,743.1,2017.43,33.598,0,0.14,1.781,1,26.148,0.758,0.122,0.102,0.442,0.071,1.055,0.1,1.838,0.104,4.757,0.192,6.729,0.344,10.176,0.501,13.788,0.761,30.05,8.499,-999.0,9999.0
2608,316.645111,-58.694191,321.98,2343.79,29.911,0,0.02,2.06,1,23.897,1.226,1.898,0.144,2.027,0.088,2.975,0.142,4.712,0.222,6.87,0.271,8.589,0.552,10.347,0.617,14.14,1.013,-999.0,9999.0,-999.0,9999.0
2609,316.542084,-58.69548,1285.63,2321.64,10.184,0,0.62,1.885,0,8.74,1.231,0.114,0.083,0.202,0.055,0.446,0.082,0.746,0.092,1.912,0.156,2.474,0.294,3.831,0.502,3.815,0.707,14.735,3.224,12.422,2.707
2610,316.465027,-58.697483,2006.3,2285.43,18.338,0,0.48,1.785,0,14.259,1.044,0.21,0.102,0.276,0.062,0.512,0.1,0.677,0.113,1.629,0.191,2.117,0.317,4.034,0.416,5.512,0.64,20.456,5.312,15.55,7.999
2611,316.541168,-58.694183,1294.17,2344.94,5.251,0,0.83,1.507,0,5.268,1.249,-0.03,0.083,0.088,0.055,0.039,0.082,0.224,0.101,0.45,0.156,0.566,0.295,1.89,0.561,2.406,0.813,4.864,2.046,2.414,1.445
2612,316.516571,-58.696529,1524.2,2302.8,6.899,0,0.97,1.235,0,4.59,1.068,-0.156,0.083,0.142,0.061,0.946,0.082,1.811,0.092,4.118,0.156,4.915,0.293,5.737,0.456,7.279,0.671,2.833,0.963,-0.47,0.415
2613,316.441895,-58.694908,2222.45,2331.51,9.529,0,0.94,1.579,0,8.026,1.557,1.815,0.102,2.152,0.071,2.538,0.1,4.418,0.155,6.009,0.219,5.604,0.448,7.937,0.584,7.549,0.778,4.363,3.504,4.419,2.722
