id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,DECamz,eDECamz,FOURSTARJ1,eFOURSTARJ1,HAWKIJ,eHAWKIJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1631,9.008288,-43.184387,828.66,1903.7,70.504,0,0.03,2.428,0,34.987,0.393,0.815,0.096,1.583,0.074,4.363,0.112,7.493,0.088,12.272,0.158,14.646,0.172,17.338,0.572,20.994,0.189,14.323,0.285,12.622,0.328,7.533,1.435,9.132,1.845
1632,8.935158,-43.183487,1788.49,1920.07,6.156,0,0.01,1.764,0,3.621,0.425,1.297,0.083,1.293,0.057,1.47,0.096,2.172,0.078,2.488,0.128,2.455,0.152,2.552,0.428,2.771,0.212,1.346,0.315,1.707,0.359,-0.006,1.604,-6.762,2.039
1633,8.977415,-43.184193,1233.86,1907.37,4.924,0,0.03,1.467,0,3.052,0.404,0.671,0.083,0.795,0.057,0.846,0.092,0.924,0.078,1.215,0.128,1.669,0.141,2.441,0.426,2.77,0.199,3.331,0.318,2.814,0.357,2.089,1.601,-0.914,2.006
1634,8.997075,-43.184341,975.83,1904.65,26.227,0,0.03,2.01,0,14.244,0.407,1.568,0.083,1.643,0.057,2.117,0.092,2.749,0.082,5.553,0.128,6.814,0.154,7.808,0.439,8.669,0.197,15.073,0.288,12.117,0.33,9.328,1.5,2.546,1.861
1635,9.011013,-43.184181,792.9,1907.41,1.683,0,0.0,1.192,0,1.063,0.39,0.371,0.096,0.518,0.074,0.742,0.111,0.678,0.088,0.763,0.157,0.73,0.14,1.052,0.64,0.986,0.189,0.491,0.09,0.342,0.102,-1.387,0.456,0.928,0.556
1636,8.868827,-43.184277,2659.06,1905.33,8.71,0,0.01,2.004,1,4.853,0.519,0.607,0.096,0.702,0.074,0.786,0.113,1.097,0.096,1.785,0.155,2.269,0.137,-999.0,9999.0,2.968,0.269,5.849,0.23,4.505,0.26,2.59,1.17,4.411,1.486
1637,8.966679,-43.184258,1374.78,1906.24,6.781,0,0.01,1.565,0,4.052,0.391,0.002,0.083,0.079,0.057,0.132,0.092,0.054,0.078,0.161,0.128,0.125,0.137,0.633,0.429,0.968,0.189,8.109,0.312,11.143,0.356,8.333,1.6,5.167,2.004
1638,8.998706,-43.184353,954.43,1904.43,11.341,0,0.12,1.516,0,6.401,0.393,0.619,0.083,0.781,0.057,0.888,0.092,1.127,0.078,2.046,0.128,2.708,0.143,3.787,0.428,3.817,0.189,5.666,0.326,5.87,0.368,5.244,1.642,-1.699,2.086
1639,8.906619,-43.184212,2163.06,1906.86,27.832,0,0.04,1.523,0,15.967,0.409,0.144,0.083,0.222,0.057,0.267,0.092,0.753,0.078,2.408,0.128,4.065,0.146,5.03,0.426,6.899,0.199,18.734,0.29,15.66,0.33,11.829,1.484,17.031,1.943
1640,8.991334,-43.184319,1051.19,1905.07,1.773,0,0.0,1.225,0,2.806,0.417,0.117,0.095,0.298,0.057,0.504,0.092,0.636,0.078,1.021,0.128,1.174,0.139,2.022,0.431,2.066,0.21,2.423,0.056,2.292,0.064,1.064,0.292,-0.004,0.363
