id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,DECamz,eDECamz,FOURSTARJ1,eFOURSTARJ1,HAWKIJ,eHAWKIJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1,8.936897,-43.284817,1765.22,96.18,19670.301,4,1.0,1.266,1,11091.526,0.6,3465.651,0.156,1459.998,0.085,2106.158,0.157,1219.503,0.164,2055.402,0.223,9303.744,2.417,13481.354,0.441,17591.094,0.272,3473.404,0.376,2270.485,0.352,1483.833,3.258,754.732,1.947
2,8.896868,-43.28928,2289.68,15.6,1134.67,24,0.03,3.964,1,403.612,1.614,1.728,0.156,5.547,0.12,19.768,0.157,67.712,0.115,122.106,0.307,148.355,0.314,181.491,0.479,221.283,0.605,210.648,0.311,168.152,0.316,128.341,2.471,53.432,3.738
3,8.900668,-43.289268,2239.88,15.79,110.545,16,0.02,5.047,1,35.368,1.019,1.934,0.156,2.887,0.12,6.426,0.157,11.898,0.116,17.337,0.307,19.856,0.159,21.39,0.431,23.124,0.527,17.814,0.282,15.16,0.288,5.896,2.411,11.558,2.75
4,8.966531,-43.289028,1376.93,20.39,20.617,0,0.08,2.236,1,10.401,0.735,0.024,0.156,0.239,0.085,0.096,0.158,0.278,0.116,0.258,0.224,1.236,0.119,2.18,0.432,3.735,0.334,14.09,0.263,16.065,0.306,14.816,1.311,10.581,1.532
5,8.953326,-43.289295,1549.94,15.6,7.134,0,0.09,2.454,1,3.98,0.733,0.038,0.156,0.032,0.085,-0.103,0.157,0.11,0.116,0.255,0.296,0.379,0.116,1.682,0.442,1.776,0.338,3.236,0.312,4.8,0.292,6.954,1.304,-1.974,1.659
6,9.024652,-43.289268,615.41,15.71,12.917,0,0.05,1.801,1,7.133,0.738,-999.0,9999.0,2.395,0.12,-999.0,9999.0,3.129,0.23,4.737,0.324,5.03,0.128,5.247,0.507,4.087,0.347,10.349,0.289,9.471,0.33,6.952,1.458,6.332,1.822
7,8.993836,-43.289528,1019.18,11.27,29.875,16,0.0,3.885,1,11.501,0.879,0.953,0.156,1.293,0.085,1.085,0.158,1.858,0.116,2.74,0.224,3.801,0.125,5.706,0.429,6.9,0.429,11.972,0.245,12.852,0.282,7.636,1.249,8.303,1.586
8,8.961558,-43.289551,1442.09,10.96,7.38,0,0.06,2.361,1,3.194,0.744,0.615,0.156,0.963,0.085,1.755,0.157,2.267,0.116,2.43,0.223,2.787,0.122,2.994,0.432,2.273,0.348,2.506,0.336,2.114,0.389,-4.062,1.699,-4.16,2.152
9,9.060884,-43.289433,140.7,12.26,6.065,0,0.06,2.021,1,3.4,0.741,-999.0,9999.0,0.657,0.12,-999.0,9999.0,-999.0,9999.0,0.701,0.325,1.133,0.12,1.269,0.431,2.302,0.349,3.711,0.331,4.128,0.378,4.697,1.686,-4.263,2.142
10,9.021066,-43.289486,662.41,11.82,4.283,0,0.59,2.153,1,2.531,0.742,-999.0,9999.0,1.808,0.12,-999.0,9999.0,2.319,0.23,3.679,0.324,2.94,0.123,3.239,0.616,2.103,0.348,8.832,0.295,5.529,0.34,9.206,1.486,1.675,1.867
11,8.946869,-43.289692,1634.55,8.47,22.978,16,0.05,2.166,1,12.125,0.755,1.251,0.156,1.606,0.085,1.37,0.157,1.925,0.116,2.525,0.223,3.11,0.123,5.0,0.445,6.762,0.36,11.499,0.339,13.293,0.312,8.171,3.2,5.681,1.773
12,8.892721,-43.289589,2344.0,10.0,9.207,17,0.03,7.236,1,-999.0,9999.0,-0.047,0.153,-0.067,0.117,-0.151,0.154,-0.288,0.131,-0.613,0.301,0.394,0.115,-0.676,0.526,-999.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
13,8.935652,-43.289722,1781.52,7.84,17.076,16,0.03,1.967,1,9.093,0.751,0.096,0.156,0.315,0.085,0.754,0.157,2.529,0.116,3.301,0.223,4.41,0.126,4.282,0.436,5.279,0.354,3.514,0.327,5.167,0.301,7.303,3.086,2.695,1.766
14,9.016779,-43.289967,718.58,3.24,32.703,24,0.03,2.881,1,19.2,0.684,-999.0,9999.0,1.323,0.11,-999.0,9999.0,1.47,0.209,-999.0,9999.0,2.839,0.113,2.106,0.607,7.131,0.325,14.864,0.2,18.547,0.233,22.492,1.008,16.316,1.309
15,9.02777,-43.289787,574.57,6.35,3.661,16,0.04,1.856,1,2.466,0.741,-999.0,9999.0,0.559,0.12,-999.0,9999.0,1.203,0.23,1.299,0.325,1.283,0.119,0.787,0.466,0.292,0.356,1.636,0.28,1.559,0.32,2.712,1.408,3.277,1.716
16,9.036091,-43.289925,465.55,3.74,24.259,24,0.02,2.443,1,13.532,0.699,-999.0,9999.0,0.753,0.113,-999.0,9999.0,1.199,0.216,1.751,0.305,3.174,0.117,4.905,0.4,6.66,0.333,12.343,0.234,12.144,0.263,6.766,1.17,13.997,1.345
17,9.003823,-43.289867,888.32,5.13,3.885,16,0.73,1.402,1,3.226,0.743,0.142,0.155,-0.009,0.084,0.032,0.157,0.016,0.115,-0.159,0.222,0.05,0.115,-0.161,0.446,0.729,0.352,2.54,0.217,3.086,0.245,3.071,1.088,5.074,1.441
18,8.892679,-43.289864,2344.55,5.0,11.214,17,0.99,7.625,1,-999.0,9999.0,-0.036,0.153,-0.04,0.118,-0.087,0.155,-0.274,0.131,-999.0,9999.0,0.3,0.116,-0.884,0.532,-999.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,9.031343,-43.289921,527.77,3.92,3.578,16,0.76,1.43,1,2.489,0.711,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.261,0.218,1.065,0.308,1.914,0.115,1.391,0.406,2.097,0.339,0.577,0.192,0.253,0.213,1.756,0.954,1.314,1.069
20,8.921333,-43.290047,1969.11,1.93,9.269,24,0.95,1.261,1,6.375,0.615,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.413,0.097,0.008,0.365,1.26,0.293,3.912,0.248,4.404,0.259,4.216,2.036,1.694,2.232
21,8.960104,-43.28875,1461.14,25.42,23.029,0,0.01,2.913,1,10.604,0.72,0.435,0.156,0.671,0.085,0.709,0.157,1.173,0.116,1.44,0.223,2.283,0.121,3.761,0.438,5.361,0.326,13.753,0.28,16.152,0.321,10.327,1.442,-0.115,1.811
22,9.000422,-43.289024,932.87,20.31,11.931,0,0.14,2.184,1,7.039,0.73,1.67,0.157,1.638,0.085,1.244,0.158,1.863,0.116,2.405,0.224,3.081,0.124,3.821,0.426,3.875,0.335,6.082,0.204,5.674,0.231,0.327,1.026,2.48,1.303
23,9.030396,-43.288357,540.15,32.08,14.562,0,0.0,3.219,1,6.642,0.7,-999.0,9999.0,1.831,0.12,-999.0,9999.0,3.798,0.23,4.667,0.325,5.035,0.128,4.937,0.429,5.589,0.317,3.09,0.271,2.75,0.297,-0.094,1.35,-2.008,1.465
24,9.007751,-43.288319,836.84,32.97,30.425,0,0.12,1.806,1,16.595,0.694,-999.0,9999.0,0.991,0.12,-999.0,9999.0,3.089,0.163,5.949,0.325,6.987,0.132,8.609,0.511,10.016,0.319,11.825,0.283,8.391,0.323,4.743,1.439,-1.284,1.83
25,8.892755,-43.289333,2343.57,14.56,9.816,17,0.99,7.589,1,-999.0,9999.0,0.015,0.156,-0.102,0.12,-0.225,0.158,-0.27,0.134,-0.342,0.307,0.465,0.117,-0.424,0.542,-999.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
26,8.974161,-43.289215,1276.97,17.0,2.748,0,0.61,1.638,1,1.754,0.739,0.379,0.156,0.245,0.085,0.22,0.157,0.273,0.116,0.281,0.223,0.298,0.116,0.145,0.431,0.649,0.343,0.442,0.269,0.059,0.305,-2.687,1.348,-0.116,1.69
27,8.925617,-43.288334,1913.0,32.84,60.152,0,0.03,2.034,1,31.496,0.706,2.406,0.156,2.709,0.085,3.544,0.158,5.296,0.116,11.643,0.224,13.713,0.146,14.427,0.438,20.488,0.326,28.666,0.343,20.293,0.353,24.683,3.363,15.388,3.038
28,8.999604,-43.28867,943.59,26.68,15.625,0,0.34,1.603,1,10.072,0.708,0.629,0.156,0.539,0.085,0.622,0.157,0.924,0.116,1.828,0.223,2.525,0.122,3.83,0.427,4.166,0.324,9.5,0.235,8.411,0.266,4.227,1.181,1.981,1.499
29,9.015532,-43.288681,734.91,26.41,7.842,2,0.11,2.614,1,4.742,0.72,-999.0,9999.0,1.174,0.12,-999.0,9999.0,1.794,0.229,1.768,0.324,2.531,0.122,2.112,0.627,3.02,0.328,6.137,0.269,6.149,0.309,10.565,1.349,4.062,1.753
30,8.892696,-43.289169,2344.33,17.5,24.132,17,1.0,8.329,1,-999.0,9999.0,0.021,0.156,-0.122,0.12,-0.257,0.158,-0.324,0.134,-0.254,0.308,0.372,0.117,-0.545,0.538,-999.0,9999.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
31,9.046855,-43.288902,324.51,22.0,3.183,0,0.04,1.563,1,2.21,0.728,-999.0,9999.0,0.685,0.12,-999.0,9999.0,-999.0,9999.0,0.89,0.324,1.09,0.118,2.29,0.426,1.873,0.332,1.509,0.246,1.026,0.283,-1.384,1.235,-1.463,1.547
32,8.964049,-43.288677,1409.45,26.67,2.907,0,0.75,1.513,1,1.888,0.711,0.645,0.156,0.865,0.085,0.485,0.157,0.904,0.116,0.936,0.223,1.04,0.118,1.026,0.434,1.713,0.326,1.405,0.274,1.756,0.322,5.615,1.342,-4.487,1.644
33,9.00019,-43.288483,935.92,30.06,5.605,0,0.0,2.014,1,5.468,0.694,0.69,0.156,0.822,0.085,0.606,0.158,1.076,0.116,1.304,0.224,1.948,0.121,2.849,0.427,2.288,0.318,4.421,0.165,4.215,0.187,1.412,0.831,0.759,1.055
34,9.049696,-43.288456,287.28,30.03,7.748,0,0.0,2.247,1,4.42,0.707,-999.0,9999.0,1.167,0.12,-999.0,9999.0,-999.0,9999.0,3.021,0.325,3.177,0.123,2.982,0.426,3.715,0.319,1.107,0.304,0.855,0.347,-3.518,1.556,0.082,1.929
35,9.015224,-43.288757,738.93,25.0,6.065,3,0.26,2.039,1,4.169,0.73,-999.0,9999.0,1.074,0.12,-999.0,9999.0,1.089,0.23,2.154,0.324,2.42,0.122,2.173,0.617,2.697,0.329,5.17,0.252,4.826,0.288,7.496,1.258,3.338,1.634
36,8.934962,-43.288292,1790.57,33.62,7.447,0,0.08,1.505,1,4.316,0.694,1.349,0.156,1.764,0.085,1.793,0.158,2.742,0.116,4.005,0.224,4.252,0.126,3.8,0.439,4.628,0.32,6.443,0.395,88.628,0.365,1.241,3.739,6.062,2.072
37,8.95639,-43.28857,1509.8,28.66,4.468,0,0.1,1.428,1,2.27,0.705,0.256,0.156,0.419,0.108,1.054,0.157,1.626,0.116,2.115,0.223,2.275,0.121,2.516,0.437,2.65,0.321,1.953,0.322,1.152,0.298,2.922,1.332,-0.518,1.697
38,8.955176,-43.288109,1525.71,36.91,17.515,0,0.02,1.945,1,9.362,0.691,0.302,0.157,0.729,0.085,1.644,0.158,3.384,0.116,4.744,0.224,5.482,0.128,7.1,0.434,7.048,0.314,4.398,0.388,3.77,0.361,-6.529,1.613,5.755,2.119
39,9.068323,-43.288342,43.21,31.76,8.018,0,0.07,2.676,1,3.697,0.776,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.591,0.158,2.745,0.429,3.03,0.386,1.789,0.243,2.042,0.278,0.084,1.238,-0.239,1.617
40,8.907532,-43.288517,2149.96,29.42,3.606,0,0.34,1.338,1,2.961,0.798,0.16,0.156,0.253,0.12,0.598,0.158,0.641,0.116,1.017,0.307,1.045,0.119,0.406,0.439,1.601,0.353,0.825,0.265,0.967,0.272,0.24,2.126,-3.704,2.342
41,8.968421,-43.288528,1352.16,29.4,6.345,0,0.4,1.649,1,3.602,0.703,0.553,0.156,0.684,0.085,0.426,0.158,0.769,0.116,0.885,0.224,0.965,0.119,0.737,0.433,1.525,0.322,2.533,0.301,1.898,0.348,-2.833,1.463,-3.182,1.687
42,8.892682,-43.288246,2344.53,34.11,17.991,17,0.98,7.794,1,-999.0,9999.0,-0.039,0.157,-0.08,0.12,-0.051,0.158,-0.182,0.134,-0.461,0.308,0.326,0.117,0.125,0.536,-999.0,9999.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
43,8.910353,-43.288589,2113.0,28.11,7.29,0,0.05,3.283,1,3.411,0.723,0.086,0.156,0.22,0.085,0.495,0.157,1.201,0.115,1.549,0.223,1.519,0.12,1.145,0.437,1.922,0.336,0.427,0.291,0.465,0.312,2.481,2.167,-12.457,2.462
44,8.914558,-43.28809,2057.9,37.15,5.049,0,0.14,1.658,1,2.663,0.693,0.429,0.156,0.581,0.085,1.128,0.158,1.991,0.116,2.086,0.224,2.206,0.121,2.765,0.438,2.313,0.318,0.941,0.44,1.269,0.463,-7.32,2.969,15.837,3.516
45,8.971463,-43.288235,1312.31,34.64,6.406,0,0.01,1.741,1,3.999,0.689,0.113,0.156,0.344,0.085,0.377,0.157,0.484,0.116,0.886,0.223,1.308,0.119,1.808,0.434,1.915,0.32,5.24,0.255,6.563,0.292,4.905,1.192,9.899,1.442
46,8.931896,-43.28838,1830.73,32.04,3.381,0,0.75,1.576,1,1.365,0.695,0.639,0.156,0.931,0.085,0.8,0.157,0.759,0.116,0.998,0.223,1.588,0.12,0.821,0.435,1.157,0.324,5.352,0.879,61.223,0.831,-15.108,8.57,-2.699,4.751
47,9.070024,-43.288345,20.93,31.7,3.927,0,0.04,1.436,1,1.91,0.862,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.213,0.157,1.028,0.429,1.125,0.398,2.093,0.359,2.582,0.407,0.628,1.815,-2.824,2.383
48,8.941114,-43.287926,1709.95,40.19,6.911,0,0.2,1.4,1,3.877,0.693,0.77,0.156,1.286,0.085,2.128,0.158,3.151,0.116,4.319,0.224,4.546,0.127,4.379,0.445,3.783,0.312,1.781,0.442,0.06,0.407,1.227,4.218,22.567,2.312
49,8.961131,-43.288219,1447.68,34.92,2.798,0,0.9,1.11,1,1.827,0.692,1.377,0.156,1.446,0.085,1.485,0.158,1.722,0.116,1.48,0.224,1.984,0.121,1.43,0.441,4.442,0.318,3.243,0.202,3.322,0.234,3.329,1.016,2.805,1.216
50,9.008284,-43.288025,829.87,38.27,6.423,0,0.0,2.644,1,6.334,0.689,-999.0,9999.0,1.136,0.12,-999.0,9999.0,2.301,0.163,2.981,0.325,3.048,0.124,2.546,0.535,4.54,0.316,5.03,0.167,5.011,0.19,3.278,0.844,-1.171,1.08
51,8.917958,-43.283051,2013.4,127.84,593.33,0,0.03,3.883,1,210.212,0.603,2.944,0.156,7.116,0.085,23.095,0.157,49.559,0.164,78.218,0.223,92.223,0.258,102.794,0.436,127.577,0.271,83.932,0.306,71.43,0.321,42.12,2.693,47.831,3.519
52,8.892689,-43.28793,2344.45,39.82,29.719,17,1.0,7.835,1,-999.0,9999.0,0.001,0.153,0.023,0.117,0.143,0.155,0.283,0.131,0.678,0.301,0.373,0.114,0.582,0.531,-999.0,9999.0,0.546,0.416,0.588,0.417,-7.78,3.952,-8.143,4.012
53,8.950873,-43.287502,1582.08,47.87,20.666,0,0.74,1.487,1,12.2,0.69,-0.042,0.156,0.004,0.085,-0.037,0.158,0.186,0.116,0.366,0.224,0.562,0.117,0.43,0.435,4.599,0.31,13.238,0.352,16.15,0.332,19.148,3.46,18.149,1.87
54,9.037572,-43.287716,446.12,43.48,8.711,0,1.0,1.13,1,5.257,0.688,-999.0,9999.0,1.007,0.12,-999.0,9999.0,3.823,0.23,5.641,0.325,6.014,0.13,6.824,0.431,6.391,0.316,1.709,0.303,0.759,0.347,3.151,1.522,2.402,1.774
55,8.920239,-43.286842,1983.48,59.64,33.759,0,0.02,2.744,1,16.667,0.68,0.287,0.156,0.533,0.085,0.65,0.157,0.926,0.116,1.919,0.223,2.572,0.123,4.011,0.436,6.596,0.31,24.456,0.322,29.453,0.34,18.098,2.451,16.888,2.94
56,8.924688,-43.283627,1925.2,117.54,527.441,2,0.03,4.628,1,173.55,0.601,2.064,0.156,3.884,0.085,10.082,0.157,29.734,0.164,52.507,0.223,63.802,0.223,76.093,0.437,95.069,0.272,94.498,0.293,79.944,0.306,53.931,2.58,60.775,3.001
57,8.958131,-43.287762,1486.99,43.19,2.048,0,0.38,1.417,1,1.65,0.686,0.244,0.156,0.366,0.085,0.41,0.157,0.742,0.115,1.076,0.223,1.512,0.119,1.279,0.443,1.391,0.311,2.02,0.526,1.805,0.492,-0.598,2.194,3.968,2.791
58,9.07012,-43.287094,19.64,54.21,15.555,0,0.02,2.271,1,8.004,0.83,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.596,0.17,6.535,0.426,5.753,0.378,9.579,0.306,8.895,0.346,2.92,1.565,7.748,2.035
59,9.00839,-43.287285,828.46,51.57,10.536,0,0.02,1.973,1,6.128,0.684,-999.0,9999.0,0.801,0.12,-999.0,9999.0,1.328,0.163,1.826,0.325,1.878,0.12,1.106,0.531,4.115,0.311,5.896,0.252,6.358,0.288,5.914,1.284,3.812,1.631
60,9.064654,-43.28767,91.26,43.92,4.958,0,0.97,1.697,1,3.084,0.685,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.959,0.142,1.77,0.431,1.597,0.313,3.005,0.297,2.972,0.341,3.572,1.513,7.689,1.963
61,9.048836,-43.286533,298.5,64.64,76.477,0,0.03,2.207,1,39.718,0.664,-999.0,9999.0,1.19,0.12,-999.0,9999.0,-999.0,9999.0,9.731,0.325,12.0,0.142,16.603,0.428,18.474,0.298,31.677,0.292,22.597,0.336,20.857,1.491,13.431,1.904
62,8.964926,-43.287113,1397.96,54.85,14.555,0,0.33,1.463,1,8.728,0.68,-0.085,0.156,-0.014,0.085,-0.032,0.158,0.182,0.116,0.907,0.224,1.338,0.119,3.114,0.439,3.499,0.308,8.593,0.283,7.79,0.325,-0.351,1.348,0.598,1.646
63,8.924947,-43.287384,1921.79,49.92,7.926,0,0.01,2.272,1,3.739,0.694,0.323,0.156,0.691,0.085,0.773,0.157,0.896,0.116,1.333,0.223,1.699,0.12,2.046,0.436,2.783,0.313,4.671,0.295,4.301,0.303,8.799,2.599,-4.801,2.743
64,8.949262,-43.287331,1603.2,50.94,5.794,0,0.03,1.949,1,4.227,0.688,0.921,0.156,1.151,0.085,1.085,0.157,1.496,0.116,1.856,0.223,1.8,0.121,2.838,0.44,3.019,0.312,3.192,0.267,4.09,0.246,3.878,2.748,5.761,1.398
65,8.926965,-43.287411,1895.35,49.45,4.056,0,0.53,1.668,1,2.774,0.689,0.38,0.156,0.488,0.085,0.959,0.158,1.418,0.116,1.606,0.224,1.805,0.12,1.026,0.434,2.325,0.312,1.248,0.262,7.512,0.255,-4.805,2.329,-3.167,1.601
66,8.93551,-43.28756,1783.39,46.82,2.643,0,0.42,1.482,1,1.636,0.688,0.535,0.156,0.829,0.094,1.423,0.157,2.106,0.116,2.392,0.223,1.602,0.122,2.565,0.438,1.899,0.311,2.434,0.26,2.241,0.241,8.116,2.477,5.03,1.37
67,8.892682,-43.287613,2344.54,45.51,6.063,17,1.0,7.421,1,-999.0,9999.0,0.012,0.156,0.034,0.12,0.166,0.158,0.322,0.134,0.688,0.307,0.447,0.117,0.48,0.528,-999.0,9999.0,0.046,0.028,0.038,0.028,-0.082,0.269,-0.666,0.273
68,9.017183,-43.287407,713.25,49.26,4.042,0,0.04,1.536,1,2.455,0.687,-999.0,9999.0,1.835,0.12,-999.0,9999.0,1.644,0.23,1.951,0.325,2.189,0.122,3.288,0.664,3.854,0.312,3.043,0.387,3.137,0.447,0.292,1.909,-3.447,2.616
69,8.947955,-43.287125,1620.33,54.64,12.141,0,0.01,2.082,1,6.46,0.679,1.232,0.156,1.12,0.085,1.186,0.157,1.744,0.116,2.005,0.223,2.927,0.123,3.209,0.448,3.811,0.31,6.641,0.313,6.122,0.292,17.116,3.45,0.75,1.657
70,8.892666,-43.287445,2344.75,48.56,5.709,17,0.99,7.992,1,-999.0,9999.0,0.031,0.156,0.042,0.12,0.096,0.158,0.393,0.134,0.45,0.307,0.569,0.117,0.513,0.527,-999.0,9999.0,0.041,0.028,0.041,0.028,0.096,0.265,-0.646,0.269
71,8.94891,-43.287052,1607.81,55.97,6.827,0,0.0,2.128,1,4.643,0.677,0.543,0.156,0.791,0.085,0.877,0.157,1.057,0.116,1.378,0.223,1.395,0.119,1.815,0.436,2.553,0.309,3.738,0.235,3.767,0.217,9.174,2.504,8.93,1.231
72,8.892682,-43.287056,2344.54,55.56,29.133,17,0.92,8.105,1,-999.0,9999.0,-0.096,0.156,0.082,0.12,-0.006,0.157,0.097,0.134,0.209,0.307,0.345,0.117,-0.068,0.528,-999.0,9999.0,-0.013,-0.033,-0.06,-0.034,0.11,-0.321,0.015,-0.325
73,8.98183,-43.287243,1176.48,52.49,3.984,0,0.56,1.447,1,1.815,0.906,0.274,0.157,0.473,0.085,0.918,0.158,1.24,0.117,1.42,0.224,1.228,0.119,0.97,0.433,1.246,0.406,1.58,0.284,1.521,0.329,0.517,1.44,1.77,1.874
74,8.967783,-43.287056,1360.53,55.9,4.137,0,0.38,2.066,1,1.829,0.678,0.506,0.157,0.683,0.085,0.448,0.158,0.751,0.116,0.618,0.224,0.63,0.118,0.823,0.438,1.94,0.31,2.829,0.592,2.205,0.685,5.595,2.851,-5.359,3.453
75,8.915527,-43.286579,2045.22,64.36,8.808,0,0.02,1.679,1,5.498,0.668,0.893,0.156,1.279,0.085,1.826,0.158,3.153,0.116,3.41,0.224,4.14,0.126,4.055,0.434,3.791,0.306,2.813,0.321,2.417,0.351,1.667,2.227,3.558,3.121
76,8.959495,-43.285702,1469.13,80.26,66.91,0,0.03,2.422,1,32.362,0.614,0.481,0.156,0.704,0.085,1.113,0.157,2.228,0.119,5.78,0.223,8.265,0.135,10.254,0.436,14.16,0.283,39.698,0.267,33.141,0.31,26.775,1.346,17.782,1.65
77,8.922671,-43.286442,1951.61,66.87,4.644,0,0.12,1.749,1,2.499,0.662,0.016,0.156,0.645,0.085,0.868,0.157,0.825,0.116,1.132,0.223,0.914,0.118,1.025,0.442,0.974,0.304,1.911,0.54,3.412,0.568,-7.211,4.414,-0.609,5.037
78,8.9187,-43.286549,2003.64,64.87,7.046,0,0.0,2.69,1,4.134,0.672,0.378,0.156,0.289,0.085,0.634,0.157,1.284,0.116,1.63,0.223,1.961,0.12,2.694,0.437,2.19,0.312,2.111,0.295,2.76,0.312,-8.752,2.24,1.074,2.694
79,9.045132,-43.286686,347.04,61.97,4.769,0,0.1,2.357,1,2.227,0.668,-999.0,9999.0,0.594,0.12,-999.0,9999.0,-999.0,9999.0,1.716,0.325,1.876,0.121,1.373,0.426,1.754,0.299,0.991,0.493,0.975,0.567,2.775,2.515,3.593,3.213
80,9.069304,-43.286064,30.29,72.78,20.345,3,0.85,1.509,1,14.963,0.749,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.294,0.158,3.249,0.429,3.972,0.35,31.097,0.238,42.7,0.272,34.612,1.243,25.484,1.579
81,8.939751,-43.285362,1727.83,86.33,92.32,0,0.03,2.598,1,46.095,0.606,3.124,0.156,18.273,0.089,22.835,0.157,83.893,0.154,86.557,0.223,24.369,0.169,27.852,0.442,30.056,0.275,32.808,0.331,24.989,0.308,35.589,3.239,29.232,1.738
82,9.069435,-43.28569,28.58,79.51,36.177,3,0.03,3.033,1,18.024,0.723,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.372,0.161,4.116,0.429,5.222,0.34,36.494,0.224,50.592,0.255,47.289,1.167,38.043,1.458
83,8.89268,-43.28656,2344.58,64.47,12.006,17,0.99,7.773,1,-999.0,9999.0,0.006,0.156,0.051,0.12,-0.135,0.157,-0.075,0.134,0.036,0.307,0.003,0.116,-0.067,0.527,-999.0,9999.0,0.591,-0.383,-0.202,-0.389,5.069,-3.685,7.15,-3.742
84,9.041107,-43.286041,399.75,73.61,14.005,0,0.13,1.586,1,8.198,0.637,-999.0,9999.0,0.135,0.113,-999.0,9999.0,0.223,0.23,0.564,0.325,1.307,0.119,1.398,0.427,2.761,0.285,12.054,0.313,11.703,0.356,2.048,1.577,7.974,1.911
85,9.071081,-43.286236,7.01,69.65,8.984,16,0.91,1.317,1,3.71,0.832,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.055,0.215,-999.0,9999.0,0.331,0.154,0.844,0.426,0.686,0.377,35.19,0.985,39.653,1.123,28.283,5.065,32.373,6.297
86,8.898215,-43.28635,2272.06,68.32,6.624,0,0.79,1.718,1,5.322,1.207,0.469,0.156,0.687,0.12,1.171,0.158,2.389,0.134,3.063,0.307,3.207,0.124,3.445,0.439,2.761,0.53,2.534,0.273,1.208,0.274,1.126,2.601,11.226,2.999
87,9.002582,-43.285713,904.55,79.93,13.17,0,0.02,2.031,1,7.05,0.617,1.808,0.156,2.091,0.085,1.803,0.157,2.956,0.118,4.852,0.223,5.326,0.128,5.179,0.44,6.485,0.283,6.389,0.326,4.219,0.37,6.636,1.646,2.964,2.082
88,9.015017,-43.285824,741.62,77.79,6.96,0,0.05,3.256,1,3.138,0.628,-999.0,9999.0,0.862,0.12,-999.0,9999.0,1.898,0.23,2.291,0.325,2.702,0.122,2.736,0.626,2.697,0.285,1.041,0.304,1.231,0.349,1.108,1.553,-1.347,1.966
89,9.019605,-43.285522,681.5,83.2,15.998,0,0.02,2.202,1,9.126,0.606,-999.0,9999.0,1.092,0.12,-999.0,9999.0,0.736,0.229,2.449,0.324,3.75,0.125,4.723,0.634,5.189,0.28,9.246,0.214,10.958,0.245,7.6,1.067,7.382,1.388
90,9.033253,-43.285419,502.66,84.91,35.38,0,0.08,1.619,1,19.795,0.607,-999.0,9999.0,0.037,0.12,-999.0,9999.0,-999.0,9999.0,1.576,0.325,2.885,0.123,4.409,0.429,7.147,0.282,25.411,0.305,21.199,0.344,15.23,1.512,2.369,1.726
91,8.975019,-43.286102,1265.7,73.01,4.972,0,0.06,1.579,1,2.203,0.638,1.026,0.156,1.152,0.085,1.111,0.157,1.342,0.115,1.607,0.223,2.283,0.121,2.547,0.427,2.997,0.286,4.156,0.491,4.394,0.569,3.49,2.457,5.401,3.219
92,9.01136,-43.285187,789.52,89.3,18.274,0,0.05,1.791,1,10.068,0.601,-999.0,9999.0,0.393,0.12,-999.0,9999.0,-1.507,0.231,0.399,0.325,0.932,0.119,1.865,0.642,3.592,0.273,14.303,0.324,16.976,0.37,15.355,1.654,9.931,2.097
93,8.892649,-43.286087,2345.0,73.0,17.336,19,0.99,8.397,1,-999.0,9999.0,0.131,0.156,0.071,0.119,0.051,0.157,0.056,0.133,-0.091,0.306,0.061,0.116,0.632,0.522,-999.0,9999.0,-0.853,0.498,-0.602,0.505,-6.997,4.789,-19.266,4.864
94,8.996827,-43.284321,979.94,104.98,95.169,2,0.15,1.923,1,49.829,0.67,0.753,0.156,1.135,0.085,1.356,0.157,2.367,0.164,5.167,0.223,7.941,0.134,15.008,0.428,25.124,0.296,59.716,0.28,69.228,0.321,51.148,1.461,35.38,1.817
