id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
62,31.412537,-58.56147,1748.95,86.17,167.691,0,0.03,3.883,1,69.725,0.588,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,40.301,0.574,43.002,0.442,-999.0,9999.0,36.394,2.013
63,31.486248,-58.56258,1056.93,66.12,41.385,0,0.03,2.718,1,22.437,0.576,0.249,0.1,0.244,0.08,-999.0,9999.0,0.899,0.182,3.222,0.246,2.55,0.732,6.734,0.57,9.006,0.438,-999.0,9999.0,25.005,1.184
64,31.433918,-58.562855,1548.22,61.32,25.477,0,0.01,2.944,1,13.423,0.589,0.735,0.1,0.917,0.061,1.234,0.167,1.495,0.182,2.299,0.22,3.17,0.661,4.934,0.584,6.971,0.432,-999.0,9999.0,17.945,1.06
65,31.573772,-58.563164,235.25,54.51,6.324,0,0.6,2.522,1,4.625,0.571,-999.0,9999.0,0.59,0.087,-999.0,9999.0,-999.0,9999.0,3.371,0.311,3.216,0.939,3.798,0.562,4.407,0.429,-999.0,9999.0,0.524,0.349
66,31.455709,-58.563404,1343.64,51.38,5.937,0,0.17,2.62,1,3.918,0.585,0.218,0.1,0.264,0.061,0.991,0.167,1.328,0.182,1.127,0.22,1.293,0.772,0.879,0.579,1.953,0.44,-999.0,9999.0,5.183,0.556
67,31.530888,-58.563107,637.86,56.19,5.541,0,0.22,2.255,1,3.304,0.587,-999.0,9999.0,0.549,0.087,-999.0,9999.0,-999.0,9999.0,0.933,0.311,1.807,0.939,3.135,0.76,1.413,0.678,-999.0,9999.0,0.214,0.122
68,31.450356,-58.56237,1393.89,70.01,35.793,0,0.91,2.049,1,21.435,0.583,-999.0,9999.0,0.799,0.089,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,18.258,0.777,22.654,0.578,24.837,0.449,-999.0,9999.0,5.862,0.651
69,31.545097,-58.562828,504.44,61.0,5.202,0,0.56,2.113,1,3.131,0.567,-999.0,9999.0,0.46,0.087,-999.0,9999.0,-999.0,9999.0,0.826,0.311,-0.888,0.939,0.961,0.675,2.626,0.455,-999.0,9999.0,1.316,0.247
70,31.587254,-58.563011,108.68,56.99,4.051,0,0.61,2.28,1,3.698,0.571,-999.0,9999.0,0.916,0.087,-999.0,9999.0,-999.0,9999.0,0.914,0.311,1.06,0.939,1.936,0.574,3.092,0.429,-999.0,9999.0,2.54,0.755
71,31.458967,-58.562714,1313.04,63.79,6.677,0,0.32,2.031,1,4.213,0.58,0.092,0.1,0.102,0.066,0.042,0.167,0.199,0.182,0.247,0.236,-0.442,0.663,0.331,0.578,0.842,0.438,-999.0,9999.0,7.766,0.718
72,31.413643,-58.562115,1738.56,74.59,14.383,0,0.0,3.268,1,8.128,0.587,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.908,0.582,6.495,0.45,-999.0,9999.0,4.139,0.553
73,31.568161,-58.56237,287.91,68.86,6.587,0,0.15,1.874,1,4.437,0.572,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.135,0.562,3.403,0.449,-999.0,9999.0,4.447,0.685
74,31.501141,-58.561886,917.1,78.48,11.55,0,0.0,2.655,1,6.942,0.736,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.228,0.563,3.52,0.439,-999.0,9999.0,6.432,0.582
75,31.571983,-58.562302,252.02,70.0,7.294,0,0.0,2.708,1,4.476,0.572,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.708,0.572,3.086,0.429,-999.0,9999.0,2.285,0.515
76,31.538765,-58.562054,563.88,75.06,11.51,0,0.13,2.464,1,6.334,0.571,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.518,0.732,3.719,0.464,-999.0,9999.0,3.207,0.463
77,31.459278,-58.561489,1310.12,85.9,57.08,0,0.04,2.578,1,30.932,0.584,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,11.521,0.586,13.617,0.456,-999.0,9999.0,19.48,1.171
78,31.586416,-58.560364,116.44,104.62,113.967,0,0.03,3.432,1,51.774,0.57,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,22.71,0.558,29.118,0.428,-999.0,9999.0,28.467,2.29
79,31.521557,-58.561886,725.43,78.25,12.245,0,0.11,2.562,1,6.663,0.7,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,4.653,0.797,4.504,0.8,-999.0,9999.0,2.148,0.428
80,31.468475,-58.561588,1223.77,84.02,64.412,0,0.98,1.936,1,38.691,0.58,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,41.567,0.584,49.479,0.452,-999.0,9999.0,14.059,1.059
81,31.390007,-58.562294,1960.47,71.21,2.981,0,0.67,1.659,1,2.621,0.585,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.927,0.929,1.737,0.585,2.064,0.437,-999.0,9999.0,1.287,0.405
82,31.481327,-58.56168,1103.11,82.31,18.201,0,0.0,3.625,1,8.744,0.579,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,6.935,0.573,7.222,0.438,-999.0,9999.0,2.296,0.367
83,31.4694,-58.5606,1215.08,101.85,59.397,0,0.05,2.87,1,29.309,0.578,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.606,0.583,13.036,0.451,-999.0,9999.0,35.811,1.687
84,31.364285,-58.559814,2202.01,115.63,185.23,0,0.81,2.352,1,103.136,0.582,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,179.533,0.624,175.953,0.46,-999.0,9999.0,28.049,3.32
85,31.35651,-58.561668,2274.96,82.17,9.052,0,0.07,3.548,1,4.48,0.576,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.356,0.733,3.032,0.456,-999.0,9999.0,1.087,0.74
86,31.414286,-58.559925,1732.54,114.01,380.475,0,0.98,2.142,1,219.718,0.59,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,384.903,0.575,372.67,0.442,-999.0,9999.0,53.02,2.311
87,31.494585,-58.56123,978.63,90.36,25.017,0,0.02,2.403,1,14.067,0.615,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,6.759,0.579,8.892,0.428,-999.0,9999.0,11.423,0.823
88,31.386084,-58.561646,1997.31,82.91,3.947,0,0.61,1.831,1,2.611,0.59,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.958,0.582,2.472,0.439,-999.0,9999.0,1.688,0.506
89,31.580835,-58.561573,168.88,82.97,4.399,0,0.1,1.814,1,2.951,0.572,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.563,0.561,2.516,0.442,-999.0,9999.0,0.911,0.434
90,31.557537,-58.561863,387.63,78.17,2.279,0,0.5,1.791,1,1.745,0.568,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.115,0.558,1.093,0.437,-999.0,9999.0,3.738,0.557
91,31.374586,-58.560848,2105.26,97.17,25.36,0,0.04,2.907,1,12.523,0.588,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.212,0.583,5.157,0.435,-999.0,9999.0,16.616,2.647
92,31.336157,-58.559727,2466.09,116.85,124.779,0,0.03,3.867,1,53.541,0.766,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0
93,31.348528,-58.561001,2349.9,94.11,15.035,0,0.0,3.126,1,7.707,0.581,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,5.148,1.091,6.117,0.775,-999.0,9999.0,-999.0,9999.0
94,31.350739,-58.559868,2329.18,114.51,61.411,3,0.03,3.106,1,31.612,0.582,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,14.91,0.929,23.337,0.545,-999.0,9999.0,-999.0,9999.0
95,31.342846,-58.559708,2403.3,117.33,90.677,0,0.03,4.004,1,36.514,0.648,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.296,1.516,18.287,1.601,-999.0,9999.0,-999.0,9999.0
96,31.457996,-58.561558,1322.15,84.66,2.83,0,0.49,1.76,1,4.063,0.584,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.905,0.58,1.154,0.434,-999.0,9999.0,4.132,0.425
97,31.376802,-58.560513,2084.45,103.19,13.091,0,0.01,3.235,1,6.418,0.584,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,4.234,0.575,4.362,0.429,-999.0,9999.0,6.688,1.743
98,31.39217,-58.560944,1940.17,95.6,8.84,0,0.2,2.543,1,4.861,0.582,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.266,0.581,3.576,0.44,-999.0,9999.0,2.664,0.757
99,31.439709,-58.56139,1493.84,87.7,2.93,0,0.65,1.685,1,1.853,0.588,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.972,0.583,1.997,0.465,-999.0,9999.0,-0.49,0.15
100,31.536316,-58.55349,586.64,229.25,1418.256,0,0.03,4.451,1,501.131,0.564,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,254.513,0.789,341.693,0.506,-999.0,9999.0,153.754,3.316
101,31.441868,-58.560932,1473.58,95.95,12.524,0,0.93,1.023,1,8.249,0.593,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.494,0.588,-0.455,0.458,-999.0,9999.0,0.585,0.248
102,31.349743,-58.559334,2338.55,124.13,125.205,3,0.03,3.755,1,55.393,0.581,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,24.304,0.913,35.702,0.594,-999.0,9999.0,-999.0,9999.0
103,31.335018,-58.560162,2476.76,109.04,51.159,0,0.04,2.674,1,28.965,0.814,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0
104,31.346228,-58.561008,2371.51,93.98,2.936,0,0.96,0.562,1,1.684,0.604,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-0.295,1.235,0.153,0.978,-999.0,9999.0,-999.0,9999.0
105,31.354364,-58.559982,2295.14,112.55,40.279,0,0.02,3.296,1,19.207,0.577,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.09,0.803,11.852,0.51,-999.0,9999.0,-999.0,9999.0
106,31.526237,-58.560249,681.43,107.69,26.848,0,0.0,3.965,1,11.809,0.636,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,8.019,0.75,10.687,1.012,-999.0,9999.0,2.906,0.389
107,31.46382,-58.558224,1267.47,144.64,8.331,0,0.08,2.2,1,4.898,0.581,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.994,0.579,2.919,0.445,-999.0,9999.0,7.158,0.851
108,31.580326,-58.559002,173.57,129.26,94.332,0,0.02,4.458,1,35.177,0.569,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,13.371,0.564,16.693,0.427,-999.0,9999.0,16.541,1.591
109,31.427479,-58.56065,1608.68,100.98,5.013,0,0.64,2.55,1,2.742,0.587,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.653,0.577,1.431,0.446,-999.0,9999.0,3.364,0.565
110,31.575405,-58.560551,219.83,101.47,4.554,0,0.05,2.005,1,3.883,0.57,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.293,0.563,2.014,0.435,-999.0,9999.0,2.28,0.621
111,31.456646,-58.560398,1334.82,105.52,5.329,0,0.37,2.072,1,3.399,0.585,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,4.187,0.573,2.899,0.446,-999.0,9999.0,2.241,0.445
