col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,-1.0,0.22,0.22,537.7557,0.22,537.7557,0.22,1.0,0.206,0.235,0.203,0.238,0.202,0.239,13,1.95631,0.2202,0.999,0.2182
2,-1.0,1.759,1.685,16.06775,1.732,16.11178,1.617,1.0,1.445,1.773,1.366,1.843,1.302,1.904,13,1.07868,1.6164,0.999,1.4278
3,-1.0,2.948,2.989,9.025279,2.909,9.055866,2.901,0.997,2.72,3.084,2.525,3.311,1.898,3.554,13,1.50467,2.9035,0.995,3.0128
4,-1.0,0.348,0.326,11.97275,0.361,11.98018,0.358,0.992,0.251,0.466,0.132,0.553,0.04,0.661,13,0.749889,0.358,1.0,0.3698
5,-1.0,1.152,1.137,12.49839,1.152,12.49839,1.092,0.974,0.906,1.269,0.671,1.449,0.534,1.682,10,2.16702,1.092,0.999,1.3398
6,-1.0,0.799,0.78,6.682315,0.799,6.682315,0.776,0.999,0.656,0.887,0.565,0.989,0.455,1.12,10,0.652408,0.7761,0.999,0.7501
7,-1.0,0.711,0.747,4.497273,0.711,4.497273,0.741,0.998,0.641,0.846,0.521,0.958,0.319,1.072,10,0.50438,0.7419,0.998,0.7771
8,-1.0,0.295,0.284,301.8476,0.295,301.8476,0.284,1.0,0.26,0.309,0.241,0.324,0.224,0.338,13,3.45322,0.2842,1.0,0.2581
9,-1.0,0.417,0.376,240.4871,0.417,240.4871,0.381,1.0,0.318,0.442,0.258,0.486,0.202,0.523,10,11.0363,0.3809,0.999,0.4181
10,-1.0,1.307,1.236,8.048389,1.307,8.048389,1.091,0.747,0.59,1.416,0.41,1.727,0.288,1.945,10,3.0972,1.0912,0.998,1.2909
11,-1.0,1.33,1.36,10.08452,1.284,10.16915,1.281,0.962,1.055,1.473,0.886,1.807,0.72,1.965,10,1.88078,1.2809,0.999,1.2246
12,-1.0,0.072,0.15,12.10987,0.161,12.68183,0.187,0.964,0.083,0.276,0.041,0.456,0.013,0.53,13,0.728415,0.1861,0.999,0.1947
13,-1.0,1.088,1.057,8.171101,0.909,8.466165,1.035,0.999,0.89,1.177,0.824,1.308,0.762,1.436,10,0.883119,1.0346,0.999,1.191
14,-1.0,1.307,1.305,118.5598,1.307,118.5598,1.304,1.0,1.273,1.337,1.25,1.359,1.229,1.37,13,1.67428,1.3038,0.998,1.3055
15,-1.0,1.027,2.196,18.07661,1.027,18.07661,1.081,0.909,0.839,1.329,0.697,1.837,0.496,3.145,7,13.6349,1.0674,0.991,1.0926
16,-1.0,0.474,1.517,45.82377,0.474,45.82377,0.873,0.65,0.447,1.249,0.285,1.983,0.132,3.493,13,24.7808,0.8631,0.996,0.5097
17,-1.0,1.498,1.475,16.16275,1.449,16.50104,1.442,1.0,1.349,1.532,1.286,1.605,1.232,1.668,10,1.02658,1.442,1.0,1.3898
18,-1.0,0.781,0.784,154.5892,0.781,154.5892,0.784,1.0,0.757,0.811,0.739,0.833,0.721,0.856,13,2.09215,0.7838,1.0,0.7962
19,-1.0,1.424,1.54,2.924565,1.4,2.955006,1.458,0.975,1.258,1.709,0.963,1.909,0.735,2.058,13,0.401644,1.4584,0.999,1.6071
20,-1.0,1.523,1.986,5.793406,1.473,5.837498,1.569,0.786,1.149,2.006,0.697,2.606,0.456,3.595,13,2.33456,1.5625,0.996,2.1892
21,-1.0,2.14,2.048,5.194432,2.078,5.409149,1.842,0.995,1.542,2.148,1.374,2.321,1.235,2.511,13,0.944442,1.8422,0.999,1.4682
22,-1.0,1.353,1.407,16.11571,1.261,16.25519,1.334,0.969,1.137,1.541,0.905,1.802,0.706,2.114,13,2.3414,1.3331,0.999,1.2183
23,-1.0,0.116,0.103,9.869097,0.127,9.950523,0.135,0.999,0.068,0.196,0.026,0.314,0.011,0.378,8,0.747368,0.135,1.0,0.22
24,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
25,-1.0,0.645,1.03,9.153031,0.645,9.153031,0.955,0.715,0.568,1.383,0.263,1.721,0.052,3.031,10,6.73907,0.9467,0.995,0.6417
26,-1.0,1.498,1.441,13.51145,1.449,13.61145,1.414,0.999,1.262,1.564,1.121,1.678,0.954,1.799,13,1.16278,1.4136,0.999,1.4281
27,-1.0,0.01,0.626,9.933912,0.596,10.05456,0.705,0.739,0.408,1.035,0.147,1.483,0.023,1.93,13,2.75105,0.7029,0.998,0.5615
28,-1.0,2.048,2.061,8.423503,2.048,8.423503,1.995,1.0,1.836,2.144,1.646,2.261,1.441,2.374,13,0.949386,1.9947,0.999,1.9062
29,-1.0,3.865,3.517,18.08956,2.078,21.3029,2.337,0.945,2.051,2.613,1.935,3.336,1.501,4.115,13,5.79906,2.3352,0.997,2.2369
30,-1.0,2.4,2.153,6.17226,1.088,8.984174,1.448,0.646,0.955,2.163,0.712,2.561,0.501,3.028,11,4.46692,1.4482,0.996,2.1606
31,-1.0,1.625,1.595,13.05801,1.599,13.13832,1.564,0.991,1.442,1.706,1.317,1.79,0.417,1.878,10,2.79428,1.5736,0.991,1.688
32,-1.0,0.138,0.365,21.63733,0.711,21.79976,0.469,0.798,0.176,0.739,0.106,0.807,0.03,0.875,13,2.65075,0.469,1.0,0.1229
33,-1.0,0.083,0.951,19.77805,0.094,19.84897,0.989,0.118,0.09,2.071,0.036,2.333,0.012,2.531,10,94.9585,0.9881,0.999,2.4057
34,-1.0,0.184,0.143,31.42872,0.184,31.42872,0.162,1.0,0.091,0.227,0.033,0.281,0.012,0.333,7,2.55214,0.162,1.0,0.1938
35,-1.0,0.184,0.334,26.83286,0.417,27.76762,0.333,1.0,0.193,0.455,0.141,0.514,0.094,0.58,11,1.73093,0.333,1.0,0.4277
36,-1.0,1.239,1.949,29.74213,1.217,29.78444,1.282,0.907,1.055,1.512,0.674,2.021,0.534,3.128,10,12.2149,1.2775,0.997,0.8565
37,-1.0,0.094,0.089,121.2756,0.094,121.2756,0.09,1.0,0.072,0.107,0.061,0.12,0.05,0.132,12,1.10552,0.0899,0.999,0.0864
38,-1.0,0.282,0.407,54.60789,0.321,54.68726,0.426,0.882,0.246,0.539,0.143,1.134,0.047,2.099,13,12.8321,0.4207,0.997,0.3658
39,-1.0,1.4,1.452,5.066016,1.377,5.128262,1.379,0.994,1.225,1.546,0.987,1.739,0.881,1.973,8,1.12673,1.3786,0.999,1.6456
40,-1.0,0.909,1.21,4.896623,0.909,4.896623,1.013,0.956,0.825,1.211,0.718,1.563,0.674,2.378,10,1.47977,1.0082,0.997,1.3565
41,-1.0,0.335,0.281,18.72873,0.335,18.72873,0.317,0.99,0.21,0.41,0.097,0.529,0.028,0.643,9,1.95458,0.3169,1.0,0.4297
42,-1.0,0.504,0.346,4.545653,0.504,4.545653,0.404,0.946,0.23,0.543,0.087,0.687,0.024,0.759,7,1.06726,0.4037,1.0,0.3478
43,-1.0,1.599,1.976,10.44572,1.523,10.50374,1.583,0.856,1.245,1.887,0.676,2.725,0.32,3.412,10,5.40269,1.5814,0.997,1.7102
44,-1.0,1.988,1.926,20.06154,1.787,20.62657,1.771,0.984,1.547,2.0,1.309,2.214,0.959,2.397,7,7.54223,1.7802,0.986,1.0295
45,-1.0,0.853,0.781,1.17632,0.694,1.418685,0.718,0.997,0.576,0.872,0.464,0.977,0.395,1.104,7,0.352522,0.7179,1.0,0.6632
46,-1.0,0.161,0.211,21.05755,0.335,21.39065,0.236,1.0,0.125,0.349,0.056,0.417,0.017,0.476,7,2.47731,0.2359,1.0,0.1646
47,-1.0,2.048,1.949,15.73489,1.787,17.06546,1.879,1.0,1.729,2.051,1.591,2.153,1.45,2.255,7,3.3959,1.8791,0.999,2.1618
48,-1.0,0.321,0.328,5.963414,0.335,6.015245,0.338,0.999,0.283,0.402,0.192,0.478,0.072,0.533,8,0.555161,0.3383,0.999,0.3085
49,-1.0,0.694,0.692,10.33407,0.694,10.33407,0.693,0.946,0.485,0.889,0.37,1.111,0.242,1.28,12,1.26107,0.6929,0.999,0.7475
50,-1.0,1.523,1.578,8.744797,1.4,9.000936,1.425,0.933,1.121,1.719,0.905,2.017,0.771,2.439,10,2.28635,1.4235,0.998,1.1416
51,-1.0,0.22,0.736,5.64382,0.27,5.847625,0.536,0.727,0.226,0.818,0.107,1.411,0.03,3.012,10,4.39572,0.5274,0.996,0.6808
52,-1.0,1.787,1.696,14.43227,1.759,14.52605,1.563,0.947,1.332,1.808,0.964,1.925,0.762,2.581,7,7.62501,1.5609,0.998,1.554
53,-1.0,0.335,0.256,2.614477,0.335,2.614477,0.29,0.999,0.177,0.394,0.07,0.467,0.028,0.521,7,0.385621,0.29,1.0,0.4669
54,-1.0,0.711,1.222,13.05043,0.711,13.05043,0.866,0.95,0.71,1.019,0.676,1.407,0.602,2.553,8,6.03365,0.8528,0.989,0.9009
55,-1.0,0.549,0.707,27.1968,0.549,27.1968,0.639,0.701,0.354,1.149,0.113,1.628,0.031,1.828,7,19.479,0.4724,0.811,0.4112
56,-1.0,3.108,3.339,4.362992,0.565,5.573716,1.211,0.376,0.559,1.892,0.426,3.176,0.234,3.917,7,18.0538,1.2058,0.997,0.5382
57,-1.0,0.348,0.296,2.956135,0.348,2.956135,0.336,0.991,0.221,0.439,0.095,0.533,0.026,0.629,7,0.46138,0.3362,1.0,0.3502
58,-1.0,0.01,0.132,32.17617,0.245,34.33298,0.2,1.0,0.082,0.293,0.021,0.361,0.011,0.409,7,3.48968,0.1998,1.0,0.2161
59,-1.0,0.417,0.305,2.72998,0.431,2.761057,0.374,0.901,0.201,0.509,0.075,0.789,0.017,1.033,6,1.06205,0.373,0.999,0.1173
60,-1.0,0.116,0.155,8.60416,0.22,8.870973,0.199,1.0,0.107,0.286,0.04,0.35,0.012,0.42,7,0.89692,0.1986,1.0,0.1951
61,-1.0,0.01,0.039,2.184102,0.03,3.219046,0.056,1.0,0.019,0.093,0.011,0.168,0.01,0.235,7,0.302535,0.0563,1.0,0.0502
62,-1.0,0.22,0.84,12.85649,0.295,13.07407,0.645,0.548,0.22,1.02,0.083,2.213,0.018,3.295,7,23.9884,0.6323,0.995,0.3944
63,-1.0,0.549,0.478,2.865554,0.549,2.865554,0.461,0.994,0.322,0.594,0.218,0.676,0.125,0.762,7,0.749229,0.4613,1.0,0.3802
64,-1.0,0.375,1.814,1.427264,0.431,1.522577,0.761,0.569,0.318,1.17,0.156,2.481,0.061,3.554,7,4.9218,0.7511,0.997,1.6736
65,-1.0,2.333,2.789,2.303044,1.424,3.677931,1.585,0.699,1.096,2.128,0.804,2.65,0.574,3.491,7,3.70622,1.5782,0.996,1.915
66,-1.0,1.284,1.2,0.8072382,1.088,2.05121,1.057,0.998,0.864,1.255,0.695,1.381,0.671,1.495,7,0.626051,1.0567,0.999,1.081
67,-1.0,0.01,0.14,14.76011,0.245,17.08886,0.208,0.996,0.088,0.316,0.026,0.401,0.011,0.499,7,2.07457,0.2083,1.0,0.224
68,-1.0,0.27,1.26,15.74149,0.489,16.12986,0.75,0.527,0.272,1.293,0.1,2.286,0.022,3.032,7,24.9917,0.7423,0.997,0.6676
69,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
70,-1.0,0.987,0.923,4.441663,0.987,4.441663,0.881,0.894,0.714,1.041,0.373,1.368,0.135,2.2,7,2.95191,0.8696,0.989,0.971
71,-1.0,1.109,1.778,19.66771,1.088,19.69374,1.088,0.877,0.783,1.372,0.525,1.779,0.374,2.8,7,13.6292,1.0813,0.995,1.4734
72,-1.0,2.646,2.809,0.5641307,1.239,2.469771,1.336,0.804,0.991,1.659,0.524,2.749,0.4,3.318,7,2.24184,1.2456,0.936,1.04
73,-1.0,1.047,2.283,12.64059,1.047,12.64059,1.232,0.665,0.726,1.698,0.351,2.696,0.08,4.222,7,20.0207,1.2165,0.994,1.8009
74,-1.0,0.01,0.129,20.30558,0.232,23.15997,0.196,0.999,0.086,0.292,0.021,0.364,0.011,0.453,7,2.55532,0.1958,1.0,0.2816
75,-1.0,0.389,1.747,1.636555,0.403,1.67094,0.652,0.644,0.295,1.016,0.169,2.264,0.082,3.001,5,9.58123,0.6435,0.996,0.4726
