col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
577,-1.0,1.217,1.155,3.451719,1.173,3.672889,1.118,1.0,0.944,1.254,0.834,1.337,0.752,1.424,11,0.365193,1.1177,1.0,1.2376
578,-1.0,0.763,0.82,11.11104,0.763,11.11104,0.787,0.831,0.52,1.084,0.357,1.423,0.225,1.743,11,2.53957,0.7856,0.998,0.651
579,-1.0,1.424,1.47,2.634949,1.4,2.659064,1.395,0.948,1.193,1.634,0.803,1.825,0.606,1.978,11,0.480935,1.3948,0.999,1.4105
580,-1.0,0.928,0.963,4.854753,0.928,4.854753,0.955,1.0,0.846,1.081,0.764,1.168,0.634,1.244,11,0.387587,0.9554,1.0,0.871
581,-1.0,0.948,0.99,4.019042,0.948,4.019042,0.98,1.0,0.921,1.045,0.89,1.117,0.864,1.176,11,0.182569,0.98,1.0,0.9139
582,-1.0,0.149,0.153,196.8002,0.149,196.8002,0.153,1.0,0.136,0.17,0.125,0.178,0.121,0.189,11,1.66559,0.1531,1.0,0.1618
583,-1.0,0.375,0.373,867.1506,0.375,867.1506,0.373,1.0,0.356,0.391,0.344,0.399,0.341,0.409,11,7.33061,0.3731,1.0,0.3782
584,-1.0,0.781,0.902,2.045,0.781,2.045,0.883,0.992,0.749,1.034,0.693,1.194,0.631,1.376,11,0.267038,0.8824,0.999,0.7766
585,-1.0,0.872,0.875,9.012602,0.872,9.012602,0.866,1.0,0.781,0.953,0.721,1.027,0.653,1.079,11,0.479988,0.8659,1.0,0.904
586,-1.0,0.763,0.771,7.603981,0.746,7.657914,0.764,1.0,0.718,0.808,0.692,0.883,0.67,0.986,11,0.300059,0.764,0.999,0.7084
587,-1.0,0.282,0.29,3.60901,0.282,3.60901,0.293,1.0,0.258,0.332,0.228,0.378,0.196,0.405,11,0.126369,0.2927,1.0,0.3122
588,-1.0,0.872,0.919,3.347235,0.872,3.347235,0.909,1.0,0.828,0.995,0.776,1.088,0.736,1.176,11,0.207234,0.9088,1.0,1.034
589,-1.0,0.909,0.934,3.426107,0.909,3.426107,0.91,1.0,0.83,0.995,0.777,1.053,0.745,1.096,11,0.150616,0.9102,1.0,0.8374
590,-1.0,0.853,0.906,2.960661,0.853,2.960661,0.893,1.0,0.76,1.03,0.695,1.162,0.639,1.252,11,0.23644,0.893,0.999,0.8283
591,-1.0,0.062,0.062,232.9386,0.062,232.9386,0.062,1.0,0.049,0.075,0.046,0.083,0.046,0.088,11,1.22735,0.062,0.952,0.068
592,-1.0,2.503,2.232,4.470484,2.469,4.574313,2.035,0.761,0.929,2.582,0.118,2.754,0.046,2.871,11,2.32032,2.3622,0.838,2.2722
593,-1.0,2.367,2.183,3.867414,1.088,6.673251,1.589,0.598,0.97,2.191,0.699,2.661,0.516,3.223,11,3.33886,1.5864,0.998,1.9735
594,-1.0,0.928,0.912,1.20352,0.928,1.20352,0.902,1.0,0.795,1.006,0.721,1.08,0.659,1.161,11,0.0943035,0.9016,0.999,0.869
595,-1.0,1.088,1.012,3.373844,1.088,3.373844,1.0,0.97,0.807,1.184,0.588,1.327,0.433,1.555,11,0.607922,0.9998,0.998,0.8851
596,-1.0,1.068,0.932,2.609733,0.746,3.209745,0.911,1.0,0.747,1.079,0.662,1.164,0.597,1.227,11,0.238927,0.9112,1.0,1.0521
597,-1.0,1.843,2.682,1.752067,1.498,1.881713,1.666,0.821,1.25,2.082,0.958,2.732,0.744,3.84,11,0.842514,1.6581,0.995,1.3457
598,-1.0,1.759,1.666,1.354474,1.652,1.647744,1.542,0.954,1.271,1.818,0.976,2.019,0.849,2.27,11,0.384126,1.5418,0.999,1.5355
599,-1.0,0.89,0.881,38.51147,0.89,38.51147,0.88,1.0,0.851,0.91,0.829,0.927,0.802,0.953,11,0.737854,0.8803,1.0,0.907
600,-1.0,0.051,0.048,124.7633,0.051,124.7633,0.049,1.0,0.037,0.063,0.027,0.066,0.025,0.067,11,0.648438,0.0488,0.999,0.0445
601,-1.0,0.853,0.918,3.325447,0.817,3.34755,0.902,0.998,0.739,1.076,0.649,1.205,0.581,1.31,11,0.312883,0.9013,0.999,1.0365
602,-1.0,1.088,1.016,24.75867,1.068,24.76464,1.006,1.0,0.859,1.14,0.746,1.246,0.656,1.352,10,2.52661,1.0058,0.999,1.0313
603,-1.0,0.872,0.938,4.004135,0.872,4.004135,0.919,0.997,0.781,1.075,0.65,1.229,0.588,1.36,11,0.404,0.9187,0.999,1.06
604,-1.0,3.722,3.386,1.451227,1.307,5.297527,1.994,0.504,1.203,2.888,0.688,3.767,0.335,4.434,11,4.95699,1.9899,0.997,1.8385
605,-1.0,2.235,2.3,8.08215,2.203,8.249861,2.151,0.947,2.076,2.394,0.425,2.584,0.085,2.78,11,2.87326,2.2473,0.947,2.1974
606,-1.0,4.996,4.995,218.5311,0.799,251.5946,1.412,0.0,0.782,0.86,0.771,5.071,0.755,5.141,11,5.5241E12,0.8075,0.855,0.7982
607,-1.0,1.068,1.038,5.84424,1.047,5.862143,1.011,1.0,0.914,1.098,0.882,1.149,0.854,1.183,11,0.301,1.0104,0.999,0.9386
608,-1.0,0.431,0.426,5.859606,0.431,5.859606,0.426,1.0,0.395,0.459,0.357,0.487,0.309,0.52,11,0.154801,0.4256,0.999,0.4223
609,-1.0,0.051,0.077,25.40613,0.083,26.20944,0.111,0.927,0.045,0.145,0.022,0.411,0.011,0.486,11,1.78335,0.1105,1.0,0.1023
610,-1.0,5.056,5.008,196.9892,0.799,207.5861,0.792,1.0,0.764,0.819,0.746,0.838,0.725,0.859,11,3.4724,0.7915,1.0,0.8038
611,-1.0,1.088,1.143,1.30354,1.088,1.30354,1.089,0.966,0.882,1.28,0.72,1.548,0.526,1.887,11,0.229508,1.0879,0.999,1.2538
612,-1.0,1.027,1.012,4.096822,1.027,4.096822,1.008,1.0,0.922,1.098,0.852,1.16,0.786,1.225,11,0.229878,1.0082,1.0,0.9665
613,-1.0,0.504,1.086,115.4839,0.504,115.4839,1.008,0.736,0.501,1.3,0.454,1.454,0.402,1.602,11,24.0722,1.0069,0.999,1.4204
614,-1.0,0.161,0.17,1.382451,0.173,1.439192,0.173,1.0,0.143,0.203,0.118,0.231,0.092,0.262,11,0.0306716,0.173,1.0,0.1286
615,-1.0,4.878,4.878,631.3121,0.799,689.7611,0.799,1.0,0.778,0.82,0.773,0.825,0.772,0.839,11,5.79369,0.7988,0.995,0.8161
616,-1.0,0.245,0.247,15.63322,0.245,15.63322,0.248,1.0,0.225,0.273,0.2,0.287,0.179,0.3,11,0.235117,0.2479,0.991,0.2507
617,-1.0,1.047,1.008,2.178201,1.047,2.178201,0.982,0.995,0.759,1.2,0.634,1.327,0.55,1.43,11,0.301691,0.9815,0.999,1.1103
618,-1.0,0.909,0.937,0.4601253,0.909,0.4601253,0.93,1.0,0.832,1.03,0.765,1.104,0.702,1.172,11,0.0350017,0.9299,0.999,1.0266
619,-1.0,0.781,0.78,534.9231,0.781,534.9231,0.78,1.0,0.759,0.802,0.749,0.807,0.738,0.824,11,5.7765,0.78,0.984,0.7644
620,-1.0,0.948,0.984,5.925997,0.948,5.925997,0.973,1.0,0.924,1.023,0.901,1.096,0.881,1.16,11,0.208952,0.9733,1.0,1.0551
621,-1.0,0.948,0.846,55.338,0.89,55.42718,0.83,1.0,0.648,0.963,0.59,1.036,0.559,1.096,11,3.78715,0.8302,1.0,0.6565
622,-1.0,0.928,0.965,6.678686,0.928,6.678686,0.942,1.0,0.851,1.036,0.75,1.136,0.712,1.216,11,0.431371,0.9415,0.999,0.8836
623,-1.0,1.068,0.957,5.127942,1.068,5.127942,0.934,0.997,0.711,1.117,0.578,1.206,0.511,1.293,11,0.643366,0.9342,0.999,0.9558
624,-1.0,0.835,0.918,2.649763,0.835,2.649763,0.901,1.0,0.78,1.058,0.719,1.167,0.654,1.25,11,0.250441,0.9007,0.999,0.9012
625,-1.0,1.523,1.556,4.384313,1.523,4.384313,1.541,1.0,1.438,1.648,1.352,1.75,1.227,1.846,11,0.347681,1.5406,0.999,1.5605
626,-1.0,4.819,4.803,188.5528,0.781,198.9177,0.781,0.999,0.749,0.806,0.725,0.824,0.694,0.844,11,3.73381,0.7778,0.999,0.7893
