col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,-1.0,1.13,1.153,20.50942,1.109,20.59332,1.139,1.0,1.054,1.228,0.989,1.321,0.91,1.402,12,1.1198,1.1392,0.999,1.1176
2,-1.0,0.03,0.123,28.8997,0.072,29.50033,0.124,0.994,0.049,0.204,0.019,0.307,0.011,0.421,6,4.2063,0.1241,1.0,0.0414
3,-1.0,0.417,0.413,1.534553,0.417,1.534553,0.416,0.98,0.324,0.473,0.261,0.709,0.214,0.964,6,0.3912,0.4152,0.999,0.4487
4,-1.0,2.14,1.996,1.681111,0.474,3.181326,0.814,0.672,0.428,1.158,0.278,2.325,0.093,2.544,6,6.01101,0.8103,0.998,0.6535
5,-1.0,1.871,1.856,0.759159,1.424,2.074463,1.268,0.842,0.872,1.631,0.723,1.942,0.627,2.269,6,2.48399,1.2663,0.998,1.7713
6,-1.0,0.22,0.274,2.529073,0.445,2.98514,0.347,0.947,0.183,0.501,0.065,0.656,0.015,0.909,6,0.875032,0.3461,0.999,0.2978
7,-1.0,0.01,0.189,32.11652,0.127,33.13395,0.253,0.973,0.094,0.409,0.03,0.538,0.011,0.713,6,8.37708,0.2532,0.999,0.3227
8,-1.0,2.469,2.166,4.919089,0.474,6.401408,0.624,0.848,0.37,0.818,0.181,2.103,0.047,2.507,6,7.60961,0.622,0.999,0.2915
9,-1.0,1.4,1.415,19.36781,1.4,19.36781,1.334,0.91,1.265,1.481,0.719,1.61,0.654,1.959,6,10.0393,1.3324,0.999,1.4323
10,-1.0,4.321,4.063,1.984289,2.948,7.184421,2.325,0.485,1.355,3.12,1.025,3.637,0.81,4.211,6,42.8431,2.323,0.998,2.8801
11,-1.0,0.308,0.229,11.9871,0.335,12.03955,0.286,0.993,0.16,0.401,0.057,0.491,0.013,0.643,6,2.53685,0.2858,0.999,0.2603
12,-1.0,0.729,1.57,3.696975,0.729,3.696975,1.136,0.747,0.733,1.599,0.638,2.096,0.431,2.665,6,4.54033,1.1347,0.995,1.2039
13,-1.0,3.493,3.04,4.807892,0.645,8.351301,1.225,0.498,0.68,2.084,0.44,2.773,0.326,3.543,5,32.3,1.2516,0.96,2.1962
14,-1.0,1.027,0.971,18.37364,1.007,18.43007,0.897,0.964,0.657,1.103,0.483,1.245,0.302,1.386,6,7.28994,0.8973,0.999,0.9385
15,-1.0,0.116,1.993,0.3518006,0.549,0.4851064,0.92,0.493,0.367,1.505,0.128,2.457,0.029,3.589,6,3.21542,0.9093,0.996,1.0012
16,-1.0,0.58,0.775,0.6209494,0.58,0.6209494,0.767,0.744,0.448,1.114,0.151,1.477,0.034,1.673,6,0.965036,0.7668,1.0,0.5214
17,-1.0,0.612,1.637,13.33331,0.612,13.33331,1.035,0.597,0.579,1.611,0.417,2.271,0.141,2.953,6,23.1354,1.0301,0.997,0.6725
18,-1.0,0.27,0.216,11.89354,0.03,12.50847,0.082,0.997,0.026,0.143,0.012,0.261,0.01,0.327,6,1.59657,0.0814,1.0,0.1005
19,-1.0,1.424,1.633,0.4013083,1.217,0.9270286,1.426,0.959,1.22,1.636,0.974,1.975,0.846,2.415,6,0.218973,1.4238,0.998,1.5408
