col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
2,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
3,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
4,-1.0,0.661,0.655,14.87879,0.661,14.87879,0.654,1.0,0.622,0.686,0.589,0.709,0.546,0.73,10,0.39213,0.6535,1.0,0.65
5,-1.0,0.746,0.758,0.71575,0.729,0.8395278,0.745,1.0,0.693,0.808,0.517,0.869,0.462,0.947,7,0.0867682,0.7445,1.0,0.68
6,-1.0,0.232,0.243,11.45208,0.232,11.45208,0.245,1.0,0.211,0.279,0.191,0.301,0.17,0.341,10,0.287516,0.245,1.0,0.2651
7,-1.0,0.321,0.353,1.341425,0.321,1.341425,0.353,0.983,0.28,0.423,0.215,0.617,0.18,0.731,7,0.236886,0.3529,1.0,0.3408
8,-1.0,1.353,1.221,3.170147,1.047,3.402903,1.127,0.999,0.951,1.317,0.863,1.466,0.777,1.583,10,0.432162,1.1263,0.999,1.3849
9,-1.0,1.217,1.196,26.74633,1.217,26.74633,1.169,1.0,1.069,1.259,0.888,1.31,0.813,1.367,10,2.23421,1.1692,1.0,1.1662
10,-1.0,0.27,0.27,402.5925,0.27,402.5925,0.27,1.0,0.255,0.285,0.251,0.288,0.251,0.289,7,3.81173,0.2697,0.999,0.2737
11,-1.0,0.781,0.781,6.895099,0.781,6.895099,0.779,1.0,0.741,0.819,0.701,0.852,0.647,0.886,10,0.235455,0.7788,1.0,0.7308
12,-1.0,0.22,0.276,1.286576,0.257,1.301782,0.3,0.931,0.192,0.41,0.143,0.728,0.113,0.842,7,0.287608,0.269,0.93,0.2963
13,-1.0,0.763,0.759,12.84334,0.763,12.84334,0.758,1.0,0.727,0.788,0.703,0.811,0.683,0.835,10,0.280398,0.7578,1.0,0.7681
14,-1.0,0.308,0.373,0.6691685,0.361,0.7466661,0.441,0.895,0.239,0.658,0.109,0.822,0.029,0.974,7,0.33529,0.4407,0.999,0.3667
15,-1.0,0.431,0.432,589.4879,0.431,589.4879,0.429,1.0,0.412,0.447,0.399,0.452,0.393,0.52,10,10.6822,0.4289,0.994,0.4332
16,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
17,-1.0,0.245,0.239,17.28488,0.245,17.28488,0.239,1.0,0.213,0.266,0.196,0.284,0.183,0.299,10,0.285039,0.2392,0.994,0.2638
