PHOTCATID,spec_z,source,quality,distance/arcsec,altspec_z,altdistance/arcsec,altsource,altquality,GOGREENSPECID
352,-99,0,0,0,-98,0,0,-97,0
353,-99,0,0,0,-98,0,0,-97,0
354,-99,0,0,0,-98,0,0,-97,0
355,-99,0,0,0,-98,0,0,-97,0
356,-99,0,0,0,-98,0,0,-97,0
357,-99,0,0,0,-98,0,0,-97,0
358,-99,0,0,0,-98,0,0,-97,0
359,-99,0,0,0,-98,0,0,-97,0
360,-99,0,0,0,-98,0,0,-97,0
361,-99,0,0,0,-98,0,0,-97,0
362,-99,0,0,0,-98,0,0,-97,0
363,-99,0,0,0,-98,0,0,-97,0
364,-99,0,0,0,-98,0,0,-97,0
365,-99,0,0,0,-98,0,0,-97,0
366,-99,0,0,0,-98,0,0,-97,0
367,-99,0,0,0,-98,0,0,-97,0
368,-99,0,0,0,-98,0,0,-97,0
369,-99,0,0,0,-98,0,0,-97,0
370,-99,0,0,0,-98,0,0,-97,0
371,-99,0,0,0,-98,0,0,-97,0
372,-99,0,0,0,-98,0,0,-97,0
373,-99,0,0,0,-98,0,0,-97,0
374,-99,0,0,0,-98,0,0,-97,0
375,-99,0,0,0,-98,0,0,-97,0
376,-99,0,0,0,-98,0,0,-97,0
377,-99,0,0,0,-98,0,0,-97,0
378,-99,0,0,0,-98,0,0,-97,0
379,-99,0,0,0,-98,0,0,-97,0
380,-99,0,0,0,-98,0,0,-97,0
381,-99,0,0,0,-98,0,0,-97,0
382,-99,0,0,0,-98,0,0,-97,0
383,-99,0,0,0,-98,0,0,-97,0
384,-99,0,0,0,-98,0,0,-97,0
385,-99,0,0,0,-98,0,0,-97,0
386,-99,0,0,0,-98,0,0,-97,0
387,-99,0,0,0,-98,0,0,-97,0
388,-99,0,0,0,-98,0,0,-97,0
389,-99,0,0,0,-98,0,0,-97,0
390,-99,0,0,0,-98,0,0,-97,0
391,-99,0,0,0,-98,0,0,-97,0
392,-99,0,0,0,-98,0,0,-97,0
393,-99,0,0,0,-98,0,0,-97,0
394,-99,0,0,0,-98,0,0,-97,0
395,-99,0,0,0,-98,0,0,-97,0
396,-99,0,0,0,-98,0,0,-97,0
397,-99,0,0,0,-98,0,0,-97,0
398,-99,0,0,0,-98,0,0,-97,0
399,-99,0,0,0,-98,0,0,-97,0
400,-99,0,0,0,-98,0,0,-97,0
401,-99,0,0,0,-98,0,0,-97,0
402,-99,0,0,0,-98,0,0,-97,0
403,-99,0,0,0,-98,0,0,-97,0
404,-99,0,0,0,-98,0,0,-97,0
405,-99,0,0,0,-98,0,0,-97,0
406,-99,0,0,0,-98,0,0,-97,0
407,-99,0,0,0,-98,0,0,-97,0
408,-99,0,0,0,-98,0,0,-97,0
409,-99,0,0,0,-98,0,0,-97,0
410,-99,0,0,0,-98,0,0,-97,0
411,-99,0,0,0,-98,0,0,-97,0
412,-99,0,0,0,-98,0,0,-97,0
413,-99,0,0,0,-98,0,0,-97,0
414,-99,0,0,0,-98,0,0,-97,0
415,-99,0,0,0,-98,0,0,-97,0
416,-99,0,0,0,-98,0,0,-97,0
417,-99,0,0,0,-98,0,0,-97,0
418,-99,0,0,0,-98,0,0,-97,0
419,-99,0,0,0,-98,0,0,-97,0
420,-99,0,0,0,-98,0,0,-97,0
421,-99,0,0,0,-98,0,0,-97,0
422,-99,0,0,0,-98,0,0,-97,0
423,-99,0,0,0,-98,0,0,-97,0
424,-99,0,0,0,-98,0,0,-97,0
425,-99,0,0,0,-98,0,0,-97,0
426,-99,0,0,0,-98,0,0,-97,0
427,-99,0,0,0,-98,0,0,-97,0
428,-99,0,0,0,-98,0,0,-97,0
429,-99,0,0,0,-98,0,0,-97,0
430,-99,0,0,0,-98,0,0,-97,0
431,-99,0,0,0,-98,0,0,-97,0
432,-99,0,0,0,-98,0,0,-97,0
433,-99,0,0,0,-98,0,0,-97,0
434,-99,0,0,0,-98,0,0,-97,0
435,-99,0,0,0,-98,0,0,-97,0
436,-99,0,0,0,-98,0,0,-97,0
437,-99,0,0,0,-98,0,0,-97,0
438,-99,0,0,0,-98,0,0,-97,0
439,-99,0,0,0,-98,0,0,-97,0
440,-99,0,0,0,-98,0,0,-97,0
441,-99,0,0,0,-98,0,0,-97,0
442,-99,0,0,0,-98,0,0,-97,0
443,-99,0,0,0,-98,0,0,-97,0
444,-99,0,0,0,-98,0,0,-97,0
445,-99,0,0,0,-98,0,0,-97,0
446,-99,0,0,0,-98,0,0,-97,0
447,-99,0,0,0,-98,0,0,-97,0
448,-99,0,0,0,-98,0,0,-97,0
449,-99,0,0,0,-98,0,0,-97,0
450,-99,0,0,0,-98,0,0,-97,0
451,-99,0,0,0,-98,0,0,-97,0
452,-99,0,0,0,-98,0,0,-97,0
453,-99,0,0,0,-98,0,0,-97,0
454,-99,0,0,0,-98,0,0,-97,0
455,-99,0,0,0,-98,0,0,-97,0
456,-99,0,0,0,-98,0,0,-97,0
457,-99,0,0,0,-98,0,0,-97,0
458,-99,0,0,0,-98,0,0,-97,0
459,-99,0,0,0,-98,0,0,-97,0
460,-99,0,0,0,-98,0,0,-97,0
461,-99,0,0,0,-98,0,0,-97,0
462,-99,0,0,0,-98,0,0,-97,0
463,-99,0,0,0,-98,0,0,-97,0
464,-99,0,0,0,-98,0,0,-97,0
465,-99,0,0,0,-98,0,0,-97,0
466,-99,0,0,0,-98,0,0,-97,0
467,1.322,1,3,0.155,-98,0,0,-97,705
468,-99,0,0,0,-98,0,0,-97,0
469,-99,0,0,0,-98,0,0,-97,0
470,1.32,1,3,0.147,-98,0,0,-97,704
471,-99,0,0,0,-98,0,0,-97,0
472,-99,0,0,0,-98,0,0,-97,0
473,-99,0,0,0,-98,0,0,-97,0
474,-99,0,0,0,-98,0,0,-97,0
475,-99,0,0,0,-98,0,0,-97,0
476,-99,0,0,0,-98,0,0,-97,0
477,1.322,3,9,0.558,1.322,0.201,5,-97,0
478,-99,0,0,0,-98,0,0,-97,0
479,-99,0,0,0,-98,0,0,-97,0
480,-99,0,0,0,-98,0,0,-97,0
481,-99,0,0,0,-98,0,0,-97,0
482,-99,0,0,0,-98,0,0,-97,0
483,-99,0,0,0,-98,0,0,-97,0
484,-99,0,0,0,-98,0,0,-97,0
485,-99,0,0,0,-98,0,0,-97,0
486,-99,0,0,0,-98,0,0,-97,0
487,-99,0,0,0,-98,0,0,-97,0
488,-99,0,0,0,-98,0,0,-97,0
489,-99,0,0,0,-98,0,0,-97,0
490,-99,0,0,0,-98,0,0,-97,0
491,-99,0,0,0,-98,0,0,-97,0
492,-99,0,0,0,-98,0,0,-97,0
493,-99,0,0,0,-98,0,0,-97,0
494,-99,0,0,0,-98,0,0,-97,0
495,-99,0,0,0,-98,0,0,-97,0
496,-99,0,0,0,-98,0,0,-97,0
497,-99,0,0,0,-98,0,0,-97,0
498,-99,0,0,0,-98,0,0,-97,0
499,-99,0,0,0,-98,0,0,-97,0
500,-99,0,0,0,-98,0,0,-97,0
501,-99,0,0,0,-98,0,0,-97,0
502,-99,0,0,0,-98,0,0,-97,0
503,-99,0,0,0,-98,0,0,-97,0
504,-99,0,0,0,-98,0,0,-97,0
505,-99,0,0,0,-98,0,0,-97,0
506,-99,0,0,0,-98,0,0,-97,0
507,-99,0,0,0,-98,0,0,-97,0
508,0.68,1,3,0.194,-98,0,0,-97,677
509,-99,0,0,0,-98,0,0,-97,0
510,-99,0,0,0,-98,0,0,-97,0
511,-99,0,0,0,-98,0,0,-97,0
512,-99,0,0,0,-98,0,0,-97,0
513,-99,0,0,0,-98,0,0,-97,0
514,-99,0,0,0,-98,0,0,-97,0
515,-99,0,0,0,-98,0,0,-97,0
516,-99,0,0,0,-98,0,0,-97,0
517,-99,0,0,0,-98,0,0,-97,0
518,-99,0,0,0,-98,0,0,-97,0
519,-99,0,0,0,-98,0,0,-97,0
520,-99,0,0,0,-98,0,0,-97,0
521,-99,0,0,0,-98,0,0,-97,0
522,-99,0,0,0,-98,0,0,-97,0
523,-99,0,0,0,-98,0,0,-97,0
524,-99,0,0,0,-98,0,0,-97,0
525,-99,0,0,0,-98,0,0,-97,0
526,0.836,5,99,0.236,-98,0,0,-97,0
527,-99,0,0,0,-98,0,0,-97,0
528,-99,0,0,0,-98,0,0,-97,0
529,-99,0,0,0,-98,0,0,-97,0
530,-99,0,0,0,-98,0,0,-97,0
531,-99,0,0,0,-98,0,0,-97,0
532,-99,0,0,0,-98,0,0,-97,0
533,-99,0,0,0,-98,0,0,-97,0
534,-99,0,0,0,-98,0,0,-97,0
535,-99,0,0,0,-98,0,0,-97,0
536,-99,0,0,0,-98,0,0,-97,0
537,-99,0,0,0,-98,0,0,-97,0
538,-99,0,0,0,-98,0,0,-97,0
539,-99,0,0,0,-98,0,0,-97,0
540,-99,0,0,0,-98,0,0,-97,0
541,-99,0,0,0,-98,0,0,-97,0
542,-99,0,0,0,-98,0,0,-97,0
543,-99,0,0,0,-98,0,0,-97,0
544,-99,0,0,0,-98,0,0,-97,0
545,-99,0,0,0,-98,0,0,-97,0
546,-99,0,0,0,-98,0,0,-97,0
547,-99,0,0,0,-98,0,0,-97,0
548,-99,0,0,0,-98,0,0,-97,0
549,-99,0,0,0,-98,0,0,-97,0
550,-99,0,0,0,-98,0,0,-97,0
551,-99,0,0,0,-98,0,0,-97,0
552,-99,0,0,0,-98,0,0,-97,0
553,-99,0,0,0,-98,0,0,-97,0
554,-99,0,0,0,-98,0,0,-97,0
555,-99,0,0,0,-98,0,0,-97,0
556,-99,0,0,0,-98,0,0,-97,0
557,-99,0,0,0,-98,0,0,-97,0
558,-99,0,0,0,-98,0,0,-97,0
