PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
4669,1.335,0.727,1.088,-0.06,0.294,1.436,2.168,1.539,0,0,0
4670,1.335,0.495,0.782,1.442,2.575,0.59,0.857,0.916,0,0,0
4671,1.335,0.323,0.473,-0.041,1.881,0.347,0.394,-0.06,0,0,0
4672,1.335,0.212,0.178,-0.06,0.262,0.548,0.689,0.2,0,0,0
4673,1.335,0.551,0.738,0.254,1.13,0.487,0.818,0.403,0,0,0
4674,1.335,0.567,0.755,0.216,0.787,0.588,0.982,0.639,0,0,0
4675,1.335,1.42,2.313,0.791,1.362,1.427,2.297,0.774,0,0,0
4676,1.335,0.212,0.178,0.157,0.518,0.296,0.321,0.304,0,0,0
4677,1.335,0.212,0.178,-0.061,0.245,0.548,0.65,0.135,0,0,0
4678,1.335,0.471,0.607,0.145,1.059,0.5,0.638,0.373,1,3,3078
4679,1.335,0.482,0.772,0.291,1.503,0.461,0.589,0.168,0,0,0
4680,1.335,0.219,0.19,-0.06,0.213,0.629,0.88,0.403,0,0,0
4681,1.335,0.585,0.782,0.658,0.605,0.626,1.13,1.179,0,0,0
4682,1.335,0.454,0.594,0.503,1.171,0.441,0.603,0.555,0,0,0
4683,1.335,0.213,0.184,0.428,0.42,0.342,0.395,0.578,0,0,0
4684,1.335,0.213,0.178,-0.054,0.534,0.397,0.477,0.197,0,0,0
4685,1.335,0.372,0.455,0.757,3.291,0.518,0.616,-0.059,0,0,0
4686,1.335,0.212,1.408,1.886,3.987,1.042,1.389,1.448,0,0,0
4687,1.335,0.398,0.494,-0.06,0.261,0.659,0.883,0.403,0,0,0
4688,1.335,0.601,0.855,0.929,1.073,0.603,1.003,0.934,0,0,0
4689,1.335,0.524,0.688,0.355,0.731,0.615,0.958,0.719,0,0,0
4690,1.335,0.685,0.973,1.071,0.793,0.79,1.267,1.532,1,4,3054
4691,1.335,0.304,0.338,0.069,0.707,0.381,0.482,0.401,0,0,0
4692,1.335,0.611,0.915,0.81,0.967,0.56,0.79,1.098,0,0,0
4693,1.335,0.365,0.439,-0.059,0.506,0.678,0.934,0.42,0,0,0
4694,1.335,0.449,0.575,0.366,1.094,0.393,0.601,0.58,0,0,0
4695,1.335,0.213,0.18,-0.06,0.023,0.212,0.178,0.451,0,0,0
4696,1.335,0.717,1.228,0.401,1.25,0.704,1.257,0.464,0,0,0
4697,1.335,0.435,0.587,1.132,1.452,0.367,0.537,1.069,0,0,0
4698,1.335,0.212,0.178,0.703,3.046,0.553,0.651,0.089,0,0,0
4699,1.335,0.309,0.347,-0.06,0.377,0.617,0.869,0.512,0,0,0
4700,1.335,0.906,1.515,1.38,1.186,1.066,1.727,1.568,0,0,0
4701,1.335,0.277,0.317,0.158,0.76,0.368,0.4,0.688,0,0,0
4702,1.335,0.451,0.793,0.898,2.029,0.607,0.943,0.534,0,0,0
4703,1.335,0.459,0.589,0.035,0.556,0.683,0.967,0.687,0,0,0
4704,1.335,0.213,0.213,1.044,1.19,0.255,0.268,1.067,0,0,0
4705,1.335,0.267,0.273,-0.06,0.476,0.492,0.63,0.265,0,0,0
4706,1.335,0.745,1.192,1.451,2,0.693,1.281,0.972,0,0,0
4707,1.335,0.338,0.461,0.38,1.155,0.328,0.491,0.523,0,0,0
4708,1.335,0.491,0.638,0.224,0.895,0.449,0.677,0.634,0,0,0
4709,1.335,0.213,0.179,0.556,0.498,0.353,0.418,0.696,0,0,0
4710,1.335,0.888,1.415,1.289,1.464,0.826,1.227,1.169,2,4,0
4711,1.335,0.377,0.595,0.717,1.477,0.378,0.578,0.685,0,0,0
4712,1.335,0.34,0.394,-0.06,0.447,0.558,0.795,0.404,0,0,0
4713,1.335,0.382,0.505,0.124,1.389,0.372,0.458,0.095,0,0,0
4714,1.335,0.54,0.713,0.363,1.358,0.537,0.71,0.358,0,0,0
4715,1.335,0.56,1.002,1,2.141,0.559,0.82,0.743,0,0,0
4716,1.335,0.322,0.466,0.716,1.408,0.316,0.446,0.737,0,0,0
4717,1.335,0.404,0.505,-0.025,0.676,0.394,0.555,0.75,0,0,0
4718,1.335,0.479,0.61,-0.061,0.19,1.11,1.726,0.788,0,0,0
4719,1.335,0.785,1.278,1.161,1.537,0.794,1.153,1.012,1,2,3018
4720,1.335,0.301,0.325,-0.061,0.325,0.59,0.888,0.394,0,0,0
4721,1.335,0.479,0.62,0.176,0.763,0.465,0.755,0.635,0,0,0
4722,1.335,1.126,1.872,0.852,1.445,1.063,1.707,0.743,0,0,0
4723,1.335,0.226,0.206,0.09,1.304,0.228,0.212,0.09,0,0,0
4724,1.335,0.441,0.726,-0.058,1.519,0.448,0.529,-0.06,0,0,0
4725,1.335,0.212,0.177,-0.06,0.073,0.274,0.265,-0.05,0,0,0
4726,1.335,0.515,0.741,0.274,1.416,0.529,0.7,0.185,0,0,0
4727,1.335,1.434,2.325,1.057,1.743,1.295,2.131,0.756,0,0,0
4728,1.335,0.227,0.243,1.254,1.143,0.317,0.366,1.4,0,0,0
4729,1.335,0.769,1.215,0.89,2.029,0.72,1.081,0.716,0,0,0
