id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1117,35.010891,-5.55149,79.97,1021.79,4.117,0,0.5,1.843,1,3.715,0.666,0.424,0.164,1.071,0.122,-0.411,0.235,0.774,0.258,0.846,0.303,0.003,0.758,2.493,0.468,2.532,0.508,3.023,0.438,2.333,0.488,26.995,8.263,-6.848,5.378
1118,34.964539,-5.551734,910.36,1017.46,47.956,0,0.07,2.731,0,33.545,0.661,0.854,0.095,1.061,0.077,1.786,0.138,3.305,0.123,9.341,0.175,10.996,0.436,13.863,0.464,17.424,0.516,25.261,0.974,16.042,1.569,-11.524,6.475,10.273,6.046
1119,34.966866,-5.551595,868.72,1019.98,5.286,0,0.58,2.489,0,4.182,0.664,0.44,0.095,0.739,0.077,0.744,0.138,1.178,0.123,1.705,0.182,1.721,0.436,1.755,0.467,2.155,0.512,4.237,0.704,1.353,1.054,-15.435,4.72,-8.238,5.016
1120,34.957088,-5.551587,1043.88,1020.13,4.14,0,0.59,2.322,0,3.477,0.665,0.058,0.095,0.236,0.077,0.459,0.138,1.391,0.123,1.743,0.175,2.065,0.437,2.357,0.472,2.118,0.51,0.449,1.017,1.033,1.547,-17.48,7.567,-15.928,6.819
1121,34.958912,-5.55214,1011.17,1010.17,258.701,0,0.09,2.897,0,165.143,0.666,0.554,0.095,2.552,0.077,9.955,0.138,27.418,0.123,56.042,0.175,63.03,0.436,75.481,0.471,93.111,0.515,86.145,0.926,65.593,1.355,32.643,7.199,16.971,6.595
1122,35.003727,-5.551729,208.3,1017.5,2.768,0,0.49,1.763,0,2.198,0.67,0.296,0.165,0.322,0.122,0.421,0.236,0.36,0.21,0.483,0.304,-0.117,0.761,0.744,0.476,0.948,0.512,3.278,0.509,3.275,0.596,1.654,7.058,9.592,6.729
1123,34.999241,-5.551816,288.64,1015.95,5.84,0,0.31,2.406,0,4.505,0.667,0.065,0.164,0.087,0.122,0.337,0.235,0.272,0.21,0.778,0.303,-0.154,0.759,0.002,0.467,2.582,0.512,5.484,0.441,6.427,0.485,-4.376,6.346,23.957,5.727
1124,34.940136,-5.55256,1347.61,1002.62,460.098,0,0.03,3.993,0,236.324,0.664,3.485,0.095,5.75,0.077,13.419,0.138,31.76,0.123,66.228,0.185,76.475,0.436,96.739,0.464,115.282,0.517,160.971,0.776,109.944,1.118,82.601,6.109,55.291,5.266
1125,34.954674,-5.544961,1087.09,1139.4,26.368,3,0.05,3.316,0,18.178,0.664,2.747,0.094,3.681,0.077,6.839,0.138,10.109,0.123,12.722,0.175,12.637,0.436,13.503,0.466,14.607,0.507,13.599,0.462,9.85,0.699,-12.639,3.55,26.396,3.034
1126,34.909733,-5.552657,1892.29,1000.86,31.191,2,0.34,2.323,0,23.823,0.664,9.668,0.095,20.216,0.077,32.72,0.138,39.189,0.123,43.073,0.175,40.158,0.437,38.224,0.465,35.35,0.522,8.773,0.768,2.227,1.324,10.027,5.661,10.425,5.414
