PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
134,1.32,0,0,0,-1,0,0,0,0,0,0
135,1.32,0,0,0,-1,0,0,0,0,0,0
136,1.32,0,0,0,-1,0,0,0,0,0,0
137,1.32,0,0,0,-1,0,0,0,0,0,0
138,1.32,0,0,0,-1,0,0,0,0,0,0
139,1.32,0,0,0,-1,0,0,0,0,0,0
140,1.32,0,0,0,-1,0,0,0,0,0,0
141,1.32,0,0,0,-1,0,0,0,0,0,0
142,1.32,0,0,0,-1,0,0,0,0,0,0
143,1.32,0,0,0,-1,0,0,0,0,0,0
144,1.32,0,0,0,-1,0,0,0,0,0,0
145,1.32,0,0,0,-1,0,0,0,0,0,0
146,1.32,0,0,0,-1,0,0,0,0,0,0
147,1.32,0,0,0,-1,0,0,0,0,0,0
148,1.32,0,0,0,-1,0,0,0,0,0,0
149,1.32,0,0,0,-1,0,0,0,0,0,0
150,1.32,0,0,0,-1,0,0,0,0,0,0
151,1.32,0,0,0,-1,0,0,0,0,0,0
152,1.32,0,0,0,-1,0,0,0,0,0,0
153,1.32,0,0,0,-1,0,0,0,0,0,0
154,1.32,0,0,0,-1,0,0,0,0,0,0
155,1.32,0,0,0,-1,0,0,0,0,0,0
156,1.32,0,0,0,-1,0,0,0,0,0,0
157,1.32,0,0,0,-1,0,0,0,0,0,0
158,1.32,0,0,0,-1,0,0,0,0,0,0
159,1.32,0,0,0,-1,0,0,0,0,0,0
160,1.32,0,0,0,-1,0,0,0,0,0,0
161,1.32,0,0,0,-1,0,0,0,0,0,0
162,1.32,0,0,0,-1,0,0,0,0,0,0
163,1.32,0,0,0,-1,0,0,0,0,0,0
164,1.32,0,0,0,-1,0,0,0,0,0,0
165,1.32,0,0,0,-1,0,0,0,0,0,0
166,1.32,0,0,0,-1,0,0,0,0,0,0
167,1.32,0,0,0,-1,0,0,0,0,0,0
168,1.32,0,0,0,-1,0,0,0,0,0,0
169,1.32,0,0,0,-1,0,0,0,0,0,0
170,1.32,0,0,0,-1,0,0,0,0,0,0
171,1.32,0,0,0,-1,0,0,0,0,0,0
172,1.32,0,0,0,-1,0,0,0,0,0,0
173,1.32,0,0,0,-1,0,0,0,0,0,0
174,1.32,0,0,0,-1,0,0,0,0,0,0
175,1.32,0,0,0,-1,0,0,0,0,0,0
176,1.32,0,0,0,-1,0,0,0,0,0,0
177,1.32,0,0,0,-1,0,0,0,0,0,0
178,1.32,0,0,0,-1,0,0,0,0,0,0
179,1.32,0,0,0,-1,0,0,0,0,0,0
180,1.32,0,0,0,-1,0,0,0,0,0,0
181,1.32,0,0,0,-1,0,0,0,0,0,0
182,1.32,0,0,0,-1,0,0,0,0,0,0
183,1.32,0,0,0,-1,0,0,0,0,0,0
184,1.32,0,0,0,-1,0,0,0,0,0,0
185,1.32,0,0,0,-1,0,0,0,0,0,0
186,1.32,0,0,0,-1,0,0,0,0,0,0
187,1.32,0,0,0,-1,0,0,0,0,0,0
188,1.32,0,0,0,-1,0,0,0,0,0,0
189,1.32,0,0,0,-1,0,0,0,0,0,0
190,1.32,0,0,0,-1,0,0,0,0,0,0
191,1.32,0,0,0,-1,0,0,0,0,0,0
192,1.32,0,0,0,-1,0,0,0,0,0,0
193,1.32,0,0,0,-1,0,0,0,0,0,0
194,1.32,0,0,0,-1,0,0,0,0,0,0
195,1.32,0,0,0,-1,0,0,0,0,0,0
196,1.32,0,0,0,-1,0,0,0,0,0,0
197,1.32,0,0,0,-1,0,0,0,0,0,0
198,1.32,0,0,0,-1,0,0,0,0,0,0
199,1.32,0,0,0,-1,0,0,0,0,0,0
200,1.32,0,0,0,-1,0,0,0,0,0,0
201,1.32,0,0,0,-1,0,0,0,0,0,0
202,1.32,0,0,0,-1,0,0,0,0,0,0
203,1.32,0,0,0,-1,0,0,0,0,0,0
204,1.32,0,0,0,-1,0,0,0,0,0,0
205,1.32,0,0,0,-1,0,0,0,0,0,0
206,1.32,0,0,0,-1,0,0,0,0,0,0
207,1.32,0,0,0,-1,0,0,0,0,0,0
208,1.32,0,0,0,-1,0,0,0,0,0,0
209,1.32,0,0,0,-1,0,0,0,0,0,0
210,1.32,0,0,0,-1,0,0,0,0,0,0
211,1.32,0,0,0,-1,0,0,0,0,0,0
212,1.32,0,0,0,-1,0,0,0,0,0,0
213,1.32,0,0,0,-1,0,0,0,0,0,0
214,1.32,0,0,0,-1,0,0,0,0,0,0
215,1.32,0,0,0,-1,0,0,0,0,0,0
216,1.32,0,0,0,-1,0,0,0,0,0,0
217,1.32,1.045,1.758,1.168,1.347,1.043,1.742,1.159,0,0,0
218,1.32,0,0,0,-1,0,0,0,0,0,0
219,1.32,0,0,0,-1,0,0,0,0,0,0
220,1.32,1.069,1.657,1.219,1.175,1.139,1.904,1.306,0,0,0
221,1.32,0,0,0,-1,0,0,0,0,0,0
222,1.32,0,0,0,-1,0,0,0,0,0,0
223,1.32,0,0,0,-1,0,0,0,0,0,0
224,1.32,0,0,0,-1,0,0,0,0,0,0
225,1.32,0,0,0,-1,0,0,0,0,0,0
226,1.32,0,0,0,-1,0,0,0,0,0,0
227,1.32,0.668,0.913,0.96,0.694,0.983,1.52,1.116,0,0,0
228,1.32,0,0,0,-1,0,0,0,0,0,0
229,1.32,0,0,0,-1,0,0,0,0,0,0
230,1.32,0.354,0.421,0.336,3.905,0.212,0.178,-0.06,0,0,0
231,1.32,0,0,0,-1,0,0,0,0,0,0
232,1.32,0.291,0.383,1.072,0.338,0.683,1.158,1.03,0,0,0
233,1.32,0.845,1.274,0.874,0.717,1.25,1.922,1.13,0,0,0
234,1.32,0,0,0,-1,0,0,0,0,0,0
235,1.32,0,0,0,-1,0,0,0,0,0,0
236,1.32,1.303,2.15,1.249,1.417,1.242,2.014,1.184,0,0,0
237,1.32,0.762,1.169,0.786,0.694,1.049,1.693,1.153,0,0,0
238,1.32,0.625,0.836,0.805,0.309,1.065,1.707,1.117,0,0,0
239,1.32,1.437,2.337,0.803,0.857,1.439,2.3,1.247,0,0,0
240,1.32,0,0,0,-1,0,0,0,0,0,0
241,1.32,0.353,0.429,0.654,1.16,0.423,0.623,0.654,0,0,0
242,1.32,0,0,0,-1,0,0,0,0,0,0
243,1.32,0.685,0.977,0.82,0.894,0.722,1.118,1.144,0,0,0
244,1.32,0.655,0.881,1.006,0.923,0.689,1.071,1.26,0,0,0
245,1.32,0.639,1.026,1.513,1.109,0.571,0.977,1.914,0,0,0
246,1.32,0,0,0,-1,0,0,0,0,0,0
247,1.32,0.607,0.81,0.748,0.603,0.905,1.408,0.861,0,0,0
248,1.32,0.578,0.764,0.232,0.854,0.548,0.814,0.438,0,0,0
249,1.32,0.442,0.568,0.811,1.502,0.422,0.564,0.825,0,0,0
250,1.32,0.215,0.186,0.376,0.201,0.689,1.01,0.51,0,0,0
251,1.32,0.326,0.408,0.493,0.242,0.888,1.349,0.769,0,0,0
252,1.32,0.655,0.879,1.913,2.559,1.097,1.881,1.276,0,0,0
253,1.32,0.412,0.526,0.407,3.02,0.378,0.561,0.152,0,0,0
254,1.32,0.82,1.411,1.477,1.324,0.82,1.411,1.477,0,0,0
255,1.32,0.464,0.599,0.692,0.583,0.579,0.892,0.771,0,0,0
256,1.32,0.212,0.178,-0.06,0.072,0.695,0.991,0.393,0,0,0
257,1.32,0.831,1.402,1.01,1.164,1.031,1.691,1.091,0,0,0
258,1.32,0.772,1.26,1.139,1.458,0.75,1.216,1.275,0,0,0
259,1.32,0.497,0.647,0.267,0.651,0.512,0.842,0.667,0,0,0
260,1.32,0.656,1.41,1.914,2.222,1.439,2.336,1.249,0,0,0
261,1.32,0.654,0.876,0.022,0.755,0.938,1.374,0.394,0,0,0
262,1.32,0.212,0.178,-0.061,0.234,0.662,0.856,0.24,0,0,0
263,1.32,0.873,1.477,1.276,1.137,1.083,1.844,1.328,0,0,0
264,1.32,0.443,0.525,0.125,0.807,0.402,0.676,0.359,0,0,0
265,1.32,0.61,0.947,1.114,1.539,0.662,1.067,1.07,0,0,0
266,1.32,0.656,0.88,0.61,0.504,1.117,1.724,0.969,0,0,0
267,1.32,0.661,1.148,0.47,0.856,0.442,0.792,0.983,0,0,0
268,1.32,0.829,1.368,0.734,1.28,0.822,1.433,0.761,0,0,0
269,1.32,0.697,1.012,1.073,0.685,1.035,1.65,1.163,0,0,0
270,1.32,0.591,0.786,0.043,0.813,0.748,1.038,0.31,0,0,0
271,1.32,0.317,0.4,0.873,0.655,0.381,0.547,0.829,0,0,0
272,1.32,0.285,0.307,0.461,0.532,0.493,0.631,0.363,0,0,0
273,1.32,0.786,1.336,1.913,1.995,0.771,1.443,1.478,0,0,0
274,1.32,0,0,0,-1,0,0,0,0,0,0
275,1.32,1.067,1.886,1.588,1.856,1.308,2.218,1.328,0,0,0
276,1.32,0.517,0.677,0.872,0.517,0.813,1.245,1,0,0,0
277,1.32,0,0,0,-1,0,0,0,0,0,0
278,1.32,0.767,1.107,0.748,1.167,0.82,1.311,0.773,0,0,0
279,1.32,0.426,0.537,0.047,0.411,0.669,1.064,0.646,0,0,0
280,1.32,0.771,1.131,0.95,0.687,1.163,1.799,1.107,0,0,0
281,1.32,1.305,2.148,1.526,1.596,1.026,1.739,1.316,0,0,0
282,1.32,0.562,0.882,0.759,1.527,0.543,0.815,0.832,0,0,0
283,1.32,0.322,0.373,0.384,0.351,0.793,1.099,0.655,0,0,0
284,1.32,0.654,0.877,0.079,0.217,1.434,2.334,1.331,0,0,0
285,1.32,1.057,1.778,1.689,1.639,1.264,2.104,1.352,0,0,0
286,1.32,0.406,0.614,0.358,1.563,0.434,0.514,0.335,0,0,0
287,1.32,0,0,0,-1,0,0,0,0,0,0
288,1.32,0,0,0,-1,0,0,0,0,0,0
289,1.32,1.054,1.753,1.015,1.263,1.121,1.873,1.06,0,0,0
290,1.32,0.555,0.928,0.332,1.404,0.57,0.872,0.306,0,0,0
291,1.32,0.212,0.177,1.914,2.551,1.249,2.093,1.412,0,0,0
292,1.32,0.347,0.453,0.429,1.009,0.335,0.514,0.47,0,0,0
293,1.32,0.587,1.018,1.216,0.857,0.486,0.833,1.914,0,0,0
294,1.32,0.658,0.91,0.99,0.983,0.686,0.953,1,0,0,0
295,1.32,0.299,0.331,0.478,0.718,0.378,0.455,0.275,0,0,0
296,1.32,0.738,1.189,1.882,1.573,0.751,1.218,1.797,0,0,0
297,1.32,0.378,0.564,1.02,0.966,0.458,0.625,1.05,0,0,0
298,1.32,0,0,0,-1,0,0,0,0,0,0
299,1.32,0.411,0.514,0.28,0.546,0.579,0.786,0.6,0,0,0
300,1.32,0.61,0.825,1.261,1.637,0.574,0.833,1.431,0,0,0
301,1.32,0.504,0.67,0.957,0.745,0.556,0.792,1.022,0,0,0
302,1.32,0.424,0.534,0.65,0.56,0.672,0.953,0.687,0,0,0
303,1.32,0.951,1.486,1.216,0.747,1.358,2.175,1.527,0,0,0
304,1.32,0.229,0.217,0.232,0.138,0.767,1.235,0.559,0,0,0
305,1.32,0.409,0.512,0.699,0.846,0.44,0.555,0.7,0,0,0
306,1.32,0.47,0.608,0.641,0.538,0.427,0.677,1.163,0,0,0
307,1.32,0.746,1.16,1.476,1.552,0.656,1.405,1.247,0,0,0
308,1.32,0.986,1.465,0.558,0.908,1.22,2.043,0.829,0,0,0
309,1.32,1.175,1.886,0.643,0.659,1.283,2.294,1.247,0,0,0
310,1.32,0.5,0.66,0.733,0.847,0.461,0.745,0.895,0,0,0
311,1.32,0.754,1.078,1.241,0.667,1.081,1.555,1.262,0,0,0
312,1.32,0.544,0.717,0.746,0.841,0.622,0.828,0.678,0,0,0
313,1.32,0.526,0.694,0.608,0.862,0.576,0.811,0.803,0,0,0
314,1.32,0,0,0,-1,0,0,0,0,0,0
315,1.32,0.511,0.669,0.73,0.635,0.643,0.999,0.881,0,0,0
316,1.32,0,0,0,-1,0,0,0,0,0,0
317,1.32,0,0,0,-1,0,0,0,0,0,0
318,1.32,0.605,0.807,0.72,0.911,0.669,1.025,0.752,0,0,0
319,1.32,0.707,1.045,1.154,0.713,0.938,1.529,1.481,0,0,0
320,1.32,0.212,0.178,0.924,2.755,0.369,0.596,0.068,0,0,0
321,1.32,0.633,1.059,1.023,0.961,0.63,1.048,1.526,0,0,0
322,1.32,0.428,0.538,-0.06,0.536,0.577,0.9,0.469,0,0,0
323,1.32,0.33,0.384,0.474,0.407,0.6,0.898,0.634,0,0,0
324,1.32,0.437,0.555,0.642,0.64,0.61,0.836,0.658,0,0,0
325,1.32,0.589,0.785,0.842,0.914,0.619,0.859,0.919,0,0,0
326,1.32,0.468,0.605,0.519,0.575,0.548,0.86,0.631,0,0,0
327,1.32,0.66,1.364,1.207,-1,0,0,0,0,0,0
