col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,-1.0,1.498,1.506,1656.962,0.105,2274.95,0.105,1.0,0.092,0.118,0.089,0.121,0.088,0.131,9,16.0071,0.1047,0.992,0.103
2,-1.0,0.694,0.69,21.05184,0.694,21.05184,0.686,1.0,0.672,0.719,0.531,0.735,0.5,0.753,9,1.42066,0.6856,0.999,0.6131
3,-1.0,0.817,0.812,4.080493,0.799,4.084302,0.806,1.0,0.743,0.864,0.703,0.938,0.662,1.014,10,0.204876,0.8055,1.0,0.8389
4,-1.0,0.746,0.615,1.24609,0.729,1.284054,0.604,0.783,0.267,0.846,0.171,0.958,0.115,1.016,7,0.58506,0.7989,0.603,0.7423
5,-1.0,0.46,0.449,4.185459,0.46,4.185459,0.447,1.0,0.407,0.489,0.371,0.517,0.323,0.538,9,0.160367,0.4467,0.994,0.4959
6,-1.0,0.01,0.014,34.91997,0.01,34.91997,0.02,1.0,0.011,0.035,0.01,0.063,0.01,0.092,7,0.791133,0.0196,1.0,0.0163
7,-1.0,1.13,1.256,0.4986328,1.088,0.5591987,1.113,0.87,0.87,1.378,0.438,1.682,0.179,2.193,7,0.3032,1.1128,0.995,1.2175
8,-1.0,0.105,0.104,44.12054,0.105,44.12054,0.104,1.0,0.09,0.119,0.08,0.13,0.071,0.141,7,0.766586,0.1039,1.0,0.0895
9,-1.0,0.909,0.913,423.7607,0.909,423.7607,0.913,1.0,0.888,0.936,0.882,0.953,0.868,0.957,9,6.31213,0.9112,0.902,0.9215
10,-1.0,1.068,1.261,2.046675,1.068,2.046675,1.172,0.968,1.033,1.337,0.791,1.576,0.621,1.931,9,0.933707,1.172,0.998,1.2407
11,-1.0,0.694,0.677,2.573665,0.694,2.573665,0.67,1.0,0.51,0.735,0.475,0.816,0.451,0.899,10,0.177761,0.7151,0.787,0.6948
12,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
13,-1.0,0.565,0.752,0.9206254,0.565,0.9206254,0.704,0.674,0.434,1.121,0.124,1.32,0.028,3.096,7,4.98105,0.6986,0.997,0.6728
14,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
15,-1.0,0.161,0.241,4.220276,0.22,4.482512,0.257,0.982,0.153,0.397,0.112,0.524,0.073,1.288,5,3.14759,0.25,0.982,0.4454
16,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
17,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
18,-1.0,1.307,1.177,1.824846,1.307,1.824846,1.134,0.844,0.783,1.439,0.513,1.695,0.099,1.908,10,0.850796,1.1338,0.999,1.1953
19,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
20,-1.0,2.048,2.287,0.5342814,0.729,1.172113,1.319,0.508,0.726,1.998,0.286,2.728,0.101,3.556,7,3.16765,1.3127,0.997,1.5405
21,-1.0,0.282,0.299,4.848356,0.282,4.848356,0.305,1.0,0.246,0.38,0.207,0.409,0.175,0.437,9,0.332489,0.3046,0.999,0.2633
22,-1.0,1.815,1.26,0.3011839,0.729,1.776077,0.896,0.512,0.348,1.618,0.135,1.94,0.059,2.276,6,3.23223,0.8951,0.999,0.5186
23,-1.0,1.068,0.954,5.358345,0.89,5.896454,0.928,1.0,0.788,1.079,0.71,1.172,0.641,1.316,9,0.664935,0.9276,0.999,1.0284
24,-1.0,0.729,0.837,0.6740372,0.729,0.6740372,0.82,0.993,0.655,0.999,0.561,1.141,0.489,1.289,9,0.115986,0.8201,0.999,0.933
25,-1.0,0.257,0.329,1.581086,0.27,1.626867,0.381,0.856,0.204,0.543,0.11,0.882,0.034,1.019,7,0.705695,0.3811,1.0,0.7311
26,-1.0,5.756,5.754,41.14978,0.799,73.29069,1.679,0.038,0.753,5.597,0.677,5.85,0.623,5.941,9,1805.74,0.8717,0.833,0.7255
27,-1.0,0.711,0.77,6.395876,0.678,6.395933,0.762,0.991,0.632,0.898,0.56,1.081,0.493,1.229,10,0.703283,0.7623,0.999,0.6745
28,-1.0,0.928,0.889,3.915412,0.909,3.96698,0.87,1.0,0.741,0.995,0.659,1.054,0.595,1.077,9,0.36704,0.8701,0.999,1.0067
29,-1.0,1.195,1.217,1.014557,1.173,1.042523,1.171,0.998,0.987,1.343,0.864,1.505,0.741,1.638,9,0.156313,1.1705,0.999,1.0732
30,-1.0,0.661,1.043,5.701476,0.661,5.701476,0.941,0.679,0.596,1.472,0.543,1.713,0.025,1.864,9,6.92332,0.9448,0.995,0.6759
31,-1.0,1.047,1.277,2.115803,1.007,2.118107,1.153,0.815,0.817,1.564,0.643,1.911,0.181,2.092,10,1.14573,1.1547,0.997,0.9663
32,-1.0,1.759,1.457,0.3174391,1.4,0.6319506,1.411,0.909,1.127,1.746,0.251,1.919,0.028,2.262,7,0.34982,1.4403,0.974,1.2611
33,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
34,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
35,-1.0,1.239,1.267,2.028952,1.217,2.056821,1.195,0.982,0.967,1.391,0.796,1.554,0.539,1.678,7,0.644579,1.1953,0.999,1.2094
36,-1.0,0.184,0.221,5.066783,0.196,5.127268,0.249,1.0,0.155,0.357,0.091,0.408,0.038,0.459,9,0.405594,0.2488,1.0,0.3512
37,-1.0,1.047,0.97,6.152899,0.928,6.277466,0.957,1.0,0.883,1.041,0.828,1.075,0.773,1.122,9,0.390097,0.9572,0.999,1.029
38,-1.0,0.184,0.185,17.16622,0.184,17.16622,0.186,0.999,0.156,0.216,0.132,0.25,0.106,0.445,7,1.45726,0.1859,0.999,0.1412
39,-1.0,1.523,1.609,2.1554,1.353,2.256371,1.483,0.968,1.258,1.731,1.038,1.994,0.783,2.263,7,0.868992,1.4822,0.999,2.0928
40,-1.0,5.239,5.251,158.0745,5.239,158.0745,5.223,1.0,5.121,5.323,5.057,5.393,5.0,5.491,8,15.5086,5.2224,0.997,5.2552
41,-1.0,0.628,0.625,5.087182,0.628,5.087182,0.626,1.0,0.569,0.684,0.485,0.746,0.382,0.844,9,0.39152,0.6259,0.999,0.6647
42,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
43,-1.0,0.853,0.858,70.32775,0.853,70.32775,0.857,1.0,0.824,0.892,0.796,0.915,0.773,0.937,9,1.91956,0.857,0.999,0.8185
44,-1.0,5.961,5.749,13.17872,0.799,23.30088,1.046,0.979,0.765,1.326,0.68,1.467,0.594,5.753,9,24.7707,1.0329,0.997,0.8498
45,-1.0,1.625,1.342,1.590563,1.4,1.796998,1.25,0.836,0.884,1.62,0.645,1.823,0.27,1.967,9,0.733882,1.2508,0.997,1.2346
46,-1.0,2.987,3.306,10.99324,2.4,11.87031,2.487,0.911,2.078,2.91,1.694,3.44,0.963,4.104,8,8.0461,2.486,0.995,3.2088
47,-1.0,0.138,0.141,53.00003,0.138,53.00003,0.143,1.0,0.125,0.162,0.112,0.187,0.035,0.212,6,3.1294,0.1432,1.0,0.1674
48,-1.0,1.377,1.334,4.919174,1.027,5.360157,1.216,0.917,0.949,1.511,0.665,1.74,0.447,1.952,9,1.4668,1.2154,0.999,1.5818
49,-1.0,2.048,2.468,0.3449197,1.871,0.8577496,1.995,0.941,1.7,2.308,1.445,2.772,0.934,3.269,6,0.388005,1.9963,0.995,1.8298
50,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
51,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
52,-1.0,0.519,0.906,0.5988636,0.519,0.5988636,0.546,0.949,0.357,0.734,0.24,0.914,0.15,1.076,8,0.152853,0.546,0.999,0.6376
53,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
54,-1.0,1.958,1.878,0.7828969,1.759,0.9908504,1.673,0.935,1.43,1.962,0.936,2.169,0.798,2.316,5,1.2955,1.6728,0.999,0.8949
55,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
56,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
57,-1.0,0.149,2.776,2.773635,0.504,2.950542,0.598,0.754,0.3,0.887,0.117,1.192,0.037,3.85,6,5.51491,0.5862,0.996,0.4726
58,-1.0,0.678,0.574,0.4142143,0.678,0.4142143,0.643,0.745,0.347,0.958,0.134,1.192,0.034,1.407,7,0.236234,0.6415,0.999,0.4629
59,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
60,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
61,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
62,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
63,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
